trial_index,error_weight,syndrome_weight,sequential_converged,sequential_relay_legs,sequential_iterations,sequential_latency_ms,sequential_gamma_schedule,parallel_converged,parallel_winning_lane,parallel_winning_label,parallel_relay_legs,parallel_iterations,parallel_convergence_time_ms,parallel_total_latency_ms,parallel_effective_latency_ms,parallel_gamma_schedule,latency_improvement_percent
0,0,0,False,3,45,2.99912499031052,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.834083011606708,8.834083011606708,,-194.5553466476919
1,3,3,False,3,45,10.223666002275422,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,18.798917008098215,18.798917008098215,,-83.87647839741878
2,2,4,False,3,45,3.2786669908091426,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.458750002318993,8.458750002318993,,-157.99356952172374
3,1,3,False,3,45,3.0490829958580434,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.31883298815228,8.31883298815228,,-172.83065103353394
4,3,3,False,3,45,3.2290829985868186,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.208082988858223,8.208082988858223,,-154.19238193785736
5,1,3,False,3,45,2.9802909994032234,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.372459007659927,8.372459007659927,,-180.92756745352844
6,2,2,False,3,45,3.241957980208099,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.464999991701916,8.464999991701916,,-161.10764061039907
7,2,4,False,3,45,3.0327499844133854,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.39583299239166,8.39583299239166,,-176.8389427266171
8,1,3,False,3,45,2.9956669895909727,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.483082987368107,8.483082987368107,,-183.17843795202296
9,4,6,False,3,45,3.598459006752819,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.996125019621104,8.996125019621104,,-149.99937480846938
10,3,3,False,3,45,3.0677919858135283,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.585083996877074,8.585083996877074,,-179.84570129191633
11,4,2,False,3,45,3.4227089781779796,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.611124998424202,8.611124998424202,,-151.58799808355857
12,0,0,False,3,45,3.1144160020630807,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.375334000447765,8.375334000447765,,-168.92149266185692
13,2,2,False,3,45,3.246917010983452,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.499082992784679,8.499082992784679,,-161.75855323787314
14,0,0,False,3,45,3.1005409837234765,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.433165989117697,8.433165989117697,,-171.9901473126218
15,3,5,False,3,45,3.1330000201705843,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.22462499490939,8.22462499490939,,-162.5159572920009
16,1,3,False,3,45,3.105291980318725,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.304749993840232,8.304749993840232,,-167.43861918542805
17,1,3,False,3,45,3.0096670088823885,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.365624991711229,8.365624991711229,,-177.95849065766666
18,1,3,False,3,45,2.9906670097261667,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.237500005634502,8.237500005634502,,-175.44022717489864
19,3,3,False,3,45,3.603959019528702,"[0.050, 0.100, 0.150, 0.200] | [0.200, 0.250, 0.300, 0.350] | [0.350, 0.400, 0.450, 0.500]",False,,,2,30,,8.348082978045568,8.348082978045568,,-131.63645681901417
