decoder,shot,converged,iterations,legs,successful_legs,selected_weight,candidate_weights,sampled_error_weight,syndrome_weight
standard_bp,0,1,6,1,1,27.808789518682186,[27.808789518682186],8,22
standard_bp,1,1,3,1,1,20.85659213901164,[20.85659213901164],6,16
standard_bp,2,1,3,1,1,13.904394759341093,[13.904394759341093],4,10
standard_bp,3,1,3,1,1,20.85659213901164,[20.85659213901164],6,18
standard_bp,4,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
standard_bp,5,1,3,1,1,17.380493449176367,[17.380493449176367],5,15
standard_bp,6,0,80,1,0,,[],17,35
standard_bp,7,1,4,1,1,34.76098689835273,[34.76098689835273],10,26
standard_bp,8,1,3,1,1,20.85659213901164,[20.85659213901164],6,14
standard_bp,9,1,9,1,1,31.284888208517458,[31.284888208517458],9,21
standard_bp,10,1,5,1,1,34.76098689835273,[34.76098689835273],10,26
standard_bp,11,1,3,1,1,17.380493449176367,[17.380493449176367],5,15
standard_bp,12,1,3,1,1,24.332690828846914,[24.332690828846914],7,19
standard_bp,13,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
standard_bp,14,1,62,1,1,27.808789518682186,[27.808789518682186],8,24
standard_bp,15,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
standard_bp,16,1,64,1,1,38.23708558818801,[38.23708558818801],11,27
standard_bp,17,1,3,1,1,24.33269082884691,[24.33269082884691],7,19
standard_bp,18,1,64,1,1,38.23708558818801,[38.23708558818801],11,27
standard_bp,19,1,4,1,1,27.808789518682186,[27.808789518682186],8,20
standard_bp,20,1,63,1,1,52.1414803475291,[52.1414803475291],15,37
standard_bp,21,1,62,1,1,27.808789518682186,[27.808789518682186],8,24
standard_bp,22,1,4,1,1,34.76098689835273,[34.76098689835273],10,26
standard_bp,23,1,5,1,1,31.284888208517458,[31.284888208517458],9,21
standard_bp,24,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
standard_bp,25,1,5,1,1,31.284888208517458,[31.284888208517458],9,23
standard_bp,26,1,3,1,1,27.808789518682186,[27.808789518682186],8,20
standard_bp,27,1,3,1,1,27.808789518682186,[27.808789518682186],8,22
standard_bp,28,0,80,1,0,,[],10,24
standard_bp,29,1,67,1,1,52.1414803475291,[52.1414803475291],15,41
standard_bp,30,1,64,1,1,45.18928296785855,[45.18928296785855],13,31
standard_bp,31,1,3,1,1,34.76098689835273,[34.76098689835273],10,28
standard_bp,32,1,4,1,1,34.76098689835273,[34.76098689835273],10,28
standard_bp,33,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
standard_bp,34,1,3,1,1,20.85659213901164,[20.85659213901164],6,18
standard_bp,35,1,63,1,1,45.18928296785855,[45.18928296785855],13,35
standard_bp,36,1,76,1,1,20.85659213901164,[20.85659213901164],6,14
standard_bp,37,1,72,1,1,59.09367772719965,[59.09367772719965],17,45
standard_bp,38,1,4,1,1,34.76098689835273,[34.76098689835273],10,24
standard_bp,39,1,1,1,1,10.42829606950582,[10.42829606950582],3,7
standard_bp,40,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
standard_bp,41,1,3,1,1,31.284888208517458,[31.284888208517458],9,23
standard_bp,42,1,70,1,1,45.189282967858546,[45.189282967858546],13,25
standard_bp,43,1,63,1,1,45.18928296785855,[45.18928296785855],13,33
standard_bp,44,1,65,1,1,45.18928296785855,[45.18928296785855],13,33
standard_bp,45,1,60,1,1,27.808789518682186,[27.808789518682186],8,24
standard_bp,46,0,80,1,0,,[],13,25
standard_bp,47,1,68,1,1,52.1414803475291,[52.1414803475291],15,39
standard_bp,48,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
standard_bp,49,0,80,1,0,,[],7,15
standard_bp,50,1,66,1,1,38.23708558818801,[38.23708558818801],11,31
standard_bp,51,1,4,1,1,31.284888208517458,[31.284888208517458],9,25
standard_bp,52,1,2,1,1,10.42829606950582,[10.42829606950582],3,9
standard_bp,53,1,4,1,1,20.85659213901164,[20.85659213901164],6,16
standard_bp,54,1,3,1,1,20.85659213901164,[20.85659213901164],6,16
standard_bp,55,1,3,1,1,31.284888208517458,[31.284888208517458],9,27
standard_bp,56,1,64,1,1,31.284888208517458,[31.284888208517458],9,23
standard_bp,57,0,80,1,0,,[],10,22
standard_bp,58,1,2,1,1,24.332690828846914,[24.332690828846914],7,21
standard_bp,59,1,4,1,1,17.380493449176367,[17.380493449176367],5,15
standard_bp,60,1,6,1,1,38.23708558818801,[38.23708558818801],11,27
standard_bp,61,1,69,1,1,45.18928296785855,[45.18928296785855],13,29
standard_bp,62,1,63,1,1,41.71318427802328,[41.71318427802328],12,28
standard_bp,63,1,3,1,1,24.33269082884691,[24.33269082884691],7,19
uniform_mem_bp,0,1,4,1,1,27.808789518682186,[27.808789518682186],8,22
uniform_mem_bp,1,1,2,1,1,20.85659213901164,[20.85659213901164],6,16
uniform_mem_bp,2,1,2,1,1,13.904394759341093,[13.904394759341093],4,10
uniform_mem_bp,3,1,2,1,1,20.85659213901164,[20.85659213901164],6,18
uniform_mem_bp,4,1,3,1,1,27.808789518682186,[27.808789518682186],8,24
uniform_mem_bp,5,1,3,1,1,17.380493449176367,[17.380493449176367],5,15
uniform_mem_bp,6,1,31,1,1,59.09367772719965,[59.09367772719965],17,35
uniform_mem_bp,7,1,3,1,1,34.76098689835273,[34.76098689835273],10,26
uniform_mem_bp,8,1,3,1,1,20.85659213901164,[20.85659213901164],6,14
uniform_mem_bp,9,1,3,1,1,31.284888208517458,[31.284888208517458],9,21
uniform_mem_bp,10,1,4,1,1,34.76098689835273,[34.76098689835273],10,26
uniform_mem_bp,11,1,2,1,1,17.380493449176367,[17.380493449176367],5,15
uniform_mem_bp,12,1,3,1,1,24.332690828846914,[24.332690828846914],7,19
uniform_mem_bp,13,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
uniform_mem_bp,14,1,4,1,1,27.808789518682186,[27.808789518682186],8,24
uniform_mem_bp,15,1,2,1,1,13.904394759341093,[13.904394759341093],4,12
uniform_mem_bp,16,1,6,1,1,38.23708558818801,[38.23708558818801],11,27
uniform_mem_bp,17,1,2,1,1,24.33269082884691,[24.33269082884691],7,19
