sample_seed,shot,relay_leg,checkpoint_iteration,global_iteration,iterations_since_best,running_best,current_residual,remaining_iterations_observed,late_strict_improvement,late_convergence,early_handoff_endangered,standard_leg_category,policy_action
20260809,6,5,40,300,141,3,3,20,1,0,1,productive,flag_only_no_skip
20260809,13,3,40,180,149,1,3,1,1,1,1,productive,flag_only_no_skip
20260809,16,3,40,180,127,1,152,20,0,0,0,regressive,flag_only_no_skip
20260809,18,4,40,240,131,5,23,20,0,0,0,regressive,flag_only_no_skip
20260809,18,7,40,420,120,1,56,20,0,0,0,regressive,flag_only_no_skip
20260809,18,8,40,480,180,1,34,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,9,40,540,240,1,29,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,10,40,600,300,1,98,20,0,0,0,regressive,flag_only_no_skip
20260809,18,11,40,660,360,1,23,20,0,0,0,regressive,flag_only_no_skip
20260809,18,12,40,720,420,1,27,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,13,40,780,480,1,30,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,14,40,840,540,1,27,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,15,40,900,600,1,263,20,0,0,0,regressive,flag_only_no_skip
20260809,18,16,40,960,660,1,62,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,17,40,1020,720,1,48,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,18,40,1080,780,1,243,20,0,0,0,regressive,flag_only_no_skip
20260809,18,19,40,1140,840,1,12,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,20,40,1200,900,1,18,20,0,0,0,regressive,flag_only_no_skip
20260809,18,21,40,1260,960,1,393,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,22,40,1320,1020,1,32,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,23,40,1380,1080,1,443,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,24,40,1440,1140,1,65,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,25,40,1500,1200,1,9,20,0,0,0,regressive,flag_only_no_skip
20260809,18,26,40,1560,1260,1,8,20,0,0,0,regressive,flag_only_no_skip
20260809,18,27,40,1620,1320,1,356,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,28,40,1680,1380,1,14,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,29,40,1740,1440,1,5,20,0,0,0,regressive,flag_only_no_skip
20260809,18,30,40,1800,1500,1,287,20,0,0,0,stagnant,flag_only_no_skip
20260809,18,31,40,1860,1560,1,44,20,0,0,0,regressive,flag_only_no_skip
20260809,18,32,40,1920,1620,1,15,20,0,0,0,stagnant,flag_only_no_skip
20260809,27,3,40,180,139,2,13,20,0,0,0,stagnant,flag_only_no_skip
20260809,29,4,40,240,131,3,314,20,0,0,0,stagnant,flag_only_no_skip
20260809,29,5,40,300,191,3,222,20,0,0,0,stagnant,flag_only_no_skip
20260809,29,6,40,360,251,3,46,20,0,0,0,regressive,flag_only_no_skip
20260809,29,7,40,420,311,3,43,20,0,0,0,stagnant,flag_only_no_skip
20260809,29,8,40,480,371,3,325,20,0,0,0,regressive,flag_only_no_skip
20260809,29,9,40,540,431,3,12,11,1,1,1,productive,flag_only_no_skip
20260810,4,6,40,360,128,3,51,20,0,0,0,regressive,flag_only_no_skip
20260810,4,7,40,420,188,3,21,20,0,0,0,regressive,flag_only_no_skip
20260810,4,10,40,600,127,1,42,20,0,0,0,regressive,flag_only_no_skip
20260810,4,11,40,660,187,1,35,20,0,0,0,regressive,flag_only_no_skip
20260810,4,12,40,720,247,1,48,20,0,0,0,stagnant,flag_only_no_skip
20260810,4,13,40,780,307,1,22,20,0,0,0,stagnant,flag_only_no_skip
20260810,4,14,40,840,367,1,72,20,0,0,0,regressive,flag_only_no_skip
20260810,4,15,40,900,427,1,15,20,0,0,0,regressive,flag_only_no_skip
20260810,4,16,40,960,487,1,2,7,1,1,1,productive,flag_only_no_skip
20260810,7,3,40,180,150,1,30,10,1,1,1,productive,flag_only_no_skip
20260810,9,4,40,240,138,8,90,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,8,40,480,126,1,154,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,9,40,540,186,1,124,20,0,0,0,regressive,flag_only_no_skip
20260810,9,10,40,600,246,1,25,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,11,40,660,306,1,6,20,0,0,0,regressive,flag_only_no_skip
20260810,9,12,40,720,366,1,36,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,13,40,780,426,1,11,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,14,40,840,486,1,43,20,0,0,0,regressive,flag_only_no_skip
20260810,9,15,40,900,546,1,403,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,16,40,960,606,1,35,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,17,40,1020,666,1,230,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,18,40,1080,726,1,15,20,0,0,0,regressive,flag_only_no_skip
20260810,9,19,40,1140,786,1,250,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,20,40,1200,846,1,232,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,21,40,1260,906,1,343,20,0,0,0,regressive,flag_only_no_skip
20260810,9,22,40,1320,966,1,18,20,0,0,0,stagnant,flag_only_no_skip
20260810,9,23,40,1380,1026,1,27,20,0,0,0,regressive,flag_only_no_skip
20260810,19,4,40,240,121,1,150,20,0,0,0,regressive,flag_only_no_skip
20260810,19,5,40,300,181,1,220,20,0,0,0,stagnant,flag_only_no_skip
20260810,19,6,40,360,241,1,17,20,0,0,0,stagnant,flag_only_no_skip
20260810,19,7,40,420,301,1,65,20,0,0,0,regressive,flag_only_no_skip
20260810,19,8,40,480,361,1,5,20,0,0,0,stagnant,flag_only_no_skip
20260810,19,9,40,540,421,1,9,10,1,1,1,productive,flag_only_no_skip
20260810,20,3,40,180,127,1,7,20,0,0,0,regressive,flag_only_no_skip
20260810,20,4,40,240,187,1,12,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,5,40,300,171,1,29,20,0,0,0,regressive,flag_only_no_skip
20260810,26,6,40,360,231,1,19,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,7,40,420,291,1,304,20,0,0,0,regressive,flag_only_no_skip
20260810,26,8,40,480,351,1,14,20,0,0,0,regressive,flag_only_no_skip
20260810,26,9,40,540,411,1,26,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,10,40,600,471,1,205,20,0,0,0,regressive,flag_only_no_skip
20260810,26,11,40,660,531,1,306,20,0,0,0,regressive,flag_only_no_skip
20260810,26,12,40,720,591,1,19,20,0,0,0,regressive,flag_only_no_skip
20260810,26,13,40,780,651,1,2,20,0,0,0,regressive,flag_only_no_skip
20260810,26,14,40,840,711,1,127,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,15,40,900,771,1,8,20,0,0,0,regressive,flag_only_no_skip
20260810,26,16,40,960,831,1,15,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,17,40,1020,891,1,155,20,0,0,0,regressive,flag_only_no_skip
20260810,26,18,40,1080,951,1,9,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,19,40,1140,1011,1,486,20,0,0,0,regressive,flag_only_no_skip
20260810,26,20,40,1200,1071,1,33,20,0,0,0,regressive,flag_only_no_skip
20260810,26,21,40,1260,1131,1,27,20,0,0,0,stagnant,flag_only_no_skip
20260810,26,22,40,1320,1191,1,23,20,0,0,0,regressive,flag_only_no_skip
