trajectory,case_id,sample_seed,shot,delta,absolute_delta,selection_affected
E0,20260809_000,20260809,0,1.1368683772161603e-13,1.1368683772161603e-13,False
E0,20260809_001,20260809,1,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_002,20260809,2,0.0,0.0,False
E0,20260809_003,20260809,3,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_004,20260809,4,0.0,0.0,False
E0,20260809_005,20260809,5,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_006,20260809,6,0.0,0.0,False
E0,20260809_007,20260809,7,0.0,0.0,False
E0,20260809_008,20260809,8,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_009,20260809,9,0.0,0.0,False
E0,20260809_010,20260809,10,0.0,0.0,False
E0,20260809_011,20260809,11,0.0,0.0,False
E0,20260809_012,20260809,12,0.0,0.0,False
E0,20260809_013,20260809,13,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_014,20260809,14,0.0,0.0,False
E0,20260809_015,20260809,15,0.0,0.0,False
E0,20260809_016,20260809,16,0.0,0.0,False
E0,20260809_017,20260809,17,0.0,0.0,False
E0,20260809_018,20260809,18,,,False
E0,20260809_019,20260809,19,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_020,20260809,20,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_021,20260809,21,0.0,0.0,False
E0,20260809_022,20260809,22,0.0,0.0,False
E0,20260809_023,20260809,23,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_024,20260809,24,0.0,0.0,False
E0,20260809_025,20260809,25,0.0,0.0,False
E0,20260809_026,20260809,26,0.0,0.0,False
E0,20260809_027,20260809,27,5.684341886080802e-14,5.684341886080802e-14,False
E0,20260809_028,20260809,28,0.0,0.0,False
E0,20260809_029,20260809,29,0.0,0.0,False
E0,20260809_030,20260809,30,0.0,0.0,False
E0,20260809_031,20260809,31,0.0,0.0,False
E0,20260810_000,20260810,0,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260810_001,20260810,1,0.0,0.0,False
E0,20260810_002,20260810,2,0.0,0.0,False
E0,20260810_003,20260810,3,0.0,0.0,False
E0,20260810_004,20260810,4,0.0,0.0,False
E0,20260810_005,20260810,5,0.0,0.0,False
E0,20260810_006,20260810,6,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260810_007,20260810,7,0.0,0.0,False
E0,20260810_008,20260810,8,0.0,0.0,False
E0,20260810_009,20260810,9,0.0,0.0,False
E0,20260810_010,20260810,10,0.0,0.0,False
E0,20260810_011,20260810,11,-5.684341886080802e-14,5.684341886080802e-14,False
E0,20260810_012,20260810,12,0.0,0.0,False
E0,20260810_013,20260810,13,0.0,0.0,False
E0,20260810_014,20260810,14,0.0,0.0,False
E0,20260810_015,20260810,15,-2.842170943040401e-14,2.842170943040401e-14,False
E0,20260810_016,20260810,16,0.0,0.0,False
E0,20260810_017,20260810,17,5.684341886080802e-14,5.684341886080802e-14,False
