case_id,sample_seed,shot,gamma_seed,syndrome_hash,logical_outcome_hash,classification,archive_reproduction,original_converged,partitioned_converged,original_syndrome_valid,partitioned_syndrome_valid,original_logical_correct,partitioned_logical_correct,original_iterations,partitioned_iterations,original_relay_legs,partitioned_relay_legs,original_final_residual,partitioned_final_residual,original_candidate_weight,partitioned_candidate_weight,candidate_weight_delta,correction_hash,partitioned_inverse_correction_hash,correction_exact,logical_action_exact,trace_exact,trace_iterations_compared,final_rng_state,accepted_gamma_count,accepted_gamma_sequence_hash,original_runtime_seconds,partitioned_runtime_seconds,first_trace_difference
20260809_000,20260809,0,8797755741708845560,809728c63175a221bdabe78232f505c69225402f09a3a46dd515ca176868671a,7e69d10359af14323ef4bf7f2eec044ddcbe3c4983de5ed9b3858c2ef3e2f6dc,EXACT MATCH,True,1,1,1,1,1,1,37,37,1,1,0,0,305.55001081021453,305.55001081021464,1.1368683772161603e-13,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,True,True,True,37,8797755741708845560,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,3.808661208022386,3.728795667004306,null
20260809_001,20260809,1,12605300877999184540,166b15a81799b71c1c2ab601d1eea264cb1034275fa57bde52c0a7d87bdbb846,e461832bf49f723091624dcc5636e4dcc4f0c2c47272f76a3610c59d5c0c2720,EXACT MATCH,True,1,1,1,1,1,1,51,51,1,1,0,0,301.4131020079944,301.41310200799444,5.684341886080802e-14,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,True,True,True,51,12605300877999184540,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.081937374983681,5.891872041975148,null
20260809_002,20260809,2,2266240012809103972,82b23d5bf20f75d64b81ce16a7d1b92ec6fb74c8800fd8908ce535cb20deaf60,16418623d44a0ed847bcc99bdd47e4482448a2e52ca6298f18d63d2dec7a5634,EXACT MATCH,True,1,1,1,1,1,1,74,74,1,1,0,0,390.05367717959547,390.05367717959547,0.0,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,True,True,True,74,2266240012809103972,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,1.719267000007676,1.6989569999859668,null
20260809_003,20260809,3,11596314071846552675,eb551b821cb26ac287b9bd9601e868a2a182e59e46c3f230199b0799559d6aca,5d3bade67a75582b3a1276fff4965603aacce99d17875fc2893fcae5b7a04c51,EXACT MATCH,True,1,1,1,1,1,1,56,56,1,1,0,0,355.07409456717556,355.0740945671755,-5.684341886080802e-14,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,True,True,True,56,11596314071846552675,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.608518458000617,8.008441333018709,null
20260809_004,20260809,4,10141677951677065804,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,EXACT MATCH,True,1,1,1,1,1,1,53,53,1,1,0,0,319.88950307662157,319.88950307662157,0.0,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,True,True,True,53,10141677951677065804,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.357514083996648,6.753345459001139,null
20260809_005,20260809,5,8763808320666350717,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,EXACT MATCH,True,1,1,1,1,1,1,171,171,3,3,0,0,316.84328107015574,316.8432810701557,-5.684341886080802e-14,d5cccad9670c444776935de893dde5ccb43edb40fd5bb46fce23ab41e0605d3c,d5cccad9670c444776935de893dde5ccb43edb40fd5bb46fce23ab41e0605d3c,True,True,True,171,9031751074107457166,135504,5619ef3658cfc814721ea5e5ab07d450a8c0f3ef248bae3de3f3182ec31bd858,20.858568124996964,18.057419999997364,null
20260809_006,20260809,6,16046846968248299819,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,EXACT MATCH,True,1,1,1,1,1,1,344,344,6,6,0,0,336.4875143954213,336.4875143954213,0.0,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,True,True,True,344,16872956026041370963,338760,ccfcc41cf0a4dbbc6f2376307c0dea02f8f7bd2b768fc79b6bb9e44030068e66,38.8640672499896,37.66018454200821,null
20260809_007,20260809,7,14472511681705215893,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,EXACT MATCH,True,1,1,1,1,1,1,56,56,1,1,0,0,357.31860687854106,357.31860687854106,0.0,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,True,True,True,56,14472511681705215893,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.4612557090003975,5.7072269579803105,null
20260809_008,20260809,8,4195653764737705966,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,EXACT MATCH,True,1,1,1,1,1,1,54,54,1,1,0,0,337.51386556784337,337.5138655678433,-5.684341886080802e-14,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,True,True,True,54,4195653764737705966,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.461170333001064,5.919670625007711,null
20260809_009,20260809,9,4113981703839189640,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,EXACT MATCH,True,1,1,1,1,1,1,117,117,2,2,0,0,365.4345292638636,365.4345292638636,0.0,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,True,True,True,117,18317648583498363007,67752,646b1ab1ac98ef1970ccd8e119915fe35271f6eda9e5dccdf2f149e83614a8ce,13.021410165994894,12.628984792012488,null
20260809_010,20260809,10,17802734268392651266,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,EXACT MATCH,True,1,1,1,1,1,1,53,53,1,1,0,0,310.5067186071732,310.5067186071732,0.0,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,True,True,True,53,17802734268392651266,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.390270833013346,5.391253082983894,null
