record_type,id,BA2_bank,convergence_same_bank_pair_weight,relay_init_same_bank_pair_weight,retry_subsets,members,banks
fault,20145,2,5.0,14.0,,,
fault,16377,2,6.0,11.0,,,
fault,39993,2,6.0,11.0,,,
fault,42679,0,4.0,13.0,,,
fault,55569,2,5.0,12.0,,,
fault,3932,3,4.0,12.0,,,
fault,25676,1,3.0,13.0,,,
fault,27918,3,7.0,9.0,,,
fault,30871,0,4.0,12.0,,,
fault,34089,2,6.0,10.0,,,
fault,39726,3,7.0,9.0,,,
fault,41776,1,3.0,13.0,,,
fault,43761,2,5.0,11.0,,,
fault,48583,0,4.0,12.0,,,
fault,49665,2,5.0,11.0,,,
fault,54487,0,4.0,12.0,,,
fault,61473,2,5.0,11.0,,,
fault,63097,1,4.0,12.0,,,
fault,3812,0,6.0,9.0,,,
fault,5504,3,5.0,10.0,,,
fault,9004,0,6.0,9.0,,,
fault,10514,2,4.0,11.0,,,
fault,11455,2,6.0,9.0,,,
fault,15152,2,5.0,10.0,,,
fault,16110,3,7.0,8.0,,,
fault,23346,3,4.0,11.0,,,
fault,28185,2,6.0,9.0,,,
fault,31190,3,3.0,12.0,,,
fault,42058,3,3.0,12.0,,,
fault,52866,3,4.0,11.0,,,
fault,55628,2,5.0,10.0,,,
fault,57504,2,7.0,8.0,,,
fault,58339,2,5.0,10.0,,,
fault,59349,1,4.0,11.0,,,
fault,60957,2,6.0,9.0,,,
fault,63947,1,4.0,11.0,,,
fault,65132,2,5.0,10.0,,,
fault,65875,2,2.0,13.0,,,
fault,2780,1,4.0,10.0,,,
fault,3161,0,3.0,11.0,,,
fault,3217,1,5.0,9.0,,,
fault,3229,3,6.0,8.0,,,
fault,3984,3,4.0,10.0,,,
fault,4122,0,6.0,8.0,,,
fault,4807,2,6.0,8.0,,,
fault,4854,0,7.0,7.0,,,
fault,5021,2,4.0,10.0,,,
fault,5679,3,5.0,9.0,,,
fault,5818,3,6.0,8.0,,,
fault,5820,0,4.0,10.0,,,
fault,6408,0,3.0,11.0,,,
fault,7036,0,5.0,9.0,,,
fault,7190,0,3.0,11.0,,,
fault,8167,2,4.0,10.0,,,
fault,11054,0,4.0,10.0,,,
fault,11971,3,6.0,8.0,,,
fault,12391,3,5.0,9.0,,,
fault,13868,1,4.0,10.0,,,
fault,14329,2,2.0,12.0,,,
fault,17296,3,6.0,8.0,,,
fault,17442,3,7.0,7.0,,,
fault,18021,1,3.0,11.0,,,
fault,18442,3,3.0,11.0,,,
fault,18729,0,4.0,10.0,,,
fault,19063,0,4.0,10.0,,,
fault,19247,1,4.0,10.0,,,
fault,19382,3,3.0,11.0,,,
fault,19770,3,3.0,11.0,,,
fault,20085,2,5.0,9.0,,,
fault,22014,3,7.0,7.0,,,
fault,22214,3,5.0,9.0,,,
fault,22531,0,2.0,12.0,,,
fault,23283,2,3.0,11.0,,,
fault,24967,0,4.0,10.0,,,
fault,25989,2,4.0,10.0,,,
fault,26108,2,5.0,9.0,,,
fault,26137,2,2.0,12.0,,,
fault,28884,1,2.0,12.0,,,
fault,29075,2,6.0,8.0,,,
fault,33151,3,4.0,10.0,,,
fault,33822,3,7.0,7.0,,,
fault,33959,0,4.0,10.0,,,
fault,35008,3,6.0,8.0,,,
fault,35071,2,6.0,8.0,,,
fault,36775,0,4.0,10.0,,,
fault,38150,3,3.0,11.0,,,
fault,39055,3,4.0,10.0,,,
fault,39800,3,4.0,10.0,,,
fault,40667,2,4.0,10.0,,,
fault,40757,0,4.0,10.0,,,
fault,42974,3,5.0,9.0,,,
fault,42998,3,3.0,11.0,,,
fault,43820,2,5.0,9.0,,,
fault,45153,2,3.0,11.0,,,
fault,46816,3,6.0,8.0,,,
fault,48902,3,3.0,11.0,,,
fault,49605,2,4.0,10.0,,,
fault,49991,0,3.0,11.0,,,
fault,50457,0,3.0,11.0,,,
fault,51747,1,5.0,9.0,,,
convergence_group,96246,,,,2,"63760,63776,63778,63792","0,0,2,0"
convergence_group,96061,,,,2,"63070,63076,63079,63081","3,3,3,1"
convergence_group,95925,,,,2,"57000,57002,57004,57005","3,3,0,3"
convergence_group,95888,,,,2,"62753,62782,62785,62791","1,0,1,1"
convergence_group,95870,,,,2,"56913,56914,56924,56928","2,3,3,3"
convergence_group,95815,,,,2,"60532,60537,60539,60541","3,3,3,1"
convergence_group,92913,,,,2,"58023,58025,58369,58373","3,0,0,0"
convergence_group,92433,,,,2,"63832,65084,65085,65484","0,2,0,0"
convergence_group,91355,,,,2,"62167,62278,62281,62284","2,2,2,1"
convergence_group,91183,,,,2,"62596,62692,62693,62952","1,2,1,1"
convergence_group,89731,,,,2,"64326,64327,64328,64329","2,2,2,3"
convergence_group,89578,,,,2,"59040,59048,59061,59062","3,3,3,1"
convergence_group,88393,,,,2,"60552,60553,60584,60585","0,0,3,0"
convergence_group,88066,,,,2,"60971,60972,60979,60994","2,0,0,0"
convergence_group,87898,,,,2,"51131,51134,51136,51138","2,3,2,2"
convergence_group,87782,,,,2,"54927,55022,55024,55027","0,0,1,0"
convergence_group,87774,,,,2,"50898,50900,50901,50904","2,3,2,2"
convergence_group,87561,,,,2,"57571,57608,57614,57615","2,2,3,2"
convergence_group,87557,,,,2,"57120,57122,57124,57129","3,2,3,3"
convergence_group,87553,,,,2,"57024,57036,57038,57039","0,0,3,0"
convergence_group,87531,,,,2,"51112,51113,51123,51127","3,2,2,2"
convergence_group,87529,,,,2,"51096,51098,51100,51101","3,3,0,3"
convergence_group,87470,,,,2,"51009,51010,51020,51024","2,3,3,3"
convergence_group,87448,,,,2,"60535,60541,60554,60556","1,1,1,3"
convergence_group,87092,,,,2,"61266,61795,61858,61859","3,3,1,3"
convergence_group,86166,,,,2,"60240,60241,60248,60383","0,1,0,0"
convergence_group,85519,,,,2,"52780,52784,52786,52788","3,1,3,3"
convergence_group,85174,,,,2,"58317,58325,58342,58344","0,0,3,0"
convergence_group,85019,,,,2,"61258,61259,61260,61261","3,0,3,3"
convergence_group,84879,,,,2,"58568,58586,58589,58594","0,1,0,0"
convergence_group,84747,,,,2,"57870,57887,57912,57914","1,1,3,1"
convergence_group,84674,,,,2,"53020,53021,55389,55404","0,2,0,0"
convergence_group,84611,,,,2,"52777,52779,52783,52785","0,2,2,2"
convergence_group,84132,,,,2,"56754,56851,57052,57053","2,2,2,0"
convergence_group,84075,,,,2,"57024,57025,57057,57061","0,1,1,1"
convergence_group,84041,,,,2,"59462,59463,61207,61246","1,2,2,2"
convergence_group,84001,,,,2,"52165,52167,52173,52176","1,3,3,3"
convergence_group,83991,,,,2,"50962,50963,50974,50977","2,0,2,2"
convergence_group,83931,,,,2,"50875,50876,50880,50881","1,1,1,2"
convergence_group,81827,,,,2,"56424,56537,56538,56573","1,1,2,1"
convergence_group,81364,,,,2,"58992,58993,58994,58995","1,1,3,1"
convergence_group,81100,,,,2,"57793,57794,57795,57796","3,3,1,3"
convergence_group,80629,,,,2,"58248,58249,58250,58251","0,2,0,0"
convergence_group,79714,,,,2,"57231,57232,57233,57234","1,2,1,1"
convergence_group,79282,,,,2,"55067,55068,55075,55090","2,0,0,0"
