pass_index,move_index,fault_a,fault_b,old_bank_a,old_bank_b,surrogate_delta,workload_imbalance
0,1,48046,31916,3,0,-27.0,3.066544004903804e-05
0,2,17872,50012,0,2,-18.0,3.066544004903804e-05
0,3,56961,41209,3,0,-13.0,3.066544004903804e-05
0,4,64444,34378,1,2,-16.0,3.066544004903804e-05
0,5,3119,61034,0,1,-16.0,3.066544004903804e-05
0,6,23157,27652,0,2,-9.0,2.0443626699284678e-05
0,7,34378,15609,1,3,-2.0,2.0443626699284678e-05
0,8,61436,28921,1,0,-14.0,4.08872533987914e-05
0,9,4132,12134,2,3,-13.0,4.08872533987914e-05
0,10,6000,28607,1,3,-10.0,4.08872533987914e-05
0,11,8810,57683,0,1,-8.0,3.066544004903804e-05
0,12,13345,11059,0,3,-10.0,3.066544004903804e-05
0,13,14045,4968,3,1,-10.0,3.066544004903804e-05
0,14,15609,18622,1,0,-4.0,4.08872533987914e-05
0,15,16095,66359,3,2,-13.0,4.08872533987914e-05
0,16,21833,3229,2,3,-11.0,4.08872533987914e-05
0,17,28921,58154,1,2,-4.0,6.133088009807608e-05
0,18,29187,35123,0,1,-5.0,6.133088009807608e-05
0,19,36350,43874,2,1,-7.0,8.177450679747178e-05
0,20,43874,34774,2,3,-6.0,7.155269344782944e-05
0,21,52628,4666,0,3,-6.0,7.155269344782944e-05
0,22,53078,55987,0,3,-11.0,7.155269344782944e-05
0,23,55840,59566,2,0,-9.0,6.133088009807608e-05
0,24,57072,45205,2,3,-8.0,6.133088009807608e-05
0,25,61034,40632,0,3,-4.0,6.133088009807608e-05
0,26,3229,14512,2,1,-3.0,5.110906674843374e-05
0,27,4595,4700,1,2,-6.0,5.110906674843374e-05
0,28,6282,30977,1,3,-6.0,5.110906674843374e-05
0,29,14512,60235,2,3,-2.0,5.110906674843374e-05
0,30,18622,44572,1,2,-1.0,6.133088009807608e-05
0,31,19485,22007,0,2,-7.0,7.155269344782944e-05
0,32,23769,6820,2,1,-2.0,6.133088009807608e-05
0,33,34464,51635,0,1,-6.0,6.133088009807608e-05
0,34,47489,51421,2,1,-2.0,4.08872533987914e-05
0,35,51421,20147,2,0,-4.0,5.110906674854476e-05
0,36,2121,6408,0,1,-8.0,7.155269344782944e-05
0,37,12689,22979,1,0,-4.0,6.133088009807608e-05
0,38,14489,17632,0,2,-1.0,6.133088009807608e-05
0,39,16482,3355,0,1,-1.0,8.17745067975828e-05
0,40,29968,38204,0,2,-8.0,9.199632014711412e-05
1,41,17632,5767,0,3,-12.0,6.133088009807608e-05
1,42,22979,4085,1,3,-15.0,6.133088009807608e-05
1,43,38204,28922,0,2,-11.0,6.133088009807608e-05
1,44,3355,5830,0,3,-13.0,7.155269344782944e-05
1,45,28922,53570,0,1,-5.0,7.155269344782944e-05
1,46,34542,28015,3,1,-9.0,6.133088009807608e-05
1,47,36350,51427,1,0,-12.0,8.177450679747178e-05
1,48,51427,6607,1,2,-7.0,7.155269344782944e-05
1,49,4595,35087,2,0,-7.0,7.155269344782944e-05
1,50,6820,35546,2,1,-6.0,9.199632014722514e-05
1,51,20147,13174,2,0,-6.0,9.199632014722514e-05
1,52,23157,64669,2,3,-3.0,0.00011243994684662084
1,53,39993,9331,0,3,-1.0,0.00011243994684662084
1,54,45317,45214,0,2,-1.0,0.00011243994684662084
1,55,48143,4126,2,3,-5.0,0.00010221813349686748
1,56,61353,24744,2,0,-4.0,0.00012266176019626318
1,57,6000,24204,3,1,-3.0,0.00012266176019626318
1,58,8810,41362,1,2,-5.0,0.00012266176019626318
1,59,9392,22200,1,0,-3.0,0.00012266176019626318
1,60,11842,11298,1,3,-11.0,0.00012266176019626318
1,61,13152,33002,2,1,-3.0,0.00011243994684662084
1,62,16515,23468,2,1,-1.0,0.00011243994684662084
1,63,18622,29277,2,1,-2.0,0.00010221813349686748
1,64,23474,45373,0,2,-3.0,0.00010221813349686748
1,65,29277,7945,2,3,-5.0,0.00010221813349686748
1,66,33670,3581,1,3,-5.0,0.00010221813349686748
1,67,40365,14045,0,1,-1.0,0.00012266176019615216
1,68,50930,8858,2,0,-1.0,0.00011243994684662084
1,69,52318,61316,0,3,-6.0,0.00013288357354590552
1,70,54267,63143,2,3,-3.0,0.00013288357354590552
1,71,55448,17623,1,0,-12.0,0.00013288357354590552
1,72,60068,29187,2,1,-6.0,0.00013288357354590552
1,73,61379,52628,0,3,-4.0,0.00015332720024541224
1,74,62675,38926,1,2,-3.0,0.00015332720024541224
1,75,62977,6282,1,3,-1.0,0.00015332720024541224
1,76,3203,26447,2,1,-7.0,0.00015332720024541224
1,77,5498,40592,1,0,-1.0,0.00014310538689565888
1,78,6070,27661,2,0,-1.0,0.00013288357354590552
1,79,14512,14483,3,2,-1.0,0.00013288357354590552
1,80,36915,34378,0,3,-1.0,0.00013288357354590552
1,81,7616,24759,3,0,-2.0,0.00012266176019615216
2,82,26447,35489,2,3,-10.0,0.00012266176019615216
2,83,27661,27775,2,3,-8.0,0.00012266176019615216
2,84,29187,38926,2,1,-7.0,0.00012266176019615216
2,85,8858,60575,2,0,-6.0,0.00013288357354590552
2,86,34378,12711,0,3,-12.0,0.00013288357354590552
2,87,38926,14483,2,3,-2.0,0.00013288357354590552
2,88,6000,23467,1,2,-3.0,0.00013288357354590552
2,89,9392,18630,0,1,-10.0,0.00012266176019626318
2,90,14045,24750,0,1,-8.0,0.00011243994684662084
2,91,45317,17632,2,3,-2.0,0.00011243994684662084
2,92,52628,24759,0,3,-5.0,0.00011243994684662084
2,93,63143,14951,2,1,-1.0,0.00011243994684662084
2,94,6282,26531,1,3,-2.0,0.00011243994684662084
2,95,7945,20959,2,3,-1.0,0.00011243994684662084
2,96,17632,55985,2,0,-4.0,0.00011243994684662084
2,97,38204,23157,2,3,-1.0,0.00011243994684662084
2,98,61316,25468,0,3,-4.0,0.00011243994684662084
2,99,6820,50126,1,2,-2.0,0.00011243994684662084
2,100,8810,11437,2,1,-1.0,0.00010221813349686748
2,101,39993,4176,3,0,-3.0,0.00012266176019615216
2,102,49622,21294,0,3,-2.0,0.00012266176019615216
2,103,56135,17325,0,3,-2.0,0.00012266176019615216
2,104,4176,4126,3,2,-1.0,0.00012266176019615216
2,105,6436,4595,2,0,-4.0,0.00011243994684662084
2,106,7988,16515,2,1,-5.0,0.00011243994684662084
2,107,11048,21556,1,3,-1.0,0.00011243994684662084
2,108,11193,45373,2,0,-3.0,0.00010221813349686748
2,109,11969,38561,0,3,-3.0,0.00011243994684662084
2,110,12044,61353,2,0,-8.0,0.00010221813349686748
2,111,12711,22989,0,1,-1.0,0.00011243994684662084
2,112,13299,40592,0,1,-4.0,0.00012266176019626318
2,113,18046,36350,2,0,-2.0,0.00012266176019626318
2,114,19737,59439,0,1,-8.0,0.00014310538689565888
2,115,19741,60221,0,2,-1.0,0.00016354901359494356
2,116,19792,60710,0,2,-1.0,0.00017377082694469692
2,117,23491,60497,0,2,-1.0,0.0001942144536439816
2,118,27775,23623,2,1,-2.0,0.0001942144536439816
2,119,28661,9845,2,1,-1.0,0.0001942144536439816
2,120,29480,4274,2,0,-2.0,0.00018399264029445028
2,121,30164,5712,0,1,-2.0,0.00020443626699373496
2,122,43548,64615,1,0,-4.0,0.00017377082694469692
2,123,52423,23468,3,2,-2.0,0.00017377082694469692
2,124,56904,24789,1,3,-1.0,0.00017377082694469692
3,125,6000,23468,2,3,-8.0,0.00017377082694469692
3,126,23622,40348,2,1,-14.0,0.00017377082694469692
3,127,60497,4274,0,2,-5.0,0.00017377082694469692
3,128,63143,9845,1,2,-4.0,0.00017377082694469692
3,129,64615,19931,1,0,-7.0,0.00017377082694469692
3,130,21556,47113,1,3,-4.0,0.00017377082694469692
3,131,36350,28147,2,1,-3.0,0.00017377082694469692
3,132,38561,44129,0,3,-5.0,0.00017377082694469692
3,133,60710,4595,0,2,-2.0,0.00017377082694469692
3,134,4595,28922,0,1,-3.0,0.00016354901359494356
3,135,5712,28036,0,1,-3.0,0.00014310538689565888
3,136,6820,8810,2,1,-1.0,0.00014310538689565888
3,137,23157,38075,2,3,-6.0,0.00015332720024530122
3,138,39993,45947,0,3,-1.0,0.00015332720024530122
3,139,15546,27661,0,3,-1.0,0.00015332720024530122
3,140,26447,24789,3,1,-6.0,0.00015332720024530122
3,141,17202,45317,0,3,-2.0,0.00015332720024530122
3,142,22724,24982,0,1,-1.0,0.00015332720024530122
3,143,25418,49622,0,3,-4.0,0.00015332720024530122
3,144,28036,61316,0,3,-3.0,0.00015332720024541224
3,145,29716,7945,2,3,-4.0,0.00015332720024541224
3,146,34118,52628,0,3,-4.0,0.00018399264029445028
3,147,39470,26531,0,1,-4.0,0.0001942144536439816
3,148,45262,34542,2,1,-1.0,0.0001942144536439816
3,149,45562,9392,0,1,-2.0,0.00021465808034348832
3,150,47238,14045,0,1,-2.0,0.00022487989369324168
3,151,49188,5348,1,0,-3.0,0.00020443626699373496
3,152,49197,60221,2,0,-3.0,0.0001942144536439816
3,153,50000,29187,3,1,-1.0,0.0001942144536439816
3,154,50117,40592,3,0,-1.0,0.0001942144536439816
3,155,50557,16515,1,2,-1.0,0.0001942144536439816
3,156,50834,61353,0,2,-3.0,0.0001942144536439816
3,157,50882,45373,1,2,-3.0,0.0001942144536439816
3,158,51690,6282,0,3,-2.0,0.00021465808034348832
3,159,53134,27208,0,1,-2.0,0.00022487989369324168
3,160,57747,5856,2,0,-4.0,0.00020443626699373496
3,161,57813,8858,3,0,-1.0,0.00020443626699373496
3,162,58497,59439,2,0,-2.0,0.0001942144536439816
3,163,61506,20959,3,2,-1.0,0.0001942144536439816
3,164,63161,14483,3,2,-6.0,0.0001942144536439816
3,165,64135,10273,1,2,-5.0,0.0001942144536439816
3,166,4775,35488,1,2,-4.0,0.0001942144536439816
3,167,5835,38204,2,3,-2.0,0.0001942144536439816
3,168,6609,6408,1,0,-2.0,0.00017377082694469692
3,169,13602,49638,1,3,-1.0,0.00017377082694469692
