variant,phase,requested_accesses,issued_groups,retry_subsets,mean_active_lanes,lane_utilization,estimated_cycles
BA2,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,508753
BA2,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,1958833
BA2,convergence,787824,249592,47128,3.1564473220295524,0.7891118305073881,747049
BA2,relay_init,1173960,388928,95438,3.018450715813724,0.754612678953431,1068955
F1,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,508753
F1,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,1958833
F1,convergence,787824,256754,54290,3.0684001028221566,0.7671000257055391,768535
F1,relay_init,1173960,365866,72376,3.208715759321719,0.8021789398304298,999769
F2,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,508753
F2,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,1958833
F2,convergence,787824,266901,64437,2.9517461530679916,0.7379365382669979,798976
F2,relay_init,1173960,358648,65158,3.2732930338381925,0.8183232584595481,978115
F3,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,508753
F3,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,1958833
F3,convergence,787824,249597,47133,3.156384091154942,0.7890960227887355,747064
F3,relay_init,1173960,373395,79905,3.1440163901498415,0.7860040975374604,1022356
F4,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,508753
F4,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,1958833
F4,convergence,787824,266741,64277,2.953516707217863,0.7383791768044657,798496
F4,relay_init,1173960,358408,64918,3.275484922211558,0.8188712305528895,977395
