original_edge_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
0,1,0,0,1
1,1,1,1,1
2,1,2,2,1
3,1,3,3,1
4,1,0,0,1
5,1,0,0,1
6,1,1,1,1
7,1,2,2,1
8,1,3,3,1
9,1,1,1,1
10,1,0,0,1
11,1,2,2,1
12,0,1,1,0
13,1,2,2,1
14,1,3,3,1
15,1,0,0,1
16,2,3,3,2
17,0,1,1,0
18,1,0,0,1
19,0,2,2,0
20,0,3,3,0
21,0,0,0,0
22,0,1,1,0
23,0,2,2,0
24,0,3,3,0
25,0,0,0,0
26,1,1,1,1
27,1,0,0,1
28,1,2,2,1
29,0,1,1,0
30,0,2,2,0
31,1,3,3,1
32,1,0,0,1
33,1,1,1,1
34,0,3,3,0
35,0,0,0,0
36,0,1,1,0
37,0,2,2,0
38,0,3,3,0
39,0,0,0,0
40,0,1,1,0
41,0,2,2,0
42,0,3,3,0
43,0,0,0,0
44,0,1,1,0
45,0,2,2,0
46,0,3,3,0
47,0,0,0,0
48,0,1,1,0
49,0,2,2,0
50,1,2,2,1
51,1,3,3,0
52,1,0,0,3
53,1,1,1,1
54,1,2,2,1
55,1,3,3,1
56,1,3,3,1
57,1,0,0,1
58,1,1,1,1
59,1,2,2,1
60,1,0,0,1
61,1,3,3,1
62,1,1,1,1
63,0,0,0,0
64,1,1,1,1
65,1,2,2,1
66,1,3,3,1
67,2,2,2,2
68,0,0,0,0
69,1,3,3,1
70,0,1,1,0
71,0,2,2,0
72,0,3,3,0
73,0,0,0,0
74,0,1,1,0
75,0,2,2,0
76,0,3,3,0
77,1,0,0,1
78,1,1,1,1
79,1,1,1,1
80,0,0,0,0
81,0,1,1,0
82,1,2,2,1
83,1,3,3,1
84,1,0,0,1
85,0,2,2,0
86,0,3,3,0
87,0,0,0,0
88,0,1,1,0
89,0,2,2,0
90,0,3,3,0
91,0,0,0,0
92,0,1,1,0
93,0,2,2,0
94,0,3,3,0
95,0,0,0,0
96,0,1,1,0
97,0,2,2,0
98,0,3,3,0
99,0,0,0,0
