original_fault_id,metis_locality_partition,BA1_residue,BA2_residue,BA3_residue
0,1,3,0,1
1,1,0,1,0
2,1,2,3,2
3,1,1,2,1
4,1,2,2,3
5,1,3,0,1
6,1,3,3,1
7,1,1,1,2
8,1,2,2,1
9,1,0,0,0
10,1,3,2,3
11,1,2,1,2
12,0,0,0,0
13,1,1,3,1
14,1,3,1,3
15,1,2,2,2
16,2,3,2,2
17,0,2,3,1
18,1,3,2,3
19,0,0,0,0
20,0,1,1,2
21,0,2,3,3
22,0,3,2,1
23,0,3,2,0
24,0,1,1,2
25,0,0,0,3
26,1,2,3,1
27,1,3,2,1
28,1,3,1,1
29,0,0,0,0
30,0,2,2,2
31,1,2,3,3
32,1,0,0,1
33,1,3,0,2
34,0,2,2,0
35,0,1,1,1
36,0,3,3,3
37,0,1,2,2
38,0,2,1,1
39,0,0,0,0
40,0,1,1,2
41,0,2,2,1
42,0,3,3,3
43,0,0,0,0
44,0,2,2,1
45,0,3,3,0
46,0,0,0,3
47,0,1,1,2
48,0,2,2,1
49,0,3,3,0
50,1,0,0,3
51,1,2,0,1
52,1,1,2,2
53,1,3,3,3
54,1,1,1,0
55,1,0,0,1
56,1,2,2,2
57,1,1,1,1
58,1,0,0,0
59,1,3,3,3
60,1,2,2,1
61,0,1,1,0
62,1,0,0,1
63,1,2,2,3
64,1,3,3,2
65,2,1,1,0
66,0,1,3,1
67,1,3,0,3
68,0,2,2,0
69,0,0,0,2
70,0,1,3,3
71,0,3,1,1
72,0,3,1,0
73,0,2,2,2
74,0,0,0,0
75,1,2,3,1
76,1,3,0,3
77,1,2,2,1
78,0,1,3,0
79,0,3,1,2
80,1,0,0,1
81,1,2,2,1
82,1,1,1,3
83,0,3,3,1
84,0,0,0,0
85,0,2,2,3
86,0,3,3,2
87,0,0,0,1
88,0,1,1,0
89,0,0,0,2
90,0,3,3,1
91,0,2,2,3
92,0,0,0,0
93,0,1,2,2
94,0,3,3,0
95,0,1,1,3
96,0,0,0,1
97,0,2,2,0
98,0,1,3,3
99,1,3,1,1
100,1,0,1,1
101,1,3,3,0
102,1,3,3,3
103,1,1,1,1
104,1,0,0,1
105,1,2,2,2
106,1,3,1,1
107,1,1,0,0
108,1,3,3,3
109,1,0,2,2
110,0,1,1,0
111,1,0,0,1
112,1,2,2,3
113,1,3,3,2
114,2,0,1,2
115,0,1,0,1
116,1,3,1,1
117,0,2,3,0
118,0,0,0,2
119,0,3,2,3
120,0,1,3,1
121,0,2,1,0
122,0,0,2,3
123,0,3,0,2
124,1,0,2,1
125,1,2,0,1
126,1,1,1,3
127,0,3,3,0
128,0,2,2,2
129,1,0,0,1
130,1,3,3,1
131,1,2,2,1
132,0,0,0,0
133,0,1,1,2
134,0,3,3,3
135,0,2,0,1
136,0,0,3,2
137,0,2,2,0
138,0,0,0,2
139,0,1,1,1
140,0,3,3,3
141,0,0,2,0
142,0,2,1,2
143,0,1,1,1
144,0,3,3,0
145,0,0,0,3
146,0,2,2,2
147,0,1,3,1
148,1,3,1,0
149,1,3,2,1
150,1,2,0,2
151,1,3,1,3
152,1,1,3,2
153,1,1,2,1
154,1,3,0,0
155,1,0,3,1
156,1,1,2,2
157,1,3,1,3
158,1,2,0,1
159,0,2,0,0
160,1,0,3,1
161,1,3,2,3
162,1,1,0,2
163,1,2,3,1
164,0,0,1,2
165,1,1,0,1
166,0,3,2,0
167,0,2,3,3
168,0,0,0,1
169,0,1,1,2
170,0,1,3,0
171,0,3,0,3
172,0,2,2,2
173,1,0,1,1
174,1,1,3,3
175,1,3,2,1
176,0,1,1,0
177,0,2,0,2
178,1,0,3,1
179,1,1,2,3
180,1,2,1,2
181,0,3,3,1
182,0,0,0,0
183,0,1,2,3
184,0,2,1,2
185,0,3,0,1
186,0,3,3,0
187,0,2,2,2
188,0,0,0,1
189,0,1,1,3
190,0,3,3,0
191,0,2,2,2
192,0,1,0,1
193,0,3,3,3
194,0,0,2,0
195,0,3,3,2
196,0,1,0,3
197,1,2,1,1
198,1,0,1,0
199,1,1,3,3
200,1,2,3,3
201,1,0,0,1
202,1,1,1,1
203,1,3,2,2
204,1,0,0,2
205,1,2,2,0
206,1,1,3,1
207,1,3,1,3
208,1,1,3,2
209,1,3,1,3
210,0,2,2,0
211,1,0,0,1
212,1,3,2,1
213,0,1,0,2
214,1,2,1,1
215,0,0,3,0
216,0,3,0,2
217,0,2,1,3
218,0,1,3,0
219,0,0,2,1
220,0,3,0,0
221,0,0,3,3
222,1,1,1,1
223,1,2,2,0
224,1,0,2,1
225,0,1,3,0
226,0,3,0,3
227,1,2,1,1
228,1,0,2,1
