variant,phase,requested_accesses,issued_groups,retry_subsets,mean_active_lanes,lane_utilization,full_four_lane_fraction,estimated_cycles
original,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
original,variable,1648224,1065264,212136,1.5472446266840896,0.3868111566710224,0.07260735367007615,2489173
original,convergence,787824,264194,61730,2.9819905069759343,0.7454976267439836,0.5177331809200815,790855
original,relay_init,1173960,355915,62425,3.2984279954483515,0.8246069988620879,0.6611129061714174,969916
metis_node_only,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
metis_node_only,variable,1648224,1065264,212136,1.5472446266840896,0.3868111566710224,0.07260735367007615,2489173
metis_node_only,convergence,787824,268172,65708,2.937756365317781,0.7344390913294453,0.49741956654684305,802789
metis_node_only,relay_init,1173960,359411,65921,3.2663441018777943,0.8165860254694486,0.6467275625954687,980404
metis_partition_edge_reorder,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
metis_partition_edge_reorder,variable,1648224,1055642,202514,1.5613475022782344,0.3903368755695586,0.07545550480181729,2465118
metis_partition_edge_reorder,convergence,787824,266153,63689,2.960041780479649,0.7400104451199122,0.5085195357557495,796732
metis_partition_edge_reorder,relay_init,1173960,358861,65371,3.271350188513101,0.8178375471282753,0.6502155430654208,978754
BA1,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
BA1,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,0.24407122963963204,1958833
BA1,convergence,787824,249648,47184,3.1557392809075178,0.7889348202268794,0.589365827084535,747217
BA1,relay_init,1173960,388918,95428,3.0185283273080703,0.7546320818270176,0.5414046148545452,1068925
BA2,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
BA2,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,0.24407122963963204,1958833
BA2,convergence,787824,249592,47128,3.1564473220295524,0.7891118305073881,0.5896342831501009,747049
BA2,relay_init,1173960,388928,95438,3.018450715813724,0.754612678953431,0.541424119631397,1068955
BA3,check,1179144,301104,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
BA3,variable,1648224,853128,0,1.9319773820575576,0.4829943455143894,0.24407122963963204,1958833
BA3,convergence,787824,257067,54603,3.064664075902391,0.7661660189755978,0.5458460245772503,769474
BA3,relay_init,1173960,404929,111439,2.8991749170842294,0.7247937292710573,0.5050440941498386,1116958
