sample_seed,shot,iterations,relay_legs,difficulty_group,BA2_cycles,F1_cycles,F3_cycles,F1_delta_vs_BA2,F3_delta_vs_BA2
20260809,0,37,1,easy,120010450,120736246,119964406,725796,-46044
20260809,1,51,1,easy,165015340,166041940,164969506,1026600,-45834
20260809,2,74,1,medium,238951945,240472723,238906456,1520778,-45489
20260809,3,56,1,easy,181088515,182222545,181042756,1134030,-45759
20260809,4,53,1,easy,171444610,172514182,171398806,1069572,-45804
20260809,5,171,3,hard_tail,552909450,556375998,552772218,3466548,-137232
20260809,6,344,6,hard_tail,1112248170,1119224238,1111973736,6976068,-274434
20260809,7,56,1,easy,181088515,182222545,181042756,1134030,-45759
20260809,8,54,1,easy,174659245,175750303,174613456,1091058,-45789
20260809,9,117,2,medium,378250205,380625695,378158762,2375490,-91443
20260809,10,53,1,easy,171444610,172514182,171398806,1069572,-45804
20260809,11,104,2,medium,336459950,338556122,336368312,2096172,-91638
20260809,12,60,1,medium,193947055,195167029,193901356,1219974,-45699
20260809,13,181,3,hard_tail,585055800,588737208,584918718,3681408,-137082
20260809,14,39,1,easy,126439720,127208488,126393706,768768,-46014
20260809,15,165,3,hard_tail,533621640,536959272,533484318,3337632,-137322
20260809,16,226,4,hard_tail,730783330,735362422,730600324,4579092,-183006
20260809,17,58,1,medium,187517785,188694787,187472056,1177002,-45729
20260809,18,1940,32,hard_tail,6270598460,6310067348,6269136392,39468888,-1462068
20260809,19,41,1,easy,132868990,133680730,132823006,811740,-45984
20260809,20,74,1,medium,238951945,240472723,238906456,1520778,-45489
20260809,21,26,1,easy,84649465,85138915,84603256,489450,-46209
20260809,22,40,1,easy,129654355,130444609,129608356,790254,-45999
20260809,23,101,2,medium,326816045,328847759,326724362,2031714,-91683
20260809,24,127,2,medium,410396555,412986905,410305262,2590350,-91293
20260809,25,200,3,hard_tail,646133865,650223507,645997068,4089642,-136797
20260809,26,133,2,hard_tail,429684365,432403631,429593162,2719266,-91203
20260809,27,230,4,hard_tail,743641870,748306906,743458924,4665036,-182946
20260809,28,290,5,hard_tail,937588925,943473935,937360280,5885010,-228645
20260809,29,551,9,hard_tail,1780884480,1792100592,1780473354,11216112,-411126
20260809,30,56,1,easy,181088515,182222545,181042756,1134030,-45759
20260809,31,22,1,easy,71790925,72194431,71744656,403506,-46269
20260810,0,67,1,medium,216449500,217819876,216403906,1370376,-45594
20260810,1,31,1,easy,100722640,101319520,100676506,596880,-46134
20260810,2,74,1,medium,238951945,240472723,238906456,1520778,-45489
20260810,3,110,2,medium,355747760,357972848,355656212,2225088,-91548
20260810,4,967,16,hard_tail,3125655325,3145325311,3124924246,19669986,-731079
20260810,5,49,1,easy,158586070,159569698,158540206,983628,-45864
20260810,6,23,1,easy,75005560,75430552,74959306,424992,-46254
20260810,7,190,3,hard_tail,613987515,617862297,613850568,3874782,-136947
20260810,8,103,2,medium,333245315,335320001,333153662,2074686,-91653
20260810,9,1430,24,hard_tail,4622582970,4651647486,4621486044,29064516,-1096926
20260810,10,42,1,easy,136083625,136916851,136037656,833226,-45969
20260810,11,50,1,easy,161800705,162805819,161754856,1005114,-45849
20260810,12,34,1,easy,110366545,111027883,110320456,661338,-46089
20260810,13,189,3,hard_tail,610772880,614626176,610635918,3853296,-136962
20260810,14,63,1,medium,203590960,204875392,203545306,1284432,-45654
20260810,15,17,1,easy,55717750,56013826,55671406,296076,-46344
20260810,16,47,1,easy,152156800,153097456,152110906,940656,-45894
20260810,17,38,1,easy,123225085,123972367,123179056,747282,-46029
20260810,18,72,1,medium,232522675,234000481,232477156,1477806,-45519
20260810,19,550,9,hard_tail,1777669845,1788864471,1777258704,11194626,-411141
20260810,20,285,5,hard_tail,921515750,927293330,921287030,5777580,-228720
20260810,21,104,2,medium,336459950,338556122,336368312,2096172,-91638
20260810,22,77,1,medium,248595850,250181086,248550406,1585236,-45444
20260810,23,47,1,easy,152156800,153097456,152110906,940656,-45894
20260810,24,66,1,medium,213234865,214583755,213189256,1348890,-45609
20260810,25,58,1,medium,187517785,188694787,187472056,1177002,-45729
20260810,26,1940,32,hard_tail,6270598460,6310067348,6269136392,39468888,-1462068
20260810,27,56,1,easy,181088515,182222545,181042756,1134030,-45759
20260810,28,45,1,easy,145727530,146625214,145681606,897684,-45924
