decoder,shot,converged,iterations,relay_legs,valid_solutions,selected_solution_weight,syndrome_weight,sampled_error_weight
standard_bp,0,1,6,1,1,27.808789518682186,22,8
standard_bp,1,1,3,1,1,20.85659213901164,16,6
standard_bp,2,1,3,1,1,13.904394759341093,10,4
standard_bp,3,1,3,1,1,20.85659213901164,18,6
standard_bp,4,1,4,1,1,27.808789518682186,24,8
standard_bp,5,1,3,1,1,17.380493449176367,15,5
standard_bp,6,0,80,1,0,,35,17
standard_bp,7,1,4,1,1,34.76098689835273,26,10
standard_bp,8,1,3,1,1,20.85659213901164,14,6
standard_bp,9,1,9,1,1,31.284888208517458,21,9
standard_bp,10,1,5,1,1,34.76098689835273,26,10
standard_bp,11,1,3,1,1,17.380493449176367,15,5
standard_bp,12,1,3,1,1,24.332690828846914,19,7
standard_bp,13,1,2,1,1,13.904394759341093,12,4
standard_bp,14,1,62,1,1,27.808789518682186,24,8
standard_bp,15,1,2,1,1,13.904394759341093,12,4
standard_bp,16,1,64,1,1,38.23708558818801,27,11
standard_bp,17,1,3,1,1,24.33269082884691,19,7
standard_bp,18,1,64,1,1,38.23708558818801,27,11
standard_bp,19,1,4,1,1,27.808789518682186,20,8
standard_bp,20,1,63,1,1,52.1414803475291,37,15
standard_bp,21,1,62,1,1,27.808789518682186,24,8
standard_bp,22,1,4,1,1,34.76098689835273,26,10
standard_bp,23,1,5,1,1,31.284888208517458,21,9
standard_bp,24,1,2,1,1,13.904394759341093,10,4
standard_bp,25,1,5,1,1,31.284888208517458,23,9
standard_bp,26,1,3,1,1,27.808789518682186,20,8
standard_bp,27,1,3,1,1,27.808789518682186,22,8
standard_bp,28,0,80,1,0,,24,10
standard_bp,29,1,67,1,1,52.1414803475291,41,15
standard_bp,30,1,64,1,1,45.18928296785855,31,13
standard_bp,31,1,3,1,1,34.76098689835273,28,10
standard_bp,32,1,4,1,1,34.76098689835273,28,10
standard_bp,33,1,3,1,1,31.284888208517458,23,9
standard_bp,34,1,3,1,1,20.85659213901164,18,6
standard_bp,35,1,63,1,1,45.18928296785855,35,13
standard_bp,36,1,76,1,1,20.85659213901164,14,6
