decoder,shot,decoder_seed,syndrome_weight,observed_logical_weight,syndrome_converged,logical_action_match,logically_correct,logical_residual_weight,final_syndrome_residual_weight,iterations,relay_legs,valid_solutions,selected_solution_weight,later_gamma_minimum,later_negative_gamma_count
standard_bp,0,91,211,8,0,0,0,7,77,80,1,0,,,0
standard_bp,1,92,157,6,0,0,0,3,29,80,1,0,,,0
standard_bp,2,93,164,8,0,0,0,2,15,80,1,0,,,0
standard_bp,3,94,143,6,0,1,0,0,2,80,1,0,,,0
standard_bp,4,95,177,7,0,0,0,3,13,80,1,0,,,0
standard_bp,5,96,169,4,0,0,0,1,7,80,1,0,,,0
standard_bp,6,97,199,6,0,0,0,5,38,80,1,0,,,0
standard_bp,7,98,149,9,0,0,0,4,33,80,1,0,,,0
standard_bp,8,99,211,5,0,0,0,7,66,80,1,0,,,0
standard_bp,9,100,198,4,0,0,0,3,38,80,1,0,,,0
standard_bp,10,101,197,6,0,0,0,3,29,80,1,0,,,0
standard_bp,11,102,221,9,0,0,0,7,60,80,1,0,,,0
standard_bp,12,103,219,6,0,0,0,8,47,80,1,0,,,0
standard_bp,13,104,175,5,0,0,0,6,17,80,1,0,,,0
standard_bp,14,105,141,4,0,0,0,8,24,80,1,0,,,0
standard_bp,15,106,189,8,0,0,0,7,60,80,1,0,,,0
standard_bp,16,107,152,2,0,0,0,3,19,80,1,0,,,0
standard_bp,17,108,164,8,1,1,1,0,0,54,1,1,284.69989651690383,,0
standard_bp,18,109,186,4,0,0,0,6,57,80,1,0,,,0
standard_bp,19,110,188,3,1,1,1,0,0,74,1,1,348.65966506017435,,0
standard_bp,20,111,174,5,0,0,0,4,39,80,1,0,,,0
standard_bp,21,112,183,7,0,0,0,9,33,80,1,0,,,0
standard_bp,22,113,192,8,0,0,0,8,12,80,1,0,,,0
standard_bp,23,114,159,9,0,0,0,2,12,80,1,0,,,0
standard_bp,24,115,153,7,0,0,0,2,59,80,1,0,,,0
standard_bp,25,116,147,2,0,0,0,5,21,80,1,0,,,0
standard_bp,26,117,177,7,0,0,0,9,23,80,1,0,,,0
standard_bp,27,118,217,6,0,0,0,9,26,80,1,0,,,0
standard_bp,28,119,177,7,0,0,0,4,44,80,1,0,,,0
standard_bp,29,120,195,6,1,1,1,0,0,74,1,1,359.66557787147053,,0
standard_bp,30,121,215,7,0,0,0,1,11,80,1,0,,,0
standard_bp,31,122,173,6,0,0,0,3,31,80,1,0,,,0
uniform_mem_bp,0,91,211,8,0,1,0,0,11,80,1,0,,,0
uniform_mem_bp,1,92,157,6,0,1,0,0,2,80,1,0,,,0
uniform_mem_bp,2,93,164,8,0,0,0,2,8,80,1,0,,,0
uniform_mem_bp,3,94,143,6,0,1,0,0,6,80,1,0,,,0
uniform_mem_bp,4,95,177,7,1,1,1,0,0,30,1,1,348.95587041055387,,0
uniform_mem_bp,5,96,169,4,1,1,1,0,0,55,1,1,303.13159762813854,,0
uniform_mem_bp,6,97,199,6,0,1,0,0,1,80,1,0,,,0
uniform_mem_bp,7,98,149,9,1,1,1,0,0,77,1,1,277.9420489558494,,0
uniform_mem_bp,8,99,211,5,0,1,0,0,9,80,1,0,,,0
uniform_mem_bp,9,100,198,4,1,1,1,0,0,79,1,1,387.13162617557873,,0
uniform_mem_bp,10,101,197,6,0,1,0,0,1,80,1,0,,,0
uniform_mem_bp,11,102,221,9,1,1,1,0,0,58,1,1,390.75721776485346,,0
uniform_mem_bp,12,103,219,6,1,1,1,0,0,42,1,1,398.1300105243204,,0
uniform_mem_bp,13,104,175,5,1,1,1,0,0,58,1,1,312.93563629966496,,0
uniform_mem_bp,14,105,141,4,1,1,1,0,0,48,1,1,268.737871067219,,0
uniform_mem_bp,15,106,189,8,0,1,0,0,9,80,1,0,,,0
uniform_mem_bp,16,107,152,2,0,0,0,2,3,80,1,0,,,0
uniform_mem_bp,17,108,164,8,0,1,0,0,2,80,1,0,,,0
uniform_mem_bp,18,109,186,4,1,1,1,0,0,42,1,1,347.3475566344611,,0
uniform_mem_bp,19,110,188,3,1,1,1,0,0,39,1,1,352.4556250660338,,0
uniform_mem_bp,20,111,174,5,1,1,1,0,0,38,1,1,308.6340437998472,,0
uniform_mem_bp,21,112,183,7,1,1,1,0,0,31,1,1,349.61270131659455,,0
uniform_mem_bp,22,113,192,8,1,1,1,0,0,25,1,1,329.28804700131025,,0
uniform_mem_bp,23,114,159,9,0,1,0,0,10,80,1,0,,,0
uniform_mem_bp,24,115,153,7,0,0,0,1,4,80,1,0,,,0
uniform_mem_bp,25,116,147,2,1,1,1,0,0,35,1,1,253.7260247601767,,0
uniform_mem_bp,26,117,177,7,0,1,0,0,8,80,1,0,,,0
uniform_mem_bp,27,118,217,6,1,1,1,0,0,80,1,1,441.64585755629923,,0
uniform_mem_bp,28,119,177,7,0,0,0,5,16,80,1,0,,,0
uniform_mem_bp,29,120,195,6,1,1,1,0,0,57,1,1,371.4667775319766,,0
uniform_mem_bp,30,121,215,7,1,1,1,0,0,79,1,1,369.1221316657617,,0
uniform_mem_bp,31,122,173,6,1,1,1,0,0,31,1,1,315.4709473059007,,0
relay_s1_positive_only,0,91,211,8,1,1,1,0,0,90,2,1,416.7315725819187,8.417103543250093e-06,0
relay_s1_positive_only,1,92,157,6,1,1,1,0,0,219,4,1,322.29432067023924,9.262779537388966e-07,0
relay_s1_positive_only,2,93,164,8,1,1,1,0,0,89,2,1,324.262390270897,1.9136820105896124e-05,0
relay_s1_positive_only,3,94,143,6,1,1,1,0,0,97,2,1,293.8025448367195,5.282801365664725e-06,0
relay_s1_positive_only,4,95,177,7,1,1,1,0,0,30,1,1,348.95587041055387,,0
relay_s1_positive_only,5,96,169,4,1,1,1,0,0,55,1,1,303.13159762813854,,0
relay_s1_positive_only,6,97,199,6,1,1,1,0,0,112,2,1,341.0020316435423,1.4239126297608263e-05,0
relay_s1_positive_only,7,98,149,9,1,1,1,0,0,77,1,1,277.9420489558494,,0
relay_s1_positive_only,8,99,211,5,1,1,1,0,0,87,2,1,437.7774800975491,2.6978539715694086e-06,0
relay_s1_positive_only,9,100,198,4,1,1,1,0,0,79,1,1,387.13162617557873,,0
