decoder,shot,syndrome_weight,observed_logical_weight,syndrome_converged,logical_action_match,logically_correct,predicted_logical_weight,logical_residual_weight,iterations,relay_legs,valid_solutions,selected_solution_weight
standard_bp,0,211,8,0,0,0,7,7,80,1,0,
standard_bp,1,157,6,0,0,0,7,3,80,1,0,
standard_bp,2,164,8,0,0,0,6,2,80,1,0,
standard_bp,3,143,6,0,1,0,6,0,80,1,0,
standard_bp,4,177,7,0,0,0,6,3,80,1,0,
standard_bp,5,169,4,0,0,0,3,1,80,1,0,
standard_bp,6,199,6,0,0,0,9,5,80,1,0,
standard_bp,7,149,9,0,0,0,7,4,80,1,0,
standard_bp,8,211,5,0,0,0,6,7,80,1,0,
standard_bp,9,198,4,0,0,0,5,3,80,1,0,
standard_bp,10,197,6,0,0,0,5,3,80,1,0,
standard_bp,11,221,9,0,0,0,4,7,80,1,0,
standard_bp,12,219,6,0,0,0,6,8,80,1,0,
standard_bp,13,175,5,0,0,0,3,6,80,1,0,
standard_bp,14,141,4,0,0,0,6,8,80,1,0,
standard_bp,15,189,8,0,0,0,5,7,80,1,0,
standard_bp,16,152,2,0,0,0,3,3,80,1,0,
standard_bp,17,164,8,1,1,1,8,0,54,1,1,284.69989651690383
standard_bp,18,186,4,0,0,0,6,6,80,1,0,
standard_bp,19,188,3,1,1,1,3,0,74,1,1,348.65966506017435
standard_bp,20,174,5,0,0,0,7,4,80,1,0,
standard_bp,21,183,7,0,0,0,6,9,80,1,0,
standard_bp,22,192,8,0,0,0,8,8,80,1,0,
standard_bp,23,159,9,0,0,0,7,2,80,1,0,
standard_bp,24,153,7,0,0,0,7,2,80,1,0,
standard_bp,25,147,2,0,0,0,3,5,80,1,0,
standard_bp,26,177,7,0,0,0,6,9,80,1,0,
standard_bp,27,217,6,0,0,0,3,9,80,1,0,
standard_bp,28,177,7,0,0,0,7,4,80,1,0,
standard_bp,29,195,6,1,1,1,6,0,74,1,1,359.66557787147053
standard_bp,30,215,7,0,0,0,6,1,80,1,0,
standard_bp,31,173,6,0,0,0,3,3,80,1,0,
uniform_mem_bp,0,211,8,0,1,0,8,0,80,1,0,
uniform_mem_bp,1,157,6,0,1,0,6,0,80,1,0,
uniform_mem_bp,2,164,8,0,0,0,6,2,80,1,0,
uniform_mem_bp,3,143,6,0,1,0,6,0,80,1,0,
uniform_mem_bp,4,177,7,1,1,1,7,0,30,1,1,348.95587041055387
uniform_mem_bp,5,169,4,1,1,1,4,0,55,1,1,303.13159762813854
uniform_mem_bp,6,199,6,0,1,0,6,0,80,1,0,
uniform_mem_bp,7,149,9,1,1,1,9,0,77,1,1,277.9420489558494
uniform_mem_bp,8,211,5,0,1,0,5,0,80,1,0,
uniform_mem_bp,9,198,4,1,1,1,4,0,79,1,1,387.13162617557873
uniform_mem_bp,10,197,6,0,1,0,6,0,80,1,0,
uniform_mem_bp,11,221,9,1,1,1,9,0,58,1,1,390.75721776485346
uniform_mem_bp,12,219,6,1,1,1,6,0,42,1,1,398.1300105243204
uniform_mem_bp,13,175,5,1,1,1,5,0,58,1,1,312.93563629966496
uniform_mem_bp,14,141,4,1,1,1,4,0,48,1,1,268.737871067219
uniform_mem_bp,15,189,8,0,1,0,8,0,80,1,0,
uniform_mem_bp,16,152,2,0,0,0,2,2,80,1,0,
uniform_mem_bp,17,164,8,0,1,0,8,0,80,1,0,
uniform_mem_bp,18,186,4,1,1,1,4,0,42,1,1,347.3475566344611
uniform_mem_bp,19,188,3,1,1,1,3,0,39,1,1,352.4556250660338
uniform_mem_bp,20,174,5,1,1,1,5,0,38,1,1,308.6340437998472
uniform_mem_bp,21,183,7,1,1,1,7,0,31,1,1,349.61270131659455
