configuration,sample_seed,shot,syndrome_converged,logical_action_match,logically_correct,iterations,relay_legs,rescued_beyond_first_leg,valid_solutions,selected_solution_weight
balanced,20260809,0,1,1,1,23,1,0,1,328.6641794878916
balanced,20260809,1,1,1,1,17,1,0,1,298.31313780294295
balanced,20260809,2,1,1,1,25,1,0,1,388.67262118387396
balanced,20260809,3,1,1,1,36,1,0,1,362.1952545164906
balanced,20260809,4,1,1,1,15,1,0,1,319.89038709201327
balanced,20260809,5,1,1,1,16,1,0,1,274.69419033665883
balanced,20260809,6,1,1,1,23,1,0,1,302.4205950937307
balanced,20260809,7,1,1,1,114,2,1,1,343.06178101531583
balanced,20260809,8,1,1,1,56,1,0,1,359.70213395503305
balanced,20260809,9,1,1,1,334,6,1,1,342.90550571574124
balanced,20260809,10,1,1,1,39,1,0,1,351.1709519540915
balanced,20260809,11,1,1,1,21,1,0,1,361.91901569493524
balanced,20260809,12,1,1,1,52,1,0,1,385.6277491698546
balanced,20260809,13,1,1,1,471,8,1,1,444.04929026291046
balanced,20260809,14,1,1,1,61,1,0,1,344.9932359701255
balanced,20260809,15,1,1,1,185,3,1,1,392.8371303649066
balanced,20260809,16,1,1,1,34,1,0,1,393.06636497611544
balanced,20260809,17,1,1,1,22,1,0,1,350.00538713651184
balanced,20260809,18,1,1,1,22,1,0,1,453.84616372582457
balanced,20260809,19,1,1,1,25,1,0,1,387.839971311754
balanced,20260809,20,1,1,1,24,1,0,1,279.96045497823843
balanced,20260809,21,1,1,1,14,1,0,1,273.57854771508386
balanced,20260809,22,1,1,1,22,1,0,1,360.3091827740966
balanced,20260809,23,1,1,1,16,1,0,1,360.65008896626534
balanced,20260809,24,1,1,1,19,1,0,1,299.5748059099719
balanced,20260809,25,1,1,1,22,1,0,1,231.49009693130174
balanced,20260809,26,1,1,1,27,1,0,1,298.1364026687779
balanced,20260809,27,1,1,1,38,1,0,1,279.68360395475577
balanced,20260809,28,1,1,1,249,4,1,1,332.2408439188472
balanced,20260809,29,1,1,1,43,1,0,1,385.2152367537198
balanced,20260809,30,1,1,1,33,1,0,1,325.8828210696963
balanced,20260809,31,1,1,1,20,1,0,1,285.52694858161897
balanced,20260809,32,1,1,1,28,1,0,1,340.4050680907237
balanced,20260809,33,1,1,1,18,1,0,1,346.02187035022496
balanced,20260809,34,1,1,1,226,4,1,1,385.6033038513326
balanced,20260809,35,1,1,1,52,1,0,1,407.4045599519107
balanced,20260809,36,1,1,1,25,1,0,1,396.351264363206
balanced,20260809,37,0,1,0,980,16,0,0,
balanced,20260809,38,1,1,1,37,1,0,1,391.12588992694896
balanced,20260809,39,1,1,1,37,1,0,1,360.0953822279208
balanced,20260809,40,1,1,1,33,1,0,1,293.50734883469914
balanced,20260809,41,1,1,1,18,1,0,1,226.82538599575787
balanced,20260809,42,1,1,1,25,1,0,1,328.3955906081728
balanced,20260809,43,1,1,1,21,1,0,1,343.36213996198785
balanced,20260809,44,1,1,1,18,1,0,1,396.4687337538469
balanced,20260809,45,1,1,1,26,1,0,1,247.19065710579184
balanced,20260809,46,1,1,1,25,1,0,1,399.623139095343
balanced,20260809,47,1,1,1,22,1,0,1,300.8377827556977
balanced,20260809,48,1,1,1,27,1,0,1,391.10301773934555
balanced,20260809,49,1,1,1,25,1,0,1,379.82016155951317
balanced,20260809,50,1,1,1,31,1,0,1,313.24746694633507
balanced,20260809,51,1,1,1,17,1,0,1,272.420109038991
balanced,20260809,52,1,1,1,44,1,0,1,258.6872963628482
balanced,20260809,53,1,1,1,80,1,0,1,353.6181848264015
balanced,20260809,54,1,1,1,46,1,0,1,385.9629727434567
balanced,20260809,55,1,1,1,25,1,0,1,405.4659368855956
balanced,20260809,56,1,1,1,184,3,1,1,348.3060198881217
balanced,20260809,57,1,1,1,19,1,0,1,335.1588456344334
balanced,20260809,58,1,1,1,16,1,0,1,303.81979552907956
balanced,20260809,59,1,1,1,45,1,0,1,452.26105662239297
