first_gamma,later_gamma_low,later_gamma_high,S,R,shot,syndrome_converged,logical_action_match,logically_correct,selected_weight,iterations,first_leg_iterations,legs,solutions,first_leg_success,rescued
0.0,-0.24,0.66,1,4,0,1,1,1,331.7879712499155,157,80,3,1,False,True
0.0,-0.24,0.66,1,4,1,1,1,1,381.3163557671398,235,80,4,1,False,True
0.0,-0.24,0.66,1,4,2,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,3,1,1,1,431.9346899709031,128,80,2,1,False,True
0.0,-0.24,0.66,1,4,4,1,1,1,390.4565399682235,164,80,3,1,False,True
0.0,-0.24,0.66,1,4,5,1,1,1,320.6615603294945,122,80,2,1,False,True
0.0,-0.24,0.66,1,4,6,1,1,1,297.8308689221501,96,80,2,1,False,True
0.0,-0.24,0.66,1,4,7,1,1,1,378.4128512133224,168,80,3,1,False,True
0.0,-0.24,0.66,1,4,8,1,1,1,397.5820693204111,125,80,2,1,False,True
0.0,-0.24,0.66,1,4,9,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,10,1,1,1,395.59288380907685,229,80,4,1,False,True
0.0,-0.24,0.66,1,4,11,1,1,1,375.5771447742879,161,80,3,1,False,True
0.0,-0.24,0.66,1,4,12,1,1,1,458.6545593687107,249,80,4,1,False,True
0.0,-0.24,0.66,1,4,13,1,1,1,415.360830262527,108,80,2,1,False,True
0.0,-0.24,0.66,1,4,14,1,1,1,397.5328155140582,117,80,2,1,False,True
0.0,-0.24,0.66,1,4,15,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,16,1,1,1,452.3248847030899,128,80,2,1,False,True
0.0,-0.24,0.66,1,4,17,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,18,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,19,1,1,1,387.6683831913191,110,80,2,1,False,True
0.0,-0.24,0.66,1,4,20,1,1,1,309.79995896247976,160,80,3,1,False,True
0.0,-0.24,0.66,1,4,21,1,1,1,273.27694131595507,28,28,1,1,True,False
0.0,-0.24,0.66,1,4,22,1,1,1,356.4964698308506,175,80,3,1,False,True
0.0,-0.24,0.66,1,4,23,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,24,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,25,1,1,1,272.6594027270874,130,80,2,1,False,True
0.0,-0.24,0.66,1,4,26,1,1,1,328.9392997256548,111,80,2,1,False,True
0.0,-0.24,0.66,1,4,27,1,1,1,285.97836000052786,136,80,2,1,False,True
0.0,-0.24,0.66,1,4,28,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,29,1,1,1,358.42710381061477,109,80,2,1,False,True
0.0,-0.24,0.66,1,4,30,1,1,1,381.2000547456911,113,80,2,1,False,True
0.0,-0.24,0.66,1,4,31,1,1,1,275.3124962264201,35,35,1,1,True,False
0.0,-0.24,0.66,1,4,32,1,1,1,365.50875940219794,172,80,3,1,False,True
0.0,-0.24,0.66,1,4,33,1,1,1,398.1735913862553,134,80,2,1,False,True
0.0,-0.24,0.66,1,4,34,1,1,1,371.85530877758947,240,80,4,1,False,True
0.0,-0.24,0.66,1,4,35,1,1,1,486.68339885182775,223,80,4,1,False,True
0.0,-0.24,0.66,1,4,36,1,1,1,477.64660918741225,174,80,3,1,False,True
0.0,-0.24,0.66,1,4,37,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,38,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,39,1,1,1,399.63955823300114,104,80,2,1,False,True
0.0,-0.24,0.66,1,4,40,1,1,1,322.0494654711864,95,80,2,1,False,True
0.0,-0.24,0.66,1,4,41,1,1,1,237.28590645567897,96,80,2,1,False,True
0.0,-0.24,0.66,1,4,42,1,1,1,378.2015278151079,139,80,2,1,False,True
0.0,-0.24,0.66,1,4,43,1,1,1,343.65623670706134,92,80,2,1,False,True
0.0,-0.24,0.66,1,4,44,1,1,1,408.75713258547785,77,77,1,1,True,False
0.0,-0.24,0.66,1,4,45,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,46,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,47,1,1,1,317.9390187451212,101,80,2,1,False,True
0.0,-0.24,0.66,1,4,48,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,49,1,1,1,372.9305688032215,217,80,4,1,False,True
0.0,-0.24,0.66,1,4,50,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,51,1,1,1,319.6492577322905,165,80,3,1,False,True
0.0,-0.24,0.66,1,4,52,1,1,1,260.88452008411275,58,58,1,1,True,False
0.0,-0.24,0.66,1,4,53,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,54,1,1,1,447.8202041827426,98,80,2,1,False,True
0.0,-0.24,0.66,1,4,55,1,1,1,448.7273317807109,160,80,3,1,False,True
0.0,-0.24,0.66,1,4,56,1,1,1,356.3267606226549,111,80,2,1,False,True
0.0,-0.24,0.66,1,4,57,1,1,1,351.90490178238804,101,80,2,1,False,True
0.0,-0.24,0.66,1,4,58,1,1,1,357.64810045257786,133,80,2,1,False,True
0.0,-0.24,0.66,1,4,59,1,1,1,530.5591047822154,168,80,3,1,False,True
0.0,-0.24,0.66,1,4,60,1,1,1,303.20296854616174,73,73,1,1,True,False
0.0,-0.24,0.66,1,4,61,1,1,1,434.72320694328266,224,80,4,1,False,True
0.0,-0.24,0.66,1,4,62,1,1,1,405.1372717097297,159,80,3,1,False,True
0.0,-0.24,0.66,1,4,63,1,1,1,404.65378692721674,164,80,3,1,False,True
0.0,-0.24,0.66,1,4,64,1,1,1,278.7770616951118,80,80,1,1,True,False
0.0,-0.24,0.66,1,4,65,1,1,1,281.10892541365035,75,75,1,1,True,False
0.0,-0.24,0.66,1,4,66,1,1,1,358.27238286389036,216,80,4,1,False,True
0.0,-0.24,0.66,1,4,67,1,1,1,519.3386548067904,222,80,4,1,False,True
0.0,-0.24,0.66,1,4,68,1,1,1,343.75027521098895,192,80,3,1,False,True
0.0,-0.24,0.66,1,4,69,0,1,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,70,0,0,0,,260,80,4,0,False,False
0.0,-0.24,0.66,1,4,71,1,1,1,245.84681147869253,97,80,2,1,False,True
0.0,-0.24,0.66,1,4,72,1,1,1,400.94913464347,219,80,4,1,False,True
0.0,-0.24,0.66,1,4,73,1,1,1,294.60331266832117,233,80,4,1,False,True
0.0,-0.24,0.66,1,4,74,1,1,1,437.6079519525885,110,80,2,1,False,True
0.0,-0.24,0.66,1,4,75,1,1,1,419.93567240885443,101,80,2,1,False,True
0.0,-0.24,0.66,1,4,76,1,1,1,402.715009566937,101,80,2,1,False,True
0.0,-0.24,0.66,1,4,77,1,1,1,399.2851641654929,192,80,3,1,False,True
0.0,-0.24,0.66,1,4,78,1,1,1,308.62544822366215,108,80,2,1,False,True
0.0,-0.24,0.66,1,4,79,1,1,1,350.5871166264847,135,80,2,1,False,True
