configuration,mantissa_bits,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,exact_correction_agrees_with_float,correction_hamming_distance,iterations,relay_legs,iterations_agree_with_float,relay_legs_agree_with_float,mantissa_saturation,guard_saturation,exponent_changes,exponent_min,exponent_max,rescale_nonzero_to_zero,quantized_value_count
balanced,8,0,0,0,0,0,191,980,16,0,0,0,0,203,0,5,4459748,449890560
balanced,8,1,0,0,0,0,98,980,16,0,0,0,0,193,0,7,5942651,449890560
balanced,8,2,0,0,0,0,111,980,16,0,0,0,0,193,0,5,4349808,449890560
balanced,8,3,0,0,0,0,5243,980,16,0,0,0,0,204,0,5,4010586,449890560
balanced,8,4,0,0,0,0,194,980,16,0,0,0,0,181,0,7,6133209,449890560
balanced,8,5,0,0,0,0,108,980,16,0,0,0,0,201,0,5,4514843,449890560
balanced,8,6,0,0,0,0,73,980,16,0,0,0,0,210,0,6,6496185,449890560
balanced,8,7,0,0,0,0,1202,980,16,0,0,0,0,235,0,6,5318356,449890560
balanced,8,8,0,0,0,0,124,980,16,0,0,0,0,222,0,7,5491211,449890560
balanced,8,9,0,0,0,0,151,980,16,0,0,1,0,245,0,6,5143870,449890560
balanced,8,10,0,0,0,0,77,980,16,0,0,0,0,225,0,6,6079932,449890560
balanced,8,11,0,0,0,0,136,980,16,0,0,0,0,167,0,5,4329101,449890560
balanced,8,12,0,0,0,0,183,980,16,0,0,1,0,157,0,8,6923340,449890560
balanced,8,13,0,0,0,0,479,980,16,0,0,0,0,172,0,5,4809088,449890560
balanced,8,14,0,0,0,0,1605,980,16,0,0,0,0,185,0,5,5266093,449890560
balanced,8,15,0,0,0,0,142,980,16,0,0,2,0,174,0,6,5021324,449890560
balanced,8,16,0,0,0,0,291,980,16,0,0,0,0,136,0,6,4654451,449890560
balanced,8,17,0,0,0,0,77,980,16,0,0,0,0,206,0,8,6593442,449890560
balanced,8,18,0,0,0,0,107,980,16,0,0,1,0,169,0,5,4340083,449890560
balanced,8,19,0,0,0,0,125,980,16,0,0,11,0,125,0,4,3403346,449890560
balanced,8,20,0,0,0,0,467,980,16,0,0,0,0,195,0,7,5143515,449890560
balanced,8,21,0,0,0,0,55,980,16,0,0,0,0,259,0,9,6462315,449890560
balanced,8,22,0,0,0,0,184,980,16,0,0,0,0,159,0,5,3990276,449890560
balanced,8,23,0,0,0,0,99,980,16,0,0,0,0,182,0,5,4269075,449890560
balanced,8,24,0,0,0,0,185,980,16,0,0,1,0,193,0,5,4489759,449890560
balanced,8,25,0,0,0,0,95,980,16,0,0,0,0,201,0,5,4543910,449890560
balanced,8,26,0,0,0,0,1359,980,16,0,0,0,0,208,0,5,4627920,449890560
balanced,8,27,0,0,0,0,193,980,16,0,0,0,0,187,0,6,6239535,449890560
balanced,8,28,0,0,0,0,125,980,16,0,0,0,0,188,0,5,4482877,449890560
balanced,8,29,0,0,0,0,272,980,16,0,0,0,0,189,0,6,4417567,449890560
balanced,8,30,0,0,0,0,3130,980,16,0,0,0,0,268,0,11,7037251,449890560
balanced,8,31,0,0,0,0,618,980,16,0,0,0,0,239,0,7,5531997,449890560
balanced,8,32,0,0,0,0,191,980,16,0,0,0,0,189,0,10,7048682,449890560
balanced,8,33,0,0,0,0,242,980,16,0,0,0,0,192,0,6,4609500,449890560
balanced,8,34,0,0,0,0,338,980,16,0,0,0,0,218,0,7,4809503,449890560
balanced,8,35,0,0,0,0,1107,980,16,0,0,0,0,161,0,8,6108023,449890560
balanced,8,36,0,0,0,0,433,980,16,0,0,0,0,173,0,7,6532093,449890560
balanced,8,37,0,0,1,0,166,980,16,1,1,0,0,263,0,7,7184164,449890560
balanced,8,38,0,0,0,0,125,980,16,0,0,0,0,206,0,5,4329391,449890560
balanced,8,39,0,0,0,0,598,980,16,0,0,0,0,195,0,5,4417508,449890560
balanced,8,40,0,0,0,0,228,980,16,0,0,0,0,239,0,9,7357398,449890560
balanced,8,41,0,0,0,0,64,980,16,0,0,0,0,238,0,7,5721030,449890560
balanced,8,42,0,0,0,0,123,980,16,0,0,0,0,185,0,6,5995850,449890560
balanced,8,43,0,0,0,0,3819,980,16,0,0,1,0,199,0,6,5014983,449890560
balanced,8,44,0,0,0,0,509,980,16,0,0,0,0,191,0,9,6233046,449890560
balanced,8,45,0,0,0,0,181,980,16,0,0,0,0,210,0,6,5482360,449890560
balanced,8,46,0,0,0,0,101,980,16,0,0,0,0,175,0,6,6725948,449890560
balanced,8,47,0,0,0,0,414,980,16,0,0,0,0,244,0,6,5823341,449890560
balanced,8,48,0,0,0,0,174,980,16,0,0,0,0,211,0,6,6283347,449890560
balanced,8,49,0,0,0,0,123,980,16,0,0,0,0,177,0,5,4491845,449890560
balanced,8,50,0,0,0,0,1163,980,16,0,0,0,0,236,0,7,5463380,449890560
balanced,8,51,0,0,0,0,2367,980,16,0,0,0,0,234,0,9,6645944,449890560
balanced,8,52,1,1,1,0,23,916,15,0,0,1,0,217,0,8,4971639,420509952
balanced,8,53,0,0,0,0,5759,980,16,0,0,0,0,188,0,6,5063245,449890560
balanced,8,54,0,0,0,0,96,980,16,0,0,0,0,197,0,5,4303134,449890560
balanced,8,55,0,0,0,0,188,980,16,0,0,0,0,177,0,5,4228594,449890560
balanced,8,56,0,0,0,0,124,980,16,0,0,0,0,195,0,7,6902009,449890560
balanced,8,57,0,0,0,0,102,980,16,0,0,1,0,229,0,6,4765828,449890560
balanced,8,58,0,0,0,0,160,980,16,0,0,0,0,221,0,8,5844046,449890560
balanced,8,59,0,0,0,0,212,980,16,0,0,0,0,185,0,5,4224492,449890560
balanced,8,60,0,0,0,0,530,980,16,0,0,1,0,256,0,8,7648102,449890560
balanced,8,61,0,0,0,0,255,980,16,0,0,1,0,197,0,5,5030590,449890560
balanced,8,62,0,0,0,0,341,980,16,0,0,0,0,178,0,7,6595909,449890560
balanced,8,63,0,0,0,0,183,980,16,0,0,0,0,193,0,6,5722487,449890560
balanced,8,64,0,0,0,0,6549,980,16,0,0,0,0,237,0,7,6906407,449890560
balanced,8,65,0,0,0,0,90,980,16,0,0,0,0,213,0,7,5569596,449890560
balanced,8,66,0,0,0,0,4576,980,16,0,0,0,0,245,0,8,7299483,449890560
balanced,8,67,0,0,0,0,168,980,16,0,0,0,0,182,0,5,4158194,449890560
