configuration,b,M,guard_bits,shot,syndrome_converged,logically_correct,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,4,4,4,0,1,1,0,40,43,1,0,1,347.9150630634426,50040,0,0,0,16680085,2890234
balanced,4,4,4,1,1,1,0,47,198,3,0,0,369.7387371530883,50040,0,0,0,76987896,13338335
balanced,4,4,4,2,1,1,0,44,192,3,0,0,418.0435839459315,50040,0,0,0,74189757,12858763
balanced,4,4,4,3,1,1,0,27,31,1,0,1,345.0308506622325,50040,0,0,0,11912885,2065526
balanced,4,4,4,4,1,1,0,21,39,1,0,1,401.2789550222128,50040,0,0,0,15076716,2613952
balanced,4,4,4,5,1,1,0,20,55,1,0,1,281.22323801696393,50040,0,0,0,21296675,3691714
balanced,4,4,4,6,1,1,0,23,47,1,0,1,277.32868733976784,50040,0,0,0,18172505,3149257
balanced,4,4,4,7,1,1,0,17,53,1,0,0,357.58444538718425,50040,0,0,0,20530852,3558115
balanced,4,4,4,8,1,1,0,28,40,1,0,1,337.91474896147224,50040,0,0,0,15409479,2671345
balanced,4,4,4,9,1,1,0,38,465,8,0,0,356.2672282270762,50040,0,0,0,179624413,31133914
balanced,4,4,4,10,1,1,0,29,45,1,0,1,310.1954671403435,50040,0,0,0,17429280,3020753
balanced,4,4,4,11,1,1,0,26,39,1,0,1,367.16221938306523,50040,0,0,0,15020193,2604472
balanced,4,4,4,12,1,1,0,60,111,2,0,0,457.5006244707577,50040,0,0,0,42771059,7414031
balanced,4,4,4,13,1,1,0,54,59,1,0,0,382.5210618829308,50040,0,0,0,22696720,3934979
balanced,4,4,4,14,1,1,0,26,63,1,0,1,366.8182851982964,50040,0,0,0,24346798,4220941
balanced,4,4,4,15,1,1,0,63,310,5,0,0,376.14681411830395,50040,0,0,0,120285503,20843719
balanced,4,4,4,16,1,1,0,30,136,2,0,0,422.42052834006597,50040,0,0,0,52585819,9114557
balanced,4,4,4,17,1,1,0,31,48,1,0,1,334.43612897020785,50040,0,0,0,18572528,3218982
balanced,4,4,4,18,1,1,0,71,318,5,0,0,505.5144970006388,50040,0,0,0,122526900,21237674
balanced,4,4,4,19,1,1,0,52,124,2,0,0,401.17783081596383,50040,0,0,0,48148490,8343645
balanced,4,4,4,20,1,1,0,18,42,1,0,1,345.6020450853315,50040,0,0,0,16308050,2826868
balanced,4,4,4,21,1,1,0,12,22,1,0,1,272.4256620164426,50040,0,0,0,8504864,1474914
balanced,4,4,4,22,1,1,0,28,48,1,0,1,336.4511945884451,50040,0,0,0,18551091,3216417
balanced,4,4,4,23,1,1,0,35,136,2,0,0,404.6597290706126,50040,0,0,0,52734098,9137602
