configuration,b,M,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,decision_agrees_with_float,decision_hamming_distance,iterations,relay_legs,iterations_agree_with_float,legs_agree_with_float,selected_solution_weight,saturation_physical_prior,saturation_lambda_bias,saturation_check_messages,saturation_guard_accumulator,saturation_variable_messages,saturation_marginals
balanced,8,4,0,1,1,1,0,31,37,1,0,1,318.1463945999453,0,0,0,0,11281177,1951959
balanced,8,4,1,1,1,1,0,25,42,1,0,1,319.244503996015,0,0,0,0,12648752,2197393
balanced,8,4,2,1,1,1,0,33,40,1,0,1,386.867476264577,0,0,0,0,11466880,1991224
balanced,8,4,3,1,1,1,0,24,41,1,0,1,367.00421729754777,0,0,0,0,12597294,2172979
balanced,8,4,4,1,1,1,0,20,17,1,0,1,410.41626611945526,0,0,0,0,3789472,661078
balanced,8,4,5,1,1,1,0,12,53,1,0,1,263.4989090628512,0,0,0,0,16698557,2900355
balanced,8,4,6,1,1,1,0,31,99,2,0,0,298.6974888784306,0,0,0,0,32433958,5607670
balanced,8,4,7,1,1,1,0,29,34,1,0,0,367.54835723090434,0,0,0,0,9422036,1636129
balanced,8,4,8,1,1,1,0,27,28,1,0,1,353.32071911028163,0,0,0,0,7426289,1291086
balanced,8,4,9,1,1,1,0,40,232,4,0,0,373.15271175261796,0,0,0,0,72376179,12540482
balanced,8,4,10,1,1,1,0,24,23,1,0,1,338.3058737049273,0,0,0,0,5576678,972513
balanced,8,4,11,1,1,1,0,43,100,2,0,0,388.6938486210694,0,0,0,0,30990196,5373287
balanced,8,4,12,1,1,1,0,26,42,1,0,1,390.6551592319578,0,0,0,0,12145926,2110839
balanced,8,4,13,1,1,1,0,63,116,2,0,0,443.1066693420489,0,0,0,0,36267382,6271005
balanced,8,4,14,1,1,1,0,24,32,1,0,1,338.5979398863363,0,0,0,0,8498323,1481542
balanced,8,4,15,1,1,1,0,61,97,2,0,0,341.1274355270921,0,0,0,0,30256305,5236202
balanced,8,4,16,1,1,1,0,26,158,3,0,0,434.1311223443587,0,0,0,0,49121148,8505995
balanced,8,4,17,1,1,1,0,26,37,1,0,1,305.6760592640092,0,0,0,0,11248096,1942902
balanced,8,4,18,1,1,1,0,59,347,6,0,0,489.5157833635729,0,0,0,0,106811945,18422810
balanced,8,4,19,1,1,1,0,16,27,1,0,1,381.1940697065229,0,0,0,0,6576384,1150662
balanced,8,4,20,1,1,1,0,6,44,1,0,1,286.36505775018753,0,0,0,0,13913184,2410045
balanced,8,4,21,1,1,1,1,0,14,1,1,1,273.57854771508386,0,0,0,0,3040775,531394
balanced,8,4,22,1,1,1,0,16,25,1,0,1,308.5124129581066,0,0,0,0,6379077,1115306
balanced,8,4,23,1,1,1,0,17,38,1,0,1,348.9287107278032,0,0,0,0,11058981,1916052
balanced,8,4,24,1,1,1,0,20,29,1,0,1,311.34676067526306,0,0,0,0,8165186,1416440
balanced,8,4,25,1,1,1,0,12,27,1,0,1,233.46049367038287,0,0,0,0,7461484,1299142
balanced,8,4,26,1,1,1,0,21,27,1,1,1,287.54706712272224,0,0,0,0,7031125,1227206
balanced,8,4,27,1,1,1,0,27,19,1,0,1,282.4251143019695,0,0,0,0,4733196,825550
balanced,8,4,28,1,1,1,0,32,125,2,0,0,364.2422727144919,0,0,0,0,40702483,7026315
balanced,8,4,29,1,1,1,0,39,29,1,0,1,342.08492718851875,0,0,0,0,8049009,1399636
balanced,8,4,30,1,1,1,0,7,17,1,0,1,332.7156967748629,0,0,0,0,3753425,655695
balanced,8,4,31,1,1,1,0,7,26,1,0,1,282.4417930129109,0,0,0,0,7243362,1258666
balanced,8,4,32,1,1,1,0,16,23,1,0,1,353.87693487265017,0,0,0,0,6065842,1053352
balanced,8,4,33,1,1,1,0,7,17,1,0,1,351.2539752513059,0,0,0,0,3653830,638718
balanced,8,4,34,1,1,1,0,38,238,4,0,1,358.46332748771266,0,0,0,0,77884317,13427604
balanced,8,4,35,1,1,1,0,24,45,1,0,1,441.364641160651,0,0,0,0,13205021,2287308
balanced,8,4,36,1,1,1,0,15,44,1,0,1,385.2338679066979,0,0,0,0,12936596,2244081
balanced,8,4,37,0,0,1,0,73,980,16,1,1,,0,0,0,0,292566972,50704690
balanced,8,4,38,1,1,1,0,51,113,2,0,0,453.7587288155826,0,0,0,0,34424300,5953969
balanced,8,4,39,1,1,1,0,19,25,1,0,1,343.76950382381267,0,0,0,0,6083930,1063112
balanced,8,4,40,1,1,1,0,11,16,1,0,1,280.6114019145944,0,0,0,0,3385899,593530
balanced,8,4,41,1,1,1,0,13,18,1,1,1,293.7052144960676,0,0,0,0,4458188,775453
balanced,8,4,42,1,1,1,0,21,47,1,0,1,328.7853623556117,0,0,0,0,14563590,2521109
balanced,8,4,43,1,1,1,0,12,29,1,0,1,327.8708032616791,0,0,0,0,7963834,1379322
balanced,8,4,44,1,1,1,0,32,32,1,0,1,415.53792045987825,0,0,0,0,8710749,1509091
balanced,8,4,45,1,1,1,0,10,21,1,0,1,260.790073795145,0,0,0,0,5482905,955518
