configuration,b,M,guard_bits,sample_seed,shot,syndrome_converged,logical_action_match,logically_correct,syndrome_valid_logical_error,non_convergence,float_logically_correct,iterations,float_iterations,relay_legs,float_relay_legs,selected_solution_weight,float_selected_solution_weight,prior_clipping,lambda_saturation,check_message_saturation,variable_message_saturation,marginal_saturation,accumulator_saturation,stored_operation_count,marginal_operation_count
balanced,14,16,4,20260809,0,1,1,1,0,0,1,37,23,1,1,318.1463945999453,328.6641794878916,0,0,0,4830196,816662,0,34039080,2506824
balanced,14,16,4,20260809,1,1,1,1,0,0,1,42,17,1,1,319.244503996015,298.31313780294295,0,0,0,2523460,451981,0,38629800,2845584
balanced,14,16,4,20260809,2,1,1,1,0,0,1,40,25,1,1,386.867476264577,388.67262118387396,0,0,0,1671363,315436,0,36793512,2710080
balanced,14,16,4,20260809,3,1,1,1,0,0,1,41,36,1,1,367.00421729754777,362.1952545164906,0,0,0,5568371,953157,0,37711656,2777832
balanced,14,16,4,20260809,4,1,1,1,0,0,1,17,15,1,1,410.41626611945526,319.89038709201327,0,0,0,0,0,0,15676200,1151784
balanced,14,16,4,20260809,5,1,1,1,0,0,1,53,16,1,1,263.4989090628512,274.69419033665883,0,0,0,2083125,403145,0,48729384,3590856
balanced,14,16,4,20260809,6,1,1,1,0,0,1,105,23,2,1,300.9012935576799,302.4205950937307,0,0,0,19660127,3258135,0,96472872,7113960
balanced,14,16,4,20260809,7,1,1,1,0,0,1,34,114,1,2,367.54835723090434,343.06178101531583,0,0,0,1518428,274463,0,31284648,2303568
balanced,14,16,4,20260809,8,1,1,1,0,0,1,28,56,1,1,353.32071911028163,359.70213395503305,0,0,0,62815,13238,0,25775784,1897056
balanced,14,16,4,20260809,9,1,1,1,0,0,1,236,334,4,6,378.3173077795402,342.90550571574124,0,0,0,18626519,3091758,0,216749736,15989472
balanced,14,16,4,20260809,10,1,1,1,0,0,1,23,39,1,1,338.3058737049273,351.1709519540915,0,0,0,9352,2418,0,21185064,1558296
balanced,14,16,4,20260809,11,1,1,1,0,0,1,121,21,2,1,380.8342795536672,361.91901569493524,0,0,0,18097494,3007783,0,111163176,8197992
balanced,14,16,4,20260809,12,1,1,1,0,0,1,42,52,1,1,390.6551592319578,385.6277491698546,0,0,0,2118915,382514,0,38629800,2845584
balanced,14,16,4,20260809,13,1,1,1,0,0,1,110,471,2,8,398.79693298877976,444.04929026291046,0,0,0,14080009,2367036,0,101063592,7452720
