configuration,policy,state_percentile,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,state_deliberately_clipped,state_clip_candidates,state_nonzero_to_zero,state_value_count,edge_nonzero_to_zero,edge_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,threshold_bucket_equal,threshold_bucket_above
balanced,A_max,,0,1,1,1,32,157,3,0,0,0,0,0,21274128,3898848,21274128,391320,122874480,0,33,0,33,203871,0
balanced,A_max,,1,1,1,1,34,184,3,0,0,0,0,0,24932736,3090062,24932736,391320,144005760,0,27,0,27,312746,0
balanced,A_max,,2,1,1,1,52,232,4,0,0,0,0,0,31436928,739055,31436928,0,181572480,0,6,0,6,139469,0
balanced,A_max,,3,1,1,1,56,183,3,0,0,0,0,0,24797232,3700128,24797232,391320,143223120,0,30,0,30,199259,0
balanced,A_max,,4,1,1,1,25,230,4,0,0,0,0,0,31165920,4164530,31165920,391320,180007200,0,33,0,33,261645,0
balanced,A_max,,5,1,1,1,30,133,2,0,0,0,0,0,18022032,3100329,18022032,391320,104091120,0,26,0,26,176542,0
balanced,A_max,,6,1,1,1,32,18,1,1,0,0,0,0,2439072,142,2439072,0,14087520,0,2,0,2,61722,0
balanced,A_max,,7,1,1,1,41,190,3,0,0,0,0,0,25745760,3680078,25745760,391320,148701600,0,9,0,9,105380,0
balanced,A_max,,8,1,1,1,40,153,3,0,0,0,0,0,20732112,3726073,20732112,391320,119743920,0,28,0,28,270026,0
balanced,A_max,,9,1,1,1,26,227,4,0,0,0,0,0,30759408,3678095,30759408,391320,177659280,0,30,0,30,243921,0
balanced,A_max,,10,1,1,1,58,249,4,0,0,0,0,0,33740496,2641770,33740496,391320,194877360,0,8,0,8,157756,0
balanced,A_max,,11,1,1,1,47,310,5,0,0,0,0,0,42006240,3417897,42006240,391320,242618400,0,29,0,29,261638,0
balanced,A_max,,12,1,1,1,42,131,2,0,0,0,0,0,17751024,2506828,17751024,391320,102525840,0,9,0,9,125490,0
