configuration,scheme,mantissa_bits,shot,syndrome_converged,logically_correct,logical_classification_agrees_with_float,exact_correction_agrees_with_float,correction_hamming_distance,iterations,relay_legs,relay_legs_agree_with_float,edge_saturation,state_saturation,guard_saturation,edge_nonzero_to_zero,state_nonzero_to_zero,edge_value_count,state_value_count,edge_exponent_min,edge_exponent_max,state_exponent_min,state_exponent_max,edge_exponent_changes,state_exponent_changes
balanced,A_separate,10,0,1,1,1,0,39,567,10,0,0,0,0,391320,2793516,443756880,76830768,0,33,0,33,147,149
balanced,A_separate,10,1,1,1,1,0,40,161,3,0,0,0,0,391320,779833,126005040,21816144,0,6,0,6,21,21
balanced,A_separate,10,2,1,1,1,0,32,468,8,0,0,0,0,391320,685865,366275520,63415872,0,5,0,5,64,64
balanced,A_separate,10,3,1,1,1,0,46,723,12,0,0,0,0,391320,1903555,565848720,97969392,0,14,0,14,133,135
balanced,A_separate,10,4,1,1,1,0,30,165,3,0,0,0,0,391320,2599878,129135600,22358160,0,32,0,32,71,71
balanced,A_separate,10,5,1,1,1,0,31,173,3,0,0,0,0,391320,2784931,135396720,23442192,0,30,0,30,67,67
balanced,A_separate,10,6,1,1,1,0,36,109,2,0,0,0,0,391320,1320747,85307760,14769936,0,9,0,9,20,20
balanced,A_separate,10,7,1,1,1,0,38,839,14,0,0,0,0,391320,3638356,656634960,113687856,0,10,0,10,117,117
balanced,A_separate,10,8,1,1,1,0,38,111,2,0,0,0,0,391320,1039140,86873040,15040944,0,8,0,8,18,18
balanced,A_separate,10,9,1,1,1,0,42,519,9,0,0,0,0,391320,1324255,406190160,70326576,0,6,0,6,63,64
balanced,A_separate,10,10,1,1,1,0,41,320,5,0,0,0,0,391320,2432814,250444800,43361280,0,8,0,8,50,50
balanced,A_separate,10,11,1,1,1,0,54,177,3,0,0,0,0,391320,2068333,138527280,23984208,0,10,0,10,29,29
balanced,A_separate,10,12,1,1,1,0,40,109,2,0,0,0,0,391320,285986,85307760,14769936,0,6,0,6,14,14
balanced,A_separate,10,13,1,1,1,0,54,124,2,0,0,0,0,391320,485069,97047360,16802496,0,6,0,6,15,15
balanced,A_separate,10,14,1,1,1,0,46,187,3,0,0,0,0,0,153007,146353680,25339248,0,4,0,4,17,17
balanced,A_separate,10,15,1,1,1,0,55,213,4,0,0,0,0,391320,926293,166702320,28862352,0,8,0,8,39,39
balanced,A_separate,10,16,1,1,1,0,36,110,2,0,0,0,0,391320,1086249,86090400,14905440,0,7,0,7,16,16
balanced,A_separate,10,17,1,1,1,0,44,275,5,0,0,0,0,391320,2467649,215226000,37263600,0,35,0,35,92,92
balanced,A_separate,10,18,0,0,0,0,65,980,16,0,0,0,0,391320,2545512,766987200,132793920,0,12,0,12,143,145
balanced,A_separate,10,19,1,1,1,0,52,167,3,0,0,0,0,391320,1904664,130700880,22629168,0,8,0,8,24,26
balanced,A_separate,10,20,1,1,1,0,22,135,2,0,0,0,0,391320,591384,105656400,18293040,0,7,0,7,21,21
balanced,A_separate,10,21,1,1,1,0,22,289,5,0,0,0,0,391320,2466714,226182960,39160656,0,34,0,34,91,91
balanced,A_separate,10,22,1,1,1,0,39,184,3,0,0,0,0,391320,2185181,144005760,24932736,0,11,0,11,31,31
balanced,A_separate,10,23,1,1,1,0,47,464,8,0,0,0,0,391320,1920437,363144960,62873856,0,12,0,12,84,82
