candidate0,candidate1,cycles0,cycles1,logical0,logical1,winner,expected_winner,agreement
0,0,10,20,0,0,-1,-1,True
0,0,10,20,0,1,-1,-1,True
0,0,10,20,1,0,-1,-1,True
0,0,10,20,1,1,-1,-1,True
0,0,20,10,0,0,-1,-1,True
0,0,20,10,0,1,-1,-1,True
0,0,20,10,1,0,-1,-1,True
0,0,20,10,1,1,-1,-1,True
0,0,10,10,0,0,-1,-1,True
0,0,10,10,0,1,-1,-1,True
0,0,10,10,1,0,-1,-1,True
0,0,10,10,1,1,-1,-1,True
0,1,10,20,0,0,1,1,True
0,1,10,20,0,1,1,1,True
0,1,10,20,1,0,1,1,True
0,1,10,20,1,1,1,1,True
0,1,20,10,0,0,1,1,True
0,1,20,10,0,1,1,1,True
0,1,20,10,1,0,1,1,True
0,1,20,10,1,1,1,1,True
0,1,10,10,0,0,1,1,True
0,1,10,10,0,1,1,1,True
0,1,10,10,1,0,1,1,True
0,1,10,10,1,1,1,1,True
1,0,10,20,0,0,0,0,True
1,0,10,20,0,1,0,0,True
1,0,10,20,1,0,0,0,True
1,0,10,20,1,1,0,0,True
1,0,20,10,0,0,0,0,True
1,0,20,10,0,1,0,0,True
1,0,20,10,1,0,0,0,True
1,0,20,10,1,1,0,0,True
1,0,10,10,0,0,0,0,True
1,0,10,10,0,1,0,0,True
1,0,10,10,1,0,0,0,True
1,0,10,10,1,1,0,0,True
1,1,10,20,0,0,0,0,True
1,1,10,20,0,1,0,0,True
1,1,10,20,1,0,0,0,True
1,1,10,20,1,1,0,0,True
1,1,20,10,0,0,1,1,True
1,1,20,10,0,1,1,1,True
1,1,20,10,1,0,1,1,True
1,1,20,10,1,1,1,1,True
1,1,10,10,0,0,0,0,True
1,1,10,10,0,1,0,0,True
1,1,10,10,1,0,0,0,True
1,1,10,10,1,1,0,0,True
