quantity,value,encoded,reconstructed,absolute_error,saturated
message_or_prior,-131073.0,-131072,-131072,1.0,True
message_or_prior,-131072.0,-131072,-131072,0.0,False
message_or_prior,-131071.5,-131072,-131072,0.5,False
message_or_prior,-8.5,-9,-9,0.5,False
message_or_prior,-1.5,-2,-2,0.5,False
message_or_prior,-0.5,-1,-1,0.5,False
message_or_prior,-0.49,0,0,0.49,False
message_or_prior,0.0,0,0,0.0,False
message_or_prior,0.49,0,0,0.49,False
message_or_prior,0.5,1,1,0.5,False
message_or_prior,1.5,2,2,0.5,False
message_or_prior,8.5,9,9,0.5,False
message_or_prior,131070.5,131071,131071,0.5,False
message_or_prior,131071.0,131071,131071,0.0,False
message_or_prior,131072.0,131071,131071,1.0,True
gamma,-0.24,-4,-0.25,0.010000000000000009,False
gamma,-0.21875,-4,-0.25,0.03125,False
gamma,-0.1875,-3,-0.1875,0.0,False
gamma,0.0,0,0.0,0.0,False
gamma,0.03125,1,0.0625,0.03125,False
gamma,0.125,2,0.125,0.0,False
gamma,0.66,11,0.6875,0.02749999999999997,False
gamma,0.6875,11,0.6875,0.0,False
