shot_id,sample_seed,shot,syndrome_hash,logical_hash,lane0_seed,lane1_seed,float_converged,float_iterations,float_relay_legs,float_correction_hash,float_syndrome_valid,float_logical_match,float_success,float_outcome_class,fixed_converged,fixed_iterations,fixed_relay_legs,fixed_correction_hash,fixed_syndrome_valid,fixed_logical_match,fixed_success,fixed_outcome_class,standalone_lane0_converged,standalone_lane0_iterations,standalone_lane0_relay_legs,standalone_lane0_correction_hash,standalone_lane0_syndrome_valid,standalone_lane0_logical_match,standalone_lane0_success,standalone_lane0_outcome_class,standalone_lane1_converged,standalone_lane1_iterations,standalone_lane1_relay_legs,standalone_lane1_correction_hash,standalone_lane1_syndrome_valid,standalone_lane1_logical_match,standalone_lane1_success,standalone_lane1_outcome_class,correction_hamming_distance,same_final_correction,same_convergence_class,same_logical_class,classification,numerical_origin_explained,float_fixed_schedule_hash,first_float_oracle_max_delta,lane0_standalone_agreement,lane0_completion_cycles,lane1_standalone_agreement,lane1_completion_cycles,selected_winner,independent_winner,arbiter_agreement,ensemble_failure,ensemble_success,ensemble_syndrome_valid,both_failed_reported_correctly,any_valid_reported_correctly,ensemble_modeled_cycles,rescue
20260809_000,20260809,0,809728c63175a221bdabe78232f505c69225402f09a3a46dd515ca176868671a,7e69d10359af14323ef4bf7f2eec044ddcbe3c4983de5ed9b3858c2ef3e2f6dc,8797755741708845560,4046486799679479078,True,50,1,15525cc456dcfa029f21a7455237e6e801b658d2938cdf9243c6742bdcd587e7,True,True,True,VALID_CORRECT,True,37,1,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,True,True,True,VALID_CORRECT,True,37,1,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,True,True,True,VALID_CORRECT,True,37,1,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,True,True,True,VALID_CORRECT,10,False,True,True,QUANTIZATION_ONLY,True,c6e3a0428cc20e1a56ebb4b97c594d2075317074f8a50a7ba53f799e2722b619,0.0,True,141222861,True,141222861,0,0,True,False,True,True,True,True,141222861,False
20260809_001,20260809,1,166b15a81799b71c1c2ab601d1eea264cb1034275fa57bde52c0a7d87bdbb846,e461832bf49f723091624dcc5636e4dcc4f0c2c47272f76a3610c59d5c0c2720,12605300877999184540,884961374727021234,True,54,1,f0df7cefe03afa080b958442089e39a004998fc915407fca1ab87e76ded85658,True,True,True,VALID_CORRECT,True,51,1,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,True,True,True,VALID_CORRECT,True,51,1,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,True,True,True,VALID_CORRECT,True,51,1,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,True,True,True,VALID_CORRECT,3,False,True,True,QUANTIZATION_ONLY,True,659af5bd340156ea7c4e3ad234471451265cc3fc0381ae767db254ced4de83ee,0.0,True,194265907,True,194265907,0,0,True,False,True,True,True,True,194265907,False
20260809_002,20260809,2,82b23d5bf20f75d64b81ce16a7d1b92ec6fb74c8800fd8908ce535cb20deaf60,16418623d44a0ed847bcc99bdd47e4482448a2e52ca6298f18d63d2dec7a5634,2266240012809103972,4774499527954843691,True,49,1,7d7eb49788f55bcbfa6c1a5cdfdf764f15ed5b573696c13a2283b0e037292bad,True,True,True,VALID_CORRECT,True,74,1,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,True,True,True,VALID_CORRECT,True,74,1,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,True,True,True,VALID_CORRECT,True,74,1,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,True,True,True,VALID_CORRECT,24,False,True,True,QUANTIZATION_ONLY,True,454868169dee85c9c817e507cdde7b327928e3644ed61aaf4321e3a409b4daee,0.0,True,281408054,True,281408054,0,0,True,False,True,True,True,True,281408054,False
20260809_003,20260809,3,eb551b821cb26ac287b9bd9601e868a2a182e59e46c3f230199b0799559d6aca,5d3bade67a75582b3a1276fff4965603aacce99d17875fc2893fcae5b7a04c51,11596314071846552675,10184384423030001450,True,50,1,7c57da312682b80d3967abdaff10a33e99cdb29304c897050e2be61c6dfe9a07,True,True,True,VALID_CORRECT,True,56,1,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,True,True,True,VALID_CORRECT,True,56,1,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,True,True,True,VALID_CORRECT,True,56,1,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,True,True,True,VALID_CORRECT,20,False,True,True,QUANTIZATION_ONLY,True,f3820d008cee9d618899ad559520b19debfd7a14f421ad1c5590a7af29917c43,0.0,True,213209852,True,213209852,0,0,True,False,True,True,True,True,213209852,False
20260809_004,20260809,4,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,10141677951677065804,7652924299329715263,True,77,1,e560789e44166fb0d8a251ead48ad51884ec78840d21410b8fdfd98853b87ea0,True,True,True,VALID_CORRECT,True,53,1,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,True,True,True,VALID_CORRECT,True,53,1,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,True,True,True,VALID_CORRECT,True,53,1,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,True,True,True,VALID_CORRECT,9,False,True,True,QUANTIZATION_ONLY,True,f851706c29d16042a9efb533c915567c3350a71d7d42d21e74911b2c500dafa2,0.0,True,201843485,True,201843485,0,0,True,False,True,True,True,True,201843485,False
20260809_005,20260809,5,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,8763808320666350717,8612741554530423899,True,61,1,d1dfec21d97dfaa62ce6c98a6e0d440b9a2a40f9888121c5c50f8aff6e04ee27,True,True,True,VALID_CORRECT,True,171,3,d5cccad9670c444776935de893dde5ccb43edb40fd5bb46fce23ab41e0605d3c,True,True,True,VALID_CORRECT,True,171,3,d5cccad9670c444776935de893dde5ccb43edb40fd5bb46fce23ab41e0605d3c,True,True,True,VALID_CORRECT,True,160,3,44296b43296aa46e1a1877f130e45dd56131b2cdd98e082b1bdea51d75416a7b,True,True,True,VALID_CORRECT,38,False,True,True,QUANTIZATION_ONLY,True,e0bbbf7748d7d67c88f23ee8e6fe92d728047fbac3aa81523c6065554c135f4f,0.0,True,651053028,True,609376421,1,1,True,False,True,True,True,True,609376421,False
20260809_006,20260809,6,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,16046846968248299819,4229790578053323825,True,134,2,1c10cc381b3af45d464a009e7f110a671caaf9af00d1389a80819e38bd5e3137,True,True,True,VALID_CORRECT,True,344,6,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,True,True,True,VALID_CORRECT,True,344,6,aa23a114bf86a6d0fb16c51dfec7348a9c899830793b834fab1d15a2fb38671b,True,True,True,VALID_CORRECT,True,458,8,c35199cfcc38c1d195f4014d8133db5d31cfb96328f532e809d41f7da2ab77cf,True,True,True,VALID_CORRECT,35,False,True,True,QUANTIZATION_ONLY,True,e8cd50542bd1decacd1b32b7d8a2f6aa9a4cd1f35d4f5b2ebd9bc10e902142f7,0.0,True,1309713131,True,1743766780,0,0,True,False,True,True,True,True,1309713131,False
20260809_007,20260809,7,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,14472511681705215893,7896154883791277071,True,57,1,2c2e5f6f7b2ced6b365b73ab59feb603f03ee252db6691483044ca09b0a3eae5,True,True,True,VALID_CORRECT,True,56,1,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,True,True,True,VALID_CORRECT,True,56,1,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,True,True,True,VALID_CORRECT,True,56,1,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,True,True,True,VALID_CORRECT,17,False,True,True,QUANTIZATION_ONLY,True,1e81094e5a5903382d22b811d54914088471bfa58faf81034d17643b0e0de683,0.0,True,213209852,True,213209852,0,0,True,False,True,True,True,True,213209852,False
20260809_008,20260809,8,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,4195653764737705966,12631610141971852844,True,169,3,5c684c2a0b914b510ada68124fda6316d47d681060fb4e7865bdd6c15165ea99,True,True,True,VALID_CORRECT,True,54,1,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,True,True,True,VALID_CORRECT,True,54,1,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,True,True,True,VALID_CORRECT,True,54,1,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,True,True,True,VALID_CORRECT,51,False,True,True,QUANTIZATION_ONLY,True,a64dd9b300e5dc29387bc5ac98e14eae3b2f0c62396a53f3e09d318a554f52f4,0.0,True,205632274,True,205632274,0,0,True,False,True,True,True,True,205632274,False
20260809_009,20260809,9,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,4113981703839189640,10216336629036633155,True,458,8,fdee9b55df601b9716552085e1a3173d32a9477ec8c9f18d799e5120c6c6344f,True,True,True,VALID_CORRECT,True,117,2,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,True,True,True,VALID_CORRECT,True,117,2,3a5cb3bdcb1b491e5b3ee7b86d28145a11f4502e769e50c5b8494e9e4870b597,True,True,True,VALID_CORRECT,True,699,12,1b7cf7f9d7d1c33e02ec801dbb28a2cab8ce710ecc68de29214570d81c811332,True,True,True,VALID_CORRECT,48,False,True,True,QUANTIZATION_ONLY,True,6eef3ba5c06bd3893668db8abf4f9f8617c825d8a2538d6b863a71e957869448,0.0,True,445392521,True,2661129586,0,0,True,False,True,True,True,True,445392521,False
