P,layout,phase,retry_subsets,requested_accesses,issued_groups,mean_active_lanes,lane_utilization,full_P_lane_fraction,estimated_cycles
2,original,check,0,1179144,592488,1.990156762668611,0.9950783813343055,0.990156762668611,994393
2,original,variable,203890,1648224,1319458,1.2491674611848198,0.6245837305924099,0.24916746118481983,3168398
2,original,convergence,48013,787824,444733,1.7714538835660947,0.8857269417830473,0.7714538835660947,1332472
2,original,relay_init,48167,1173960,635147,1.84832802485094,0.92416401242547,0.84832802485094,1709782
2,BA2,check,0,1179144,592488,1.990156762668611,0.9950783813343055,0.990156762668611,994393
2,BA2,variable,0,1648224,1115568,1.477475151671615,0.7387375758358075,0.4774751516716148,2658673
2,BA2,convergence,32317,787824,429037,1.8362612082407812,0.9181306041203906,0.8362612082407811,1285384
2,BA2,relay_init,74054,1173960,661034,1.7759449589582381,0.8879724794791191,0.7759449589582381,1787443
4,original,check,0,1179144,301104,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
4,original,variable,212136,1648224,1065264,1.5472446266840896,0.3868111566710224,0.07260735367007615,2489173
4,original,convergence,61730,787824,264194,2.9819905069759343,0.7454976267439836,0.5177331809200815,790855
4,original,relay_init,62425,1173960,355915,3.2984279954483515,0.8246069988620879,0.6611129061714174,969916
4,BA2,check,0,1179144,301104,3.9160688665710186,0.9790172166427547,0.966284074605452,508753
4,BA2,variable,0,1648224,853128,1.9319773820575576,0.4829943455143894,0.24407122963963204,1958833
4,BA2,convergence,47128,787824,249592,3.1564473220295524,0.7891118305073881,0.5896342831501009,747049
4,BA2,relay_init,95438,1173960,388928,3.018450715813724,0.754612678953431,0.541424119631397,1068955
8,original,check,0,1179144,155520,7.581944444444445,0.9477430555555556,0.9333333333333333,266113
8,original,variable,153766,1648224,849646,1.9398949680219761,0.24248687100274702,0.016105531009385086,1923920
8,original,convergence,50006,787824,155414,5.06919582534392,0.63364947816799,0.37378871916300976,464515
8,original,relay_init,50839,1173960,197584,5.941574216535752,0.742696777066969,0.542402218803142,543838
8,BA2,check,0,1179144,155520,7.581944444444445,0.9477430555555556,0.9333333333333333,266113
8,BA2,variable,0,1648224,695880,2.3685463010863943,0.2960682876357993,0.058975685463010866,1539505
8,BA2,convergence,40917,787824,146325,5.384069707842133,0.6730087134802666,0.38589441312147615,437248
8,BA2,relay_init,69579,1173960,216324,5.426859710434348,0.6783574638042935,0.4533153972744587,600058
