family,b,g,M,separate_scale,shots,converged,mean_iterations_x1000
float_baseline,0,0,0,0,8,1,2750
high_precision_integer,16,3,16,1,8,1,2750
shared_scale,4,3,4,0,8,1,2750
shared_scale,4,3,8,0,8,1,2750
shared_scale,4,3,16,0,8,1,2750
shared_scale,6,3,4,0,8,1,2750
shared_scale,6,3,8,0,8,1,2750
shared_scale,6,3,16,0,8,1,2750
shared_scale,8,3,4,0,8,1,2750
shared_scale,8,3,8,0,8,1,2750
shared_scale,8,3,16,0,8,1,2750
separate_M,4,3,4,1,8,1,2750
separate_M,4,3,8,1,8,1,2750
separate_M,4,3,16,1,8,1,2750
separate_M,6,3,4,1,8,1,2750
separate_M,6,3,8,1,8,1,2750
separate_M,6,3,16,1,8,1,2750
separate_M,8,3,4,1,8,1,2750
separate_M,8,3,8,1,8,1,2750
separate_M,8,3,16,1,8,1,2750
