checkpoint,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
end_first_leg,2,40,59,8,0.13559322033898305,0,7,44,8,0.0,0.0,0.8627450980392157,0.13725490196078433,1.0,0.43137254901960786
end_first_leg,2,60,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
end_first_leg,2,120,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
end_first_leg,3,40,59,4,0.06779661016949153,0,7,48,4,0.0,0.0,0.8727272727272727,0.12727272727272726,1.0,0.43636363636363634
end_first_leg,3,60,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
end_first_leg,3,120,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
end_first_leg,4,40,59,8,0.13559322033898305,0,7,44,8,0.0,0.0,0.8627450980392157,0.13725490196078433,1.0,0.43137254901960786
end_first_leg,4,60,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
end_first_leg,4,120,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
end_second_leg,2,40,38,14,0.3684210526315789,5,16,8,9,0.23809523809523808,0.35714285714285715,0.3333333333333333,0.6666666666666666,0.6428571428571429,0.34523809523809523
end_second_leg,2,60,38,14,0.3684210526315789,4,16,8,10,0.2,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.30952380952380953
end_second_leg,2,120,38,14,0.3684210526315789,0,0,24,14,,0.0,1.0,0.0,1.0,0.5
end_second_leg,3,40,38,9,0.23684210526315788,3,18,11,6,0.14285714285714285,0.3333333333333333,0.3793103448275862,0.6206896551724138,0.6666666666666666,0.3563218390804598
end_second_leg,3,60,38,9,0.23684210526315788,2,18,11,7,0.1,0.2222222222222222,0.3793103448275862,0.6206896551724138,0.7777777777777778,0.3007662835249042
end_second_leg,3,120,38,9,0.23684210526315788,0,0,29,9,,0.0,1.0,0.0,1.0,0.5
end_second_leg,4,40,38,14,0.3684210526315789,5,16,8,9,0.23809523809523808,0.35714285714285715,0.3333333333333333,0.6666666666666666,0.6428571428571429,0.34523809523809523
end_second_leg,4,60,38,14,0.3684210526315789,4,16,8,10,0.2,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.30952380952380953
end_second_leg,4,120,38,14,0.3684210526315789,0,0,24,14,,0.0,1.0,0.0,1.0,0.5
iteration_10,2,40,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_10,2,60,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_10,2,120,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_10,3,40,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_10,3,60,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_10,3,120,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_10,4,40,128,0,0.0,0,0,128,0,,,1.0,0.0,,
iteration_10,4,60,128,0,0.0,0,0,128,0,,,1.0,0.0,,
iteration_10,4,120,128,0,0.0,0,0,128,0,,,1.0,0.0,,
iteration_20,2,40,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_20,2,60,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_20,2,120,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_20,3,40,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_20,3,60,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_20,3,120,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_20,4,40,127,0,0.0,0,0,127,0,,,1.0,0.0,,
iteration_20,4,60,127,0,0.0,0,0,127,0,,,1.0,0.0,,
iteration_20,4,120,127,0,0.0,0,0,127,0,,,1.0,0.0,,
iteration_40,2,40,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_40,2,60,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_40,2,120,59,8,0.13559322033898305,0,0,51,8,,0.0,1.0,0.0,1.0,0.5
iteration_40,3,40,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_40,3,60,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_40,3,120,59,4,0.06779661016949153,0,0,55,4,,0.0,1.0,0.0,1.0,0.5
iteration_40,4,40,108,2,0.018518518518518517,0,0,106,2,,0.0,1.0,0.0,1.0,0.5
iteration_40,4,60,108,2,0.018518518518518517,0,0,106,2,,0.0,1.0,0.0,1.0,0.5
iteration_40,4,120,108,2,0.018518518518518517,0,0,106,2,,0.0,1.0,0.0,1.0,0.5
later_leg_boundary,2,40,191,133,0.6963350785340314,125,50,8,8,0.7142857142857143,0.9398496240601504,0.13793103448275862,0.8620689655172413,0.06015037593984962,0.5388903292714545
later_leg_boundary,2,60,191,133,0.6963350785340314,125,45,13,8,0.7352941176470589,0.9398496240601504,0.22413793103448276,0.7758620689655172,0.06015037593984962,0.5819937775473165
later_leg_boundary,2,120,191,133,0.6963350785340314,111,38,20,22,0.7449664429530202,0.8345864661654135,0.3448275862068966,0.6551724137931034,0.16541353383458646,0.589707026186155
later_leg_boundary,3,40,188,116,0.6170212765957447,109,63,9,7,0.6337209302325582,0.9396551724137931,0.125,0.875,0.0603448275862069,0.5323275862068966
later_leg_boundary,3,60,188,116,0.6170212765957447,109,58,14,7,0.6526946107784432,0.9396551724137931,0.19444444444444445,0.8055555555555556,0.0603448275862069,0.5670498084291188
later_leg_boundary,3,120,188,116,0.6170212765957447,100,46,26,16,0.684931506849315,0.8620689655172413,0.3611111111111111,0.6388888888888888,0.13793103448275862,0.6115900383141762
later_leg_boundary,4,40,191,133,0.6963350785340314,125,50,8,8,0.7142857142857143,0.9398496240601504,0.13793103448275862,0.8620689655172413,0.06015037593984962,0.5388903292714545
later_leg_boundary,4,60,191,133,0.6963350785340314,125,45,13,8,0.7352941176470589,0.9398496240601504,0.22413793103448276,0.7758620689655172,0.06015037593984962,0.5819937775473165
later_leg_boundary,4,120,191,133,0.6963350785340314,111,38,20,22,0.7449664429530202,0.8345864661654135,0.3448275862068966,0.6551724137931034,0.16541353383458646,0.589707026186155
