target,stagnation_threshold,signal,signal_band,q1,q2,eligible,positives,probability
1,60,decision_churn,low,231.84999999999988,365.97777777777776,33,29,0.8787878787878788
1,60,decision_churn,medium,231.84999999999988,365.97777777777776,87,71,0.8160919540229885
1,60,decision_churn,high,231.84999999999988,365.97777777777776,73,55,0.7534246575342466
1,60,residual_minus_best,low,8.0,20.0,47,37,0.7872340425531915
1,60,residual_minus_best,medium,8.0,20.0,68,53,0.7794117647058824
1,60,residual_minus_best,high,8.0,20.0,78,65,0.8333333333333334
1,60,current_residual,low,11.0,24.0,53,42,0.7924528301886793
1,60,current_residual,medium,11.0,24.0,68,55,0.8088235294117647
1,60,current_residual,high,11.0,24.0,72,58,0.8055555555555556
1,60,running_best,low,1.0,2.0,147,131,0.891156462585034
1,60,running_best,medium,1.0,2.0,17,10,0.5882352941176471
1,60,running_best,high,1.0,2.0,29,14,0.4827586206896552
1,60,leg_index,low,3.0,8.0,38,22,0.5789473684210527
1,60,leg_index,medium,3.0,8.0,61,43,0.7049180327868853
1,60,leg_index,high,3.0,8.0,94,90,0.9574468085106383
1,120,decision_churn,low,231.84999999999988,365.97777777777776,29,25,0.8620689655172413
1,120,decision_churn,medium,231.84999999999988,365.97777777777776,78,63,0.8076923076923077
1,120,decision_churn,high,231.84999999999988,365.97777777777776,45,41,0.9111111111111111
1,120,residual_minus_best,low,8.0,20.0,34,28,0.8235294117647058
1,120,residual_minus_best,medium,8.0,20.0,52,44,0.8461538461538461
1,120,residual_minus_best,high,8.0,20.0,66,57,0.8636363636363636
1,120,current_residual,low,11.0,24.0,40,34,0.85
1,120,current_residual,medium,11.0,24.0,54,45,0.8333333333333334
1,120,current_residual,high,11.0,24.0,58,50,0.8620689655172413
1,120,running_best,low,1.0,2.0,128,117,0.9140625
1,120,running_best,medium,1.0,2.0,10,5,0.5
1,120,running_best,high,1.0,2.0,14,7,0.5
1,120,leg_index,low,3.0,8.0,8,4,0.5
1,120,leg_index,medium,3.0,8.0,53,37,0.6981132075471698
1,120,leg_index,high,3.0,8.0,91,88,0.967032967032967
1,180,decision_churn,low,231.84999999999988,365.97777777777776,23,22,0.9565217391304348
1,180,decision_churn,medium,231.84999999999988,365.97777777777776,66,55,0.8333333333333334
1,180,decision_churn,high,231.84999999999988,365.97777777777776,37,34,0.918918918918919
1,180,residual_minus_best,low,8.0,20.0,27,23,0.8518518518518519
1,180,residual_minus_best,medium,8.0,20.0,46,41,0.8913043478260869
1,180,residual_minus_best,high,8.0,20.0,53,47,0.8867924528301887
1,180,current_residual,low,11.0,24.0,33,29,0.8787878787878788
1,180,current_residual,medium,11.0,24.0,47,41,0.8723404255319149
1,180,current_residual,high,11.0,24.0,46,41,0.8913043478260869
1,180,running_best,low,1.0,2.0,114,107,0.9385964912280702
1,180,running_best,medium,1.0,2.0,5,1,0.2
1,180,running_best,high,1.0,2.0,7,3,0.42857142857142855
1,180,leg_index,low,3.0,8.0,0,0,
1,180,leg_index,medium,3.0,8.0,37,24,0.6486486486486487
1,180,leg_index,high,3.0,8.0,89,87,0.9775280898876404
2,60,decision_churn,low,231.84999999999988,365.97777777777776,33,28,0.8484848484848485
2,60,decision_churn,medium,231.84999999999988,365.97777777777776,85,60,0.7058823529411765
2,60,decision_churn,high,231.84999999999988,365.97777777777776,72,41,0.5694444444444444
2,60,residual_minus_best,low,8.0,20.0,47,26,0.5531914893617021
2,60,residual_minus_best,medium,8.0,20.0,67,48,0.7164179104477612
2,60,residual_minus_best,high,8.0,20.0,76,55,0.7236842105263158
2,60,current_residual,low,11.0,24.0,53,32,0.6037735849056604
2,60,current_residual,medium,11.0,24.0,67,49,0.7313432835820896
2,60,current_residual,high,11.0,24.0,70,48,0.6857142857142857
2,60,running_best,low,1.0,2.0,144,117,0.8125
2,60,running_best,medium,1.0,2.0,17,5,0.29411764705882354
2,60,running_best,high,1.0,2.0,29,7,0.2413793103448276
2,60,leg_index,low,3.0,8.0,38,13,0.34210526315789475
2,60,leg_index,medium,3.0,8.0,61,32,0.5245901639344263
2,60,leg_index,high,3.0,8.0,91,84,0.9230769230769231
2,120,decision_churn,low,231.84999999999988,365.97777777777776,29,24,0.8275862068965517
2,120,decision_churn,medium,231.84999999999988,365.97777777777776,76,53,0.6973684210526315
2,120,decision_churn,high,231.84999999999988,365.97777777777776,44,34,0.7727272727272727
2,120,residual_minus_best,low,8.0,20.0,34,22,0.6470588235294118
2,120,residual_minus_best,medium,8.0,20.0,51,40,0.7843137254901961
2,120,residual_minus_best,high,8.0,20.0,64,49,0.765625
2,120,current_residual,low,11.0,24.0,40,27,0.675
2,120,current_residual,medium,11.0,24.0,53,42,0.7924528301886793
2,120,current_residual,high,11.0,24.0,56,42,0.75
2,120,running_best,low,1.0,2.0,125,107,0.856
2,120,running_best,medium,1.0,2.0,10,1,0.1
2,120,running_best,high,1.0,2.0,14,3,0.21428571428571427
2,120,leg_index,low,3.0,8.0,8,2,0.25
2,120,leg_index,medium,3.0,8.0,53,26,0.49056603773584906
2,120,leg_index,high,3.0,8.0,88,83,0.9431818181818182
2,180,decision_churn,low,231.84999999999988,365.97777777777776,23,21,0.9130434782608695
2,180,decision_churn,medium,231.84999999999988,365.97777777777776,64,49,0.765625
2,180,decision_churn,high,231.84999999999988,365.97777777777776,36,30,0.8333333333333334
2,180,residual_minus_best,low,8.0,20.0,27,19,0.7037037037037037
2,180,residual_minus_best,medium,8.0,20.0,45,38,0.8444444444444444
2,180,residual_minus_best,high,8.0,20.0,51,43,0.8431372549019608
2,180,current_residual,low,11.0,24.0,33,24,0.7272727272727273
2,180,current_residual,medium,11.0,24.0,46,39,0.8478260869565217
2,180,current_residual,high,11.0,24.0,44,37,0.8409090909090909
2,180,running_best,low,1.0,2.0,111,98,0.8828828828828829
2,180,running_best,medium,1.0,2.0,5,0,0.0
2,180,running_best,high,1.0,2.0,7,2,0.2857142857142857
2,180,leg_index,low,3.0,8.0,0,0,
2,180,leg_index,medium,3.0,8.0,37,18,0.4864864864864865
2,180,leg_index,high,3.0,8.0,86,82,0.9534883720930233
3,60,decision_churn,low,231.84999999999988,365.97777777777776,32,25,0.78125
3,60,decision_churn,medium,231.84999999999988,365.97777777777776,84,53,0.6309523809523809
3,60,decision_churn,high,231.84999999999988,365.97777777777776,71,33,0.4647887323943662
3,60,residual_minus_best,low,8.0,20.0,46,21,0.45652173913043476
3,60,residual_minus_best,medium,8.0,20.0,66,37,0.5606060606060606
3,60,residual_minus_best,high,8.0,20.0,75,53,0.7066666666666667
3,60,current_residual,low,11.0,24.0,52,26,0.5
3,60,current_residual,medium,11.0,24.0,66,39,0.5909090909090909
3,60,current_residual,high,11.0,24.0,69,46,0.6666666666666666
3,60,running_best,low,1.0,2.0,141,107,0.7588652482269503
3,60,running_best,medium,1.0,2.0,17,1,0.058823529411764705
3,60,running_best,high,1.0,2.0,29,3,0.10344827586206896
3,60,leg_index,low,3.0,8.0,38,8,0.21052631578947367
3,60,leg_index,medium,3.0,8.0,61,24,0.39344262295081966
3,60,leg_index,high,3.0,8.0,88,79,0.8977272727272727
3,120,decision_churn,low,231.84999999999988,365.97777777777776,28,23,0.8214285714285714
3,120,decision_churn,medium,231.84999999999988,365.97777777777776,75,48,0.64
3,120,decision_churn,high,231.84999999999988,365.97777777777776,43,29,0.6744186046511628
3,120,residual_minus_best,low,8.0,20.0,33,19,0.5757575757575758
3,120,residual_minus_best,medium,8.0,20.0,50,34,0.68
3,120,residual_minus_best,high,8.0,20.0,63,47,0.746031746031746
3,120,current_residual,low,11.0,24.0,39,23,0.5897435897435898
3,120,current_residual,medium,11.0,24.0,52,37,0.7115384615384616
3,120,current_residual,high,11.0,24.0,55,40,0.7272727272727273
3,120,running_best,low,1.0,2.0,122,98,0.8032786885245902
3,120,running_best,medium,1.0,2.0,10,0,0.0
3,120,running_best,high,1.0,2.0,14,2,0.14285714285714285
3,120,leg_index,low,3.0,8.0,8,2,0.25
3,120,leg_index,medium,3.0,8.0,53,20,0.37735849056603776
3,120,leg_index,high,3.0,8.0,85,78,0.9176470588235294
3,180,decision_churn,low,231.84999999999988,365.97777777777776,22,20,0.9090909090909091
3,180,decision_churn,medium,231.84999999999988,365.97777777777776,63,45,0.7142857142857143
3,180,decision_churn,high,231.84999999999988,365.97777777777776,35,25,0.7142857142857143
3,180,residual_minus_best,low,8.0,20.0,26,17,0.6538461538461539
3,180,residual_minus_best,medium,8.0,20.0,44,32,0.7272727272727273
3,180,residual_minus_best,high,8.0,20.0,50,41,0.82
3,180,current_residual,low,11.0,24.0,32,21,0.65625
3,180,current_residual,medium,11.0,24.0,45,34,0.7555555555555555
3,180,current_residual,high,11.0,24.0,43,35,0.813953488372093
3,180,running_best,low,1.0,2.0,108,89,0.8240740740740741
3,180,running_best,medium,1.0,2.0,5,0,0.0
3,180,running_best,high,1.0,2.0,7,1,0.14285714285714285
3,180,leg_index,low,3.0,8.0,0,0,
3,180,leg_index,medium,3.0,8.0,37,13,0.35135135135135137
3,180,leg_index,high,3.0,8.0,83,77,0.927710843373494
4,60,decision_churn,low,231.84999999999988,365.97777777777776,33,28,0.8484848484848485
4,60,decision_churn,medium,231.84999999999988,365.97777777777776,85,60,0.7058823529411765
4,60,decision_churn,high,231.84999999999988,365.97777777777776,72,41,0.5694444444444444
4,60,residual_minus_best,low,8.0,20.0,47,26,0.5531914893617021
4,60,residual_minus_best,medium,8.0,20.0,67,48,0.7164179104477612
4,60,residual_minus_best,high,8.0,20.0,76,55,0.7236842105263158
4,60,current_residual,low,11.0,24.0,53,32,0.6037735849056604
4,60,current_residual,medium,11.0,24.0,67,49,0.7313432835820896
4,60,current_residual,high,11.0,24.0,70,48,0.6857142857142857
4,60,running_best,low,1.0,2.0,144,117,0.8125
4,60,running_best,medium,1.0,2.0,17,5,0.29411764705882354
4,60,running_best,high,1.0,2.0,29,7,0.2413793103448276
4,60,leg_index,low,3.0,8.0,38,13,0.34210526315789475
4,60,leg_index,medium,3.0,8.0,61,32,0.5245901639344263
4,60,leg_index,high,3.0,8.0,91,84,0.9230769230769231
4,120,decision_churn,low,231.84999999999988,365.97777777777776,29,24,0.8275862068965517
4,120,decision_churn,medium,231.84999999999988,365.97777777777776,76,53,0.6973684210526315
4,120,decision_churn,high,231.84999999999988,365.97777777777776,44,34,0.7727272727272727
4,120,residual_minus_best,low,8.0,20.0,34,22,0.6470588235294118
4,120,residual_minus_best,medium,8.0,20.0,51,40,0.7843137254901961
4,120,residual_minus_best,high,8.0,20.0,64,49,0.765625
4,120,current_residual,low,11.0,24.0,40,27,0.675
