sample_seed,shot,relay_leg,iterations_used,start_residual,end_residual,minimum_residual,global_best_before,global_best_after,global_best_improvement,iterations_since_best_at_end,mean_decision_churn,max_decision_churn,fraction_iterations_with_decision_changes,category,converged,end_global_iteration,target1_eligible,target1,target2_eligible,target2,target3_eligible,target3,target4_eligible,target4
20260809,0,1,37,136,0,0,136,0,136,0,54.4054054054054,348,1.0,productive,1,37,0,,0,,0,,0,
20260809,1,1,51,157,0,0,157,0,157,0,59.6078431372549,394,1.0,productive,1,51,0,,0,,0,,0,
20260809,2,1,74,216,0,0,216,0,216,0,77.36486486486487,788,1.0,productive,1,74,0,,0,,0,,0,
20260809,3,1,56,203,0,0,203,0,203,0,58.125,627,1.0,productive,1,56,0,,0,,0,,0,
20260809,4,1,53,172,0,0,172,0,172,0,77.81132075471699,455,1.0,productive,1,53,0,,0,,0,,0,
20260809,5,1,80,162,1,1,162,1,161,28,53.75,537,0.9125,productive,0,80,1,1,1,0,1,0,1,0
20260809,5,2,60,1,12,4,1,1,0,88,1501.5166666666667,17065,1.0,regressive,0,140,1,0,1,0,1,0,1,0
20260809,5,3,31,12,0,0,1,0,1,0,474.96774193548384,6801,0.967741935483871,productive,1,171,0,,0,,0,,0,
20260809,6,1,80,161,9,7,161,7,154,8,68.7125,516,1.0,productive,0,80,1,1,1,0,1,0,1,0
20260809,6,2,60,9,21,7,7,7,0,68,878.5666666666667,15431,1.0,regressive,0,140,1,0,1,0,1,0,1,0
20260809,6,3,60,21,44,3,7,3,4,41,209.83333333333334,2581,1.0,productive,0,200,1,1,1,0,1,0,1,0
20260809,6,4,60,44,3,3,3,3,0,101,352.0833333333333,7199,1.0,stagnant,0,260,1,0,1,0,1,0,1,0
20260809,6,5,60,3,11,2,3,2,1,19,321.8333333333333,5139,1.0,productive,0,320,1,0,1,0,1,0,1,0
20260809,6,6,24,11,0,0,2,0,2,0,317.1666666666667,3511,1.0,productive,1,344,0,,0,,0,,0,
20260809,7,1,56,188,0,0,188,0,188,0,46.19642857142857,594,0.9821428571428571,productive,1,56,0,,0,,0,,0,
20260809,8,1,54,195,0,0,195,0,195,0,80.0925925925926,716,1.0,productive,1,54,0,,0,,0,,0,
20260809,9,1,80,195,24,11,195,11,184,6,88.95,783,1.0,productive,0,80,1,0,1,0,1,0,1,0
20260809,9,2,37,24,0,0,11,0,11,0,1383.162162162162,15735,1.0,productive,1,117,0,,0,,0,,0,
20260809,10,1,53,174,0,0,174,0,174,0,65.69811320754717,550,1.0,productive,1,53,0,,0,,0,,0,
20260809,11,1,80,195,11,4,195,4,191,9,57.6125,591,1.0,productive,0,80,1,0,1,0,1,0,1,0
20260809,11,2,24,11,0,0,4,0,4,0,2275.4583333333335,16617,1.0,productive,1,104,0,,0,,0,,0,
20260809,12,1,60,204,0,0,204,0,204,0,92.15,833,1.0,productive,1,60,0,,0,,0,,0,
20260809,13,1,80,215,2,1,215,1,214,49,45.1625,729,1.0,productive,0,80,1,1,1,0,1,0,1,0
20260809,13,2,60,2,13,2,1,1,0,109,1403.8,16830,1.0,regressive,0,140,1,0,1,0,1,0,1,0
20260809,13,3,41,13,0,0,1,0,1,0,268.2682926829268,4936,1.0,productive,1,181,0,,0,,0,,0,
20260809,14,1,39,196,0,0,196,0,196,0,84.38461538461539,693,1.0,productive,1,39,0,,0,,0,,0,
20260809,15,1,80,177,2,2,177,2,175,8,68.125,594,1.0,productive,0,80,1,0,1,0,1,0,1,0
20260809,15,2,60,2,16,1,2,1,1,32,1086.8,16713,1.0,productive,0,140,1,0,1,0,1,0,1,0
20260809,15,3,25,16,0,0,1,0,1,0,516.6,6008,1.0,productive,1,165,0,,0,,0,,0,
20260809,16,1,80,215,2,1,215,1,214,27,60.85,792,0.9,productive,0,80,1,1,1,1,1,0,1,1
20260809,16,2,60,2,5,2,1,1,0,87,1433.3666666666666,16529,0.9833333333333333,regressive,0,140,1,1,1,0,1,0,1,0
20260809,16,3,60,5,17,9,1,1,0,147,347.2,7507,1.0,regressive,0,200,1,0,1,0,1,0,1,0
20260809,16,4,26,17,0,0,1,0,1,0,461.2307692307692,5401,1.0,productive,1,226,0,,0,,0,,0,
20260809,17,1,58,178,0,0,178,0,178,0,55.56896551724138,591,1.0,productive,1,58,0,,0,,0,,0,
20260809,18,1,80,232,12,8,232,8,224,13,71.05,775,1.0,productive,0,80,1,0,1,0,1,0,1,0
20260809,18,2,60,12,12,5,8,5,3,31,1409.5333333333333,16214,1.0,productive,0,140,1,1,1,1,1,0,1,1
20260809,18,3,60,12,13,7,5,5,0,91,385.5833333333333,7220,1.0,regressive,0,200,1,1,1,0,1,0,1,0
20260809,18,4,60,13,17,13,5,5,0,151,182.41666666666666,4323,1.0,regressive,0,260,1,0,1,0,1,0,1,0
20260809,18,5,60,17,13,1,5,1,4,20,325.53333333333336,4388,0.9833333333333333,productive,0,320,1,1,1,1,1,1,1,1
20260809,18,6,60,13,3,2,1,1,0,80,296.81666666666666,2748,1.0,stagnant,0,380,1,1,1,1,1,1,1,1
20260809,18,7,60,3,32,19,1,1,0,140,405.95,8875,1.0,regressive,0,440,1,1,1,1,1,1,1,1
20260809,18,8,60,32,15,10,1,1,0,200,243.81666666666666,3956,1.0,stagnant,0,500,1,1,1,1,1,1,1,1
20260809,18,9,60,15,9,1,1,1,0,260,353.0,6476,0.95,stagnant,0,560,1,1,1,1,1,1,1,1
20260809,18,10,60,9,21,12,1,1,0,320,361.6,7497,1.0,regressive,0,620,1,1,1,1,1,1,1,1
20260809,18,11,60,21,352,4,1,1,0,380,406.56666666666666,7382,1.0,regressive,0,680,1,1,1,1,1,1,1,1
20260809,18,12,60,352,344,11,1,1,0,440,175.93333333333334,1960,1.0,stagnant,0,740,1,1,1,1,1,1,1,1
20260809,18,13,60,344,10,2,1,1,0,500,345.8,2536,1.0,stagnant,0,800,1,1,1,1,1,1,1,1
20260809,18,14,60,10,2,2,1,1,0,560,378.15,7218,1.0,stagnant,0,860,1,1,1,1,1,1,1,1
