observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,all,1,10,18640,12160,0.6523605150214592,10687,3878,2602,1473,0.7337452797802952,0.8788651315789474,0.4015432098765432,0.5984567901234568,0.12113486842105263,0.6402041707277453
iteration,all,1,20,18640,12160,0.6523605150214592,10174,3133,3347,1986,0.7645600060118735,0.8366776315789474,0.5165123456790124,0.48348765432098767,0.16332236842105263,0.6765949886289799
iteration,all,1,40,18640,12160,0.6523605150214592,9342,2320,4160,2818,0.8010632824558395,0.7682565789473684,0.6419753086419753,0.35802469135802467,0.23174342105263157,0.7051159437946719
iteration,all,1,60,18640,12160,0.6523605150214592,8707,1918,4562,3453,0.8194823529411764,0.7160361842105263,0.7040123456790124,0.29598765432098767,0.28396381578947366,0.7100242649447693
iteration,all,1,80,18640,12160,0.6523605150214592,8114,1695,4785,4046,0.8271995106534815,0.6672697368421052,0.7384259259259259,0.26157407407407407,0.3327302631578947,0.7028478313840156
iteration,all,1,120,18640,12160,0.6523605150214592,7251,1299,5181,4909,0.8480701754385965,0.5962993421052631,0.799537037037037,0.20046296296296295,0.40370065789473686,0.6979181895711501
iteration,all,1,180,18640,12160,0.6523605150214592,6364,749,5731,5796,0.8946998453535779,0.5233552631578947,0.8844135802469136,0.11558641975308642,0.4766447368421053,0.7038844217024042
iteration,all,1,240,18640,12160,0.6523605150214592,5692,475,6005,6468,0.922977136371007,0.4680921052631579,0.9266975308641975,0.07330246913580248,0.5319078947368421,0.6973948180636778
iteration,all,2,10,18460,9460,0.5124593716143012,8768,5617,3383,692,0.6095238095238096,0.9268498942917548,0.3758888888888889,0.6241111111111111,0.07315010570824525,0.6513693915903218
iteration,all,2,20,18460,9460,0.5124593716143012,8410,4717,4283,1050,0.6406642797288032,0.8890063424947146,0.47588888888888886,0.5241111111111111,0.1109936575052854,0.6824476156918017
iteration,all,2,40,18460,9460,0.5124593716143012,7765,3717,5283,1695,0.6762759101201882,0.8208245243128964,0.587,0.413,0.1791754756871036,0.7039122621564482
iteration,all,2,60,18460,9460,0.5124593716143012,7333,3112,5888,2127,0.7020584011488751,0.7751585623678647,0.6542222222222223,0.3457777777777778,0.2248414376321353,0.7146903922950435
iteration,all,2,80,18460,9460,0.5124593716143012,6926,2703,6297,2534,0.7192854917436909,0.7321353065539112,0.6996666666666667,0.30033333333333334,0.2678646934460888,0.715900986610289
iteration,all,2,120,18460,9460,0.5124593716143012,6392,1978,7022,3068,0.7636798088410992,0.6756871035940804,0.7802222222222223,0.21977777777777777,0.32431289640591965,0.7279546629081513
iteration,all,2,180,18460,9460,0.5124593716143012,5728,1205,7795,3732,0.8261935669984134,0.6054968287526427,0.8661111111111112,0.1338888888888889,0.3945031712473573,0.7358039699318769
iteration,all,2,240,18460,9460,0.5124593716143012,5119,868,8132,4341,0.8550192082846166,0.5411205073995772,0.9035555555555556,0.09644444444444444,0.4588794926004228,0.7223380314775664
iteration,all,3,10,18280,7820,0.42778993435448576,7399,6806,3654,421,0.5208729320661739,0.9461636828644501,0.3493307839388145,0.6506692160611854,0.05383631713554987,0.6477472334016323
iteration,all,3,20,18280,7820,0.42778993435448576,7160,5787,4673,660,0.5530238665327876,0.9156010230179028,0.44674952198852774,0.5532504780114723,0.08439897698209718,0.6811752725032153
iteration,all,3,40,18280,7820,0.42778993435448576,6743,4559,5901,1077,0.5966200672447355,0.8622762148337596,0.5641491395793499,0.4358508604206501,0.1377237851662404,0.7132126772065548
iteration,all,3,60,18280,7820,0.42778993435448576,6454,3811,6649,1366,0.6287384315635655,0.8253196930946292,0.63565965583174,0.36434034416826006,0.17468030690537084,0.7304896744631846
iteration,all,3,80,18280,7820,0.42778993435448576,6182,3267,7193,1638,0.6542491268917345,0.790537084398977,0.6876673040152964,0.31233269598470365,0.209462915601023,0.7391021942071367
iteration,all,3,120,18280,7820,0.42778993435448576,5736,2454,8006,2084,0.7003663003663003,0.7335038363171356,0.7653919694072657,0.23460803059273422,0.26649616368286444,0.7494479028622006
iteration,all,3,180,18280,7820,0.42778993435448576,5135,1618,8842,2685,0.760402783947875,0.6566496163682864,0.8453154875717017,0.15468451242829828,0.34335038363171355,0.7509825519699941
iteration,all,3,240,18280,7820,0.42778993435448576,4644,1163,9297,3176,0.7997244704666782,0.5938618925831202,0.8888145315487572,0.11118546845124283,0.4061381074168798,0.7413382120659386
iteration,all,4,10,23948,9383,0.39180724903958575,9063,7563,7002,320,0.5451100685673043,0.9658957689438346,0.4807415036045314,0.5192584963954686,0.034104231056165404,0.723318636274183
iteration,all,4,20,23948,9383,0.39180724903958575,8772,6187,8378,611,0.5864028344140652,0.9348822338271342,0.575214555441126,0.424785444558874,0.06511776617286583,0.7550483946341301
iteration,all,4,40,23948,9383,0.39180724903958575,8220,4718,9847,1163,0.6353377647240687,0.8760524352552489,0.67607277720563,0.3239272227943701,0.12394756474475115,0.7760626062304394
iteration,all,4,60,23948,9383,0.39180724903958575,7710,3866,10699,1673,0.6660331720801659,0.8216988170094852,0.7345691726742191,0.265430827325781,0.17830118299051476,0.7781339948418522
iteration,all,4,80,23948,9383,0.39180724903958575,7296,3246,11319,2087,0.6920887877063175,0.7775764680805712,0.7771369721936149,0.22286302780638517,0.22242353191942876,0.777356720137093
iteration,all,4,120,23948,9383,0.39180724903958575,6636,2387,12178,2747,0.7354538401861909,0.7072364915272301,0.8361139718503261,0.16388602814967387,0.2927635084727699,0.771675231688778
iteration,all,4,180,23948,9383,0.39180724903958575,5938,1412,13153,3445,0.807891156462585,0.6328466375359693,0.9030552694816341,0.09694473051836594,0.3671533624640307,0.7679509535088016
iteration,all,4,240,23948,9383,0.39180724903958575,5343,933,13632,4040,0.8513384321223709,0.5694340829159118,0.9359423274974253,0.06405767250257466,0.43056591708408826,0.7526882052066686
iteration,outcome=one_leg_success,1,10,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,20,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,40,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,60,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,80,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,120,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,180,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,1,240,0,0,,0,0,0,0,,,,,,
iteration,outcome=one_leg_success,2,10,0,0,,0,0,0,0,,,,,,
