memory_object,classification,element_count,bit_width,copies_N1,copies_N2,total_bits_N1,total_bits_N2,banking_or_reuse,source
check_row_pointer,static_graph,1729,19,1,2,32851,65702,"unbanked scalar RAM; physically duplicated by current N=2 wrapper","fpga/rtl/relay_bp_memory_fabric_p4.sv check_pointer_memory"
edge_to_fault,static_graph,391320,17,1,2,6652440,13304880,"partitioned across four address-modulo banks per engine","fpga/rtl/relay_bp_memory_fabric_p4.sv edge_fault_memory"
fault_row_pointer,static_graph,67753,19,1,2,1287307,2574614,"unbanked scalar RAM; physically duplicated by current N=2 wrapper","fpga/rtl/relay_bp_memory_fabric_p4.sv variable_pointer_memory"
fault_to_edge_permutation,static_graph,391320,19,1,2,7435080,14870160,"partitioned across four address-modulo banks per engine","fpga/rtl/relay_bp_memory_fabric_p4.sv permutation_memory"
physical_prior,trajectory_immutable,67752,18,1,2,1219536,2439072,"four banks; mathematically shared but physically duplicated in current N=2 wrapper","fpga/rtl/relay_bp_memory_fabric_p4.sv prior_memory"
syndrome,trajectory_input,1728,1,1,2,1728,3456,"four banks; same syndrome copied to each engine","fpga/rtl/relay_bp_memory_fabric_p4.sv syndrome_memory"
MU_check_to_fault,trajectory_dynamic,391320,18,1,2,7043760,14087520,"four banks; one independent copy per trajectory","fpga/rtl/relay_bp_memory_fabric_p4.sv mu_memory"
NU_fault_to_check,trajectory_dynamic,391320,18,1,2,7043760,14087520,"four banks; one independent copy per trajectory","fpga/rtl/relay_bp_memory_fabric_p4.sv nu_memory"
marginal_or_belief,trajectory_dynamic,67752,18,1,2,1219536,2439072,"four banks; previous-leg final marginal is reused as relay handoff","fpga/rtl/relay_bp_memory_fabric_p4.sv marginal_memory and reference/relay_bp_fixed.py"
gamma_active_vector,trajectory_dynamic,67752,5,1,2,338760,677520,"four banks; streamed/generated per leg, not all 32 future vectors stored","fpga/rtl/relay_bp_memory_fabric_p4.sv gamma_memory"
decision_vector,trajectory_dynamic,67752,1,1,2,67752,135504,"four banks; one independent copy per trajectory","fpga/rtl/relay_bp_memory_fabric_p4.sv decision_memory"
RNG_state,trajectory_control,1,64,1,2,64,128,"register; independent E0/E1 state","fpga/rtl/relay_bp_gamma_rng.sv and relay_bp_parallel_n2_p4.sv"
selected_weight,trajectory_control,1,32,1,2,32,64,register,"fpga/rtl/relay_bp_single_engine_memory_p4.sv"
iteration_counter,trajectory_control,1,32,1,2,32,64,register,"fpga/rtl/relay_bp_single_engine_memory_p4.sv"
residual_counter,trajectory_control,1,32,1,2,32,64,register,"fpga/rtl/relay_bp_convergence_controller_p4.sv"
relay_leg_counter,trajectory_control,1,6,1,2,6,12,"register; ceil(log2(32+1))","fpga/rtl/relay_bp_single_engine_memory_p4.sv"
observable_row_pointer,optional_system_scoring,67753,17,1,1,1151801,1151801,"not stored in current decoder fabric; host/offline logical scoring","graphs/generated/gross_circuit_level/memory_Z_r12_p0p003/faults.npz observable_indptr"
observable_indices,optional_system_scoring,110971,4,1,1,443884,443884,"not stored in current decoder fabric; 12 observables","graphs/generated/gross_circuit_level/memory_Z_r12_p0p003/faults.npz observable_indices"
BA2_fault_forward_inverse,optional_layout_metadata,135504,17,1,1,2303568,2303568,"not required at runtime if images are emitted in BA2 order","results/bank-aware-folding-layout/permutations.npz"
BA2_edge_forward_inverse,optional_layout_metadata,782640,19,1,1,14870160,14870160,"not required at runtime if images are emitted in BA2 order","results/bank-aware-folding-layout/permutations.npz"
