variant,phase,active_lanes,issued_groups,fraction
original,check,1,5400,0.017934002869440458
original,check,2,4320,0.014347202295552367
original,check,3,432,0.0014347202295552368
original,check,4,290952,0.966284074605452
original,variable,1,737764,0.6925644722810496
original,variable,2,149386,0.1402337824238874
original,variable,3,100768,0.09459439162498685
original,variable,4,77346,0.07260735367007615
original,convergence,1,56626,0.21433492055080736
original,convergence,2,28288,0.10707283284253238
original,convergence,3,42498,0.1608590656865788
original,convergence,4,136782,0.5177331809200815
original,relay_init,1,51772,0.14546169731537023
original,relay_init,2,25541,0.07176151609232541
original,relay_init,3,43302,0.12166388042088701
original,relay_init,4,235300,0.6611129061714174
metis_node_only,check,1,5400,0.017934002869440458
metis_node_only,check,2,4320,0.014347202295552367
metis_node_only,check,3,432,0.0014347202295552368
metis_node_only,check,4,290952,0.966284074605452
metis_node_only,variable,1,737764,0.6925644722810496
metis_node_only,variable,2,149386,0.1402337824238874
metis_node_only,variable,3,100768,0.09459439162498685
metis_node_only,variable,4,77346,0.07260735367007615
metis_node_only,convergence,1,60876,0.22700356487627343
metis_node_only,convergence,2,28334,0.10565607147651507
metis_node_only,convergence,3,45568,0.16992079710036842
metis_node_only,convergence,4,133394,0.49741956654684305
metis_node_only,relay_init,1,55395,0.1541271691740097
metis_node_only,relay_init,2,25924,0.0721291223696548
metis_node_only,relay_init,3,45651,0.12701614586086682
metis_node_only,relay_init,4,232441,0.6467275625954687
metis_partition_edge_reorder,check,1,5400,0.017934002869440458
metis_partition_edge_reorder,check,2,4320,0.014347202295552367
metis_partition_edge_reorder,check,3,432,0.0014347202295552368
metis_partition_edge_reorder,check,4,290952,0.966284074605452
metis_partition_edge_reorder,variable,1,727076,0.6887524369056934
metis_partition_edge_reorder,variable,2,144204,0.136603128712196
metis_partition_edge_reorder,variable,3,104708,0.09918892958029332
metis_partition_edge_reorder,variable,4,79654,0.07545550480181729
metis_partition_edge_reorder,convergence,1,59201,0.2224322100445984
metis_partition_edge_reorder,convergence,2,27577,0.10361333518690377
metis_partition_edge_reorder,convergence,3,44031,0.16543491901274832
metis_partition_edge_reorder,convergence,4,135344,0.5085195357557495
metis_partition_edge_reorder,relay_init,1,56016,0.15609386364079686
metis_partition_edge_reorder,relay_init,2,23928,0.06667762727072599
metis_partition_edge_reorder,relay_init,3,45580,0.12701296602305628
metis_partition_edge_reorder,relay_init,4,233337,0.6502155430654208
