phase,logical_accesses,issued_groups,conflict_events,retry_subsets,mean_active_lanes,mean_lane_utilization,full_4_lane_fraction,estimated_cycles,variant,partition_logical,worst_local_nodes
check,1179144,301104,0,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753,original,"[300351, 289716, 306333, 282744]",[]
variable,1648224,1065264,212136,212136,1.5472446266840896,0.3868111566710224,0.07260735367007615,2489173,original,"[408198, 413403, 419325, 407298]","[{""node"": 9439, ""retry_subsets"": 12}, {""node"": 9450, ""retry_subsets"": 12}, {""node"": 9461, ""retry_subsets"": 12}, {""node"": 9472, ""retry_subsets"": 12}, {""node"": 9483, ""retry_subsets"": 12}, {""node"": 9494, ""retry_subsets"": 12}, {""node"": 15348, ""retry_subsets"": 12}, {""node"": 15358, ""retry_subsets"": 12}, {""node"": 15368, ""retry_subsets"": 12}, {""node"": 15378, ""retry_subsets"": 12}]"
convergence,787824,264194,61730,61730,2.9819905069759343,0.7454976267439836,0.5177331809200815,790855,original,"[200666, 193576, 204654, 188928]","[{""node"": 1652, ""retry_subsets"": 60}, {""node"": 340, ""retry_subsets"": 57}, {""node"": 208, ""retry_subsets"": 56}, {""node"": 211, ""retry_subsets"": 56}, {""node"": 336, ""retry_subsets"": 56}, {""node"": 480, ""retry_subsets"": 56}, {""node"": 498, ""retry_subsets"": 56}, {""node"": 624, ""retry_subsets"": 56}, {""node"": 642, ""retry_subsets"": 56}, {""node"": 768, ""retry_subsets"": 56}]"
relay_init,1173960,355915,62425,62425,3.2984279954483515,0.8246069988620879,0.6611129061714174,969916,original,"[290208, 294612, 301536, 287604]","[{""node"": 24000, ""retry_subsets"": 3}, {""node"": 31596, ""retry_subsets"": 3}, {""node"": 48856, ""retry_subsets"": 3}, {""node"": 49584, ""retry_subsets"": 3}, {""node"": 54152, ""retry_subsets"": 3}, {""node"": 68876, ""retry_subsets"": 3}, {""node"": 69360, ""retry_subsets"": 3}, {""node"": 81528, ""retry_subsets"": 3}, {""node"": 89000, ""retry_subsets"": 3}, {""node"": 116376, ""retry_subsets"": 3}]"
check,1179144,301104,0,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753,metis_node_only,"[300351, 289716, 306333, 282744]",[]
variable,1648224,1065264,212136,212136,1.5472446266840896,0.3868111566710224,0.07260735367007615,2489173,metis_node_only,"[408198, 413403, 419325, 407298]","[{""node"": 8888, ""retry_subsets"": 12}, {""node"": 8899, ""retry_subsets"": 12}, {""node"": 8910, ""retry_subsets"": 12}, {""node"": 8921, ""retry_subsets"": 12}, {""node"": 8932, ""retry_subsets"": 12}, {""node"": 8943, ""retry_subsets"": 12}, {""node"": 14689, ""retry_subsets"": 12}, {""node"": 14698, ""retry_subsets"": 12}, {""node"": 14708, ""retry_subsets"": 12}, {""node"": 14718, ""retry_subsets"": 12}]"
convergence,787824,268172,65708,65708,2.937756365317781,0.7344390913294453,0.49741956654684305,802789,metis_node_only,"[200666, 193576, 204654, 188928]","[{""node"": 857, ""retry_subsets"": 62}, {""node"": 281, ""retry_subsets"": 60}, {""node"": 483, ""retry_subsets"": 60}, {""node"": 860, ""retry_subsets"": 60}, {""node"": 1652, ""retry_subsets"": 60}, {""node"": 412, ""retry_subsets"": 59}, {""node"": 419, ""retry_subsets"": 59}, {""node"": 420, ""retry_subsets"": 59}, {""node"": 1179, ""retry_subsets"": 59}, {""node"": 1207, ""retry_subsets"": 59}]"
relay_init,1173960,359411,65921,65921,3.2663441018777943,0.8165860254694486,0.6467275625954687,980404,metis_node_only,"[290208, 294612, 301536, 287604]","[{""node"": 14724, ""retry_subsets"": 3}, {""node"": 24000, ""retry_subsets"": 3}, {""node"": 31596, ""retry_subsets"": 3}, {""node"": 48856, ""retry_subsets"": 3}, {""node"": 49584, ""retry_subsets"": 3}, {""node"": 66112, ""retry_subsets"": 3}, {""node"": 68876, ""retry_subsets"": 3}, {""node"": 69360, ""retry_subsets"": 3}, {""node"": 73536, ""retry_subsets"": 3}, {""node"": 75716, ""retry_subsets"": 3}]"
check,1179144,301104,0,0,3.9160688665710186,0.9790172166427547,0.966284074605452,508753,metis_partition_edge_reorder,"[300351, 289716, 306333, 282744]",[]
variable,1648224,1055642,202514,202514,1.5613475022782344,0.3903368755695586,0.07545550480181729,2465118,metis_partition_edge_reorder,"[408198, 413403, 419325, 407298]","[{""node"": 5169, ""retry_subsets"": 12}, {""node"": 15933, ""retry_subsets"": 12}, {""node"": 21232, ""retry_subsets"": 12}, {""node"": 21242, ""retry_subsets"": 12}, {""node"": 21252, ""retry_subsets"": 12}, {""node"": 21262, ""retry_subsets"": 12}, {""node"": 27136, ""retry_subsets"": 12}, {""node"": 27146, ""retry_subsets"": 12}, {""node"": 27156, ""retry_subsets"": 12}, {""node"": 27166, ""retry_subsets"": 12}]"
convergence,787824,266153,63689,63689,2.960041780479649,0.7400104451199122,0.5085195357557495,796732,metis_partition_edge_reorder,"[200666, 193576, 204654, 188928]","[{""node"": 773, ""retry_subsets"": 61}, {""node"": 1328, ""retry_subsets"": 61}, {""node"": 281, ""retry_subsets"": 60}, {""node"": 297, ""retry_subsets"": 60}, {""node"": 1652, ""retry_subsets"": 60}, {""node"": 931, ""retry_subsets"": 59}, {""node"": 1220, ""retry_subsets"": 59}, {""node"": 419, ""retry_subsets"": 58}, {""node"": 427, ""retry_subsets"": 58}, {""node"": 1210, ""retry_subsets"": 58}]"
relay_init,1173960,358861,65371,65371,3.271350188513101,0.8178375471282753,0.6502155430654208,978754,metis_partition_edge_reorder,"[288900, 295536, 301380, 288144]","[{""node"": 9720, ""retry_subsets"": 3}, {""node"": 19216, ""retry_subsets"": 3}, {""node"": 20988, ""retry_subsets"": 3}, {""node"": 45848, ""retry_subsets"": 3}, {""node"": 52548, ""retry_subsets"": 3}, {""node"": 53516, ""retry_subsets"": 3}, {""node"": 63104, ""retry_subsets"": 3}, {""node"": 63228, ""retry_subsets"": 3}, {""node"": 82464, ""retry_subsets"": 3}, {""node"": 86940, ""retry_subsets"": 3}]"
