original_fault_id,partition_id,new_fault_id
0,1,16938
1,1,16939
2,1,16940
3,1,16941
4,1,16942
5,1,16943
6,1,16944
7,1,16945
8,1,16946
9,1,16947
10,1,16948
11,1,16949
12,0,0
13,1,16950
14,1,16951
15,1,16952
16,2,33876
17,0,1
18,1,16953
19,0,2
20,0,3
21,0,4
22,0,5
23,0,6
24,0,7
25,0,8
26,1,16954
27,1,16955
28,1,16956
29,0,9
30,0,10
31,1,16957
32,1,16958
33,1,16959
34,0,11
35,0,12
36,0,13
37,0,14
38,0,15
39,0,16
40,0,17
41,0,18
42,0,19
43,0,20
44,0,21
45,0,22
46,0,23
47,0,24
48,0,25
49,0,26
50,1,16960
51,1,16961
52,1,16962
53,1,16963
54,1,16964
55,1,16965
56,1,16966
57,1,16967
58,1,16968
59,1,16969
60,1,16970
61,0,27
62,1,16971
63,1,16972
64,1,16973
65,2,33877
66,0,28
67,1,16974
68,0,29
69,0,30
70,0,31
71,0,32
72,0,33
73,0,34
74,0,35
75,1,16975
76,1,16976
77,1,16977
78,0,36
79,0,37
80,1,16978
81,1,16979
82,1,16980
83,0,38
84,0,39
85,0,40
86,0,41
87,0,42
88,0,43
89,0,44
90,0,45
91,0,46
92,0,47
93,0,48
94,0,49
95,0,50
96,0,51
97,0,52
98,0,53
99,1,16981
100,1,16982
101,1,16983
102,1,16984
103,1,16985
104,1,16986
105,1,16987
106,1,16988
107,1,16989
108,1,16990
109,1,16991
110,0,54
111,1,16992
112,1,16993
113,1,16994
114,2,33878
115,0,55
116,1,16995
117,0,56
118,0,57
119,0,58
120,0,59
121,0,60
122,0,61
123,0,62
124,1,16996
125,1,16997
126,1,16998
127,0,63
128,0,64
129,1,16999
130,1,17000
131,1,17001
132,0,65
133,0,66
134,0,67
135,0,68
136,0,69
137,0,70
138,0,71
139,0,72
140,0,73
141,0,74
142,0,75
143,0,76
144,0,77
145,0,78
146,0,79
147,0,80
148,1,17002
149,1,17003
150,1,17004
151,1,17005
152,1,17006
153,1,17007
154,1,17008
155,1,17009
156,1,17010
157,1,17011
158,1,17012
159,0,81
160,1,17013
161,1,17014
162,1,17015
163,1,17016
164,0,82
165,1,17017
166,0,83
167,0,84
168,0,85
169,0,86
170,0,87
171,0,88
172,0,89
173,1,17018
174,1,17019
175,1,17020
176,0,90
177,0,91
178,1,17021
179,1,17022
180,1,17023
181,0,92
182,0,93
183,0,94
184,0,95
185,0,96
186,0,97
187,0,98
188,0,99
189,0,100
190,0,101
191,0,102
192,0,103
193,0,104
194,0,105
195,0,106
196,0,107
197,1,17024
198,1,17025
199,1,17026
200,1,17027
201,1,17028
202,1,17029
203,1,17030
204,1,17031
205,1,17032
206,1,17033
207,1,17034
208,1,17035
209,1,17036
210,0,108
211,1,17037
212,1,17038
213,0,109
214,1,17039
215,0,110
216,0,111
217,0,112
218,0,113
219,0,114
220,0,115
221,0,116
222,1,17040
223,1,17041
224,1,17042
225,0,117
226,0,118
227,1,17043
228,1,17044
229,1,17045
230,0,119
231,0,120
232,0,121
233,0,122
234,0,123
235,0,124
236,0,125
237,0,126
238,0,127
239,0,128
240,0,129
241,0,130
242,0,131
243,0,132
244,0,133
245,0,134
246,1,17046
247,1,17047
248,1,17048
249,1,17049
250,1,17050
251,1,17051
252,1,17052
253,1,17053
254,1,17054
255,0,135
256,1,17055
257,1,17056
258,1,17057
259,2,33879
260,0,136
261,1,17058
262,0,137
263,0,138
264,0,139
265,0,140
266,0,141
267,0,142
268,0,143
269,1,17059
270,0,144
271,0,145
272,0,146
273,0,147
274,0,148
275,1,17060
276,1,17061
277,1,17062
278,0,149
279,0,150
280,1,17063
281,1,17064
282,0,151
283,0,152
284,0,153
285,0,154
286,0,155
287,0,156
288,0,157
289,0,158
290,0,159
291,0,160
292,0,161
293,1,17065
294,1,17066
295,1,17067
296,1,17068
297,1,17069
298,1,17070
299,1,17071
300,1,17072
301,1,17073
302,1,17074
303,1,17075
304,0,162
305,1,17076
306,1,17077
307,1,17078
308,1,17079
309,0,163
310,0,164
311,0,165
312,0,166
313,0,167
314,0,168
315,0,169
316,0,170
317,0,171
318,1,17080
319,0,172
320,0,173
321,0,174
322,0,175
323,0,176
324,0,177
325,1,17081
326,1,17082
327,0,178
328,0,179
329,1,17083
330,1,17084
331,1,17085
332,0,180
333,0,181
334,0,182
335,0,183
336,0,184
337,1,17086
338,1,17087
339,1,17088
340,1,17089
341,1,17090
342,1,17091
343,1,17092
344,1,17093
345,0,185
346,1,17094
347,1,17095
348,1,17096
349,1,17097
350,0,186
351,0,187
352,0,188
353,0,189
354,0,190
355,0,191
356,0,192
357,0,193
358,0,194
359,1,17098
360,0,195
361,0,196
362,0,197
363,0,198
364,0,199
365,0,200
366,1,17099
367,1,17100
368,0,201
369,0,202
370,1,17101
371,1,17102
372,1,17103
373,0,203
374,0,204
375,0,205
376,0,206
377,0,207
378,1,17104
379,1,17105
380,1,17106
381,1,17107
382,1,17108
383,1,17109
384,1,17110
385,1,17111
386,0,208
387,1,17112
388,1,17113
389,1,17114
390,1,17115
391,0,209
392,0,210
393,0,211
394,0,212
395,0,213
396,0,214
397,0,215
398,0,216
399,0,217
400,1,17116
401,0,218
402,0,219
403,0,220
404,0,221
405,0,222
406,0,223
407,1,17117
408,1,17118
409,0,224
410,0,225
411,1,17119
412,1,17120
413,0,226
414,0,227
415,0,228
416,0,229
417,0,230
418,1,17121
419,1,17122
420,1,17123
421,1,17124
422,1,17125
423,1,17126
424,1,17127
425,1,17128
426,1,17129
427,0,231
428,1,17130
429,1,17131
430,1,17132
431,1,17133
432,0,232
433,0,233
434,0,234
435,0,235
436,0,236
437,0,237
438,0,238
439,0,239
440,0,240
441,1,17134
442,0,241
443,0,242
444,0,243
445,0,244
446,0,245
447,0,246
448,1,17135
449,1,17136
450,0,247
451,0,248
452,1,17137
453,1,17138
454,1,17139
455,0,249
456,0,250
457,0,251
458,0,252
459,0,253
460,1,17140
461,1,17141
462,1,17142
463,1,17143
464,1,17144
465,1,17145
466,1,17146
467,1,17147
468,0,254
469,1,17148
470,1,17149
471,1,17150
472,1,17151
473,0,255
474,0,256
475,0,257
476,0,258
477,1,17152
478,0,259
479,0,260
480,0,261
481,0,262
482,0,263
483,0,264
484,0,265
485,0,266
486,0,267
487,0,268
488,0,269
489,1,17153
490,1,17154
491,0,270
492,0,271
493,1,17155
494,1,17156
495,1,17157
496,0,272
497,0,273
498,0,274
499,0,275
500,0,276
501,1,17158
502,1,17159
503,1,17160
504,1,17161
505,1,17162
506,1,17163
507,0,277
508,1,17164
509,1,17165
510,1,17166
511,1,17167
512,0,278
513,0,279
514,0,280
515,0,281
