case_id,sample_seed,shot,gamma_seed,syndrome_hash,logical_outcome_hash,classification,archive_reproduction,e1_winner,parallel_rescue,original_converged,partitioned_converged,original_syndrome_valid,partitioned_syndrome_valid,original_logical_correct,partitioned_logical_correct,original_iterations,partitioned_iterations,original_relay_legs,partitioned_relay_legs,original_final_residual,partitioned_final_residual,original_candidate_weight,partitioned_candidate_weight,candidate_weight_delta,correction_hash,partitioned_inverse_correction_hash,correction_exact,logical_action_exact,trace_exact,trace_iterations_compared,final_rng_state,accepted_gamma_count,accepted_gamma_sequence_hash,original_runtime_seconds,partitioned_runtime_seconds,first_trace_difference
20260809_000,20260809,0,4046486799679479078,809728c63175a221bdabe78232f505c69225402f09a3a46dd515ca176868671a,7e69d10359af14323ef4bf7f2eec044ddcbe3c4983de5ed9b3858c2ef3e2f6dc,EXACT MATCH,True,False,False,1,1,1,1,1,1,37,37,1,1,0,0,305.55001081021453,305.5500108102146,5.684341886080802e-14,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,True,True,True,37,4046486799679479078,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,3.7118447500106413,3.6752961250022054,null
20260809_001,20260809,1,884961374727021234,166b15a81799b71c1c2ab601d1eea264cb1034275fa57bde52c0a7d87bdbb846,e461832bf49f723091624dcc5636e4dcc4f0c2c47272f76a3610c59d5c0c2720,EXACT MATCH,True,False,False,1,1,1,1,1,1,51,51,1,1,0,0,301.4131020079944,301.4131020079944,0.0,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,True,True,True,51,884961374727021234,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.061939832987264,5.846670750004705,null
20260809_002,20260809,2,4774499527954843691,82b23d5bf20f75d64b81ce16a7d1b92ec6fb74c8800fd8908ce535cb20deaf60,16418623d44a0ed847bcc99bdd47e4482448a2e52ca6298f18d63d2dec7a5634,EXACT MATCH,True,False,False,1,1,1,1,1,1,74,74,1,1,0,0,390.05367717959547,390.0536771795954,-5.684341886080802e-14,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,True,True,True,74,4774499527954843691,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,7.282327958004316,9.679762165993452,null
20260809_003,20260809,3,10184384423030001450,eb551b821cb26ac287b9bd9601e868a2a182e59e46c3f230199b0799559d6aca,5d3bade67a75582b3a1276fff4965603aacce99d17875fc2893fcae5b7a04c51,EXACT MATCH,True,False,False,1,1,1,1,1,1,56,56,1,1,0,0,355.07409456717556,355.0740945671755,-5.684341886080802e-14,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,True,True,True,56,10184384423030001450,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.528539708000608,7.107270500011509,null
20260809_004,20260809,4,7652924299329715263,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,EXACT MATCH,True,False,False,1,1,1,1,1,1,53,53,1,1,0,0,319.88950307662157,319.88950307662157,0.0,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,True,True,True,53,7652924299329715263,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.74231679100194,6.220231459010392,null
20260809_005,20260809,5,8612741554530423899,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,EXACT MATCH,True,True,False,1,1,1,1,1,1,160,160,3,3,0,0,347.01317355769663,347.01317355769663,0.0,44296b43296aa46e1a1877f130e45dd56131b2cdd98e082b1bdea51d75416a7b,44296b43296aa46e1a1877f130e45dd56131b2cdd98e082b1bdea51d75416a7b,True,True,True,160,1363259448471898655,135504,8e9acff5102f5f1efdee2f7803a0cd4ffaab88277c8a24df3aaa196cfe5ff1b1,18.159572375006974,18.64307741599623,null
20260809_006,20260809,6,4229790578053323825,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,EXACT MATCH,True,False,False,1,1,1,1,1,1,458,458,8,8,0,0,345.5750510309549,345.5750510309549,0.0,c35199cfcc38c1d195f4014d8133db5d31cfb96328f532e809d41f7da2ab77cf,c35199cfcc38c1d195f4014d8133db5d31cfb96328f532e809d41f7da2ab77cf,True,True,True,458,10853915614798366808,474264,96e17b5704db65d47bcd8d97af80b9b82138aa0d7503446a35dda4298fc70309,50.92281637500855,48.67525979099446,null
20260809_007,20260809,7,7896154883791277071,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,EXACT MATCH,True,False,False,1,1,1,1,1,1,56,56,1,1,0,0,357.31860687854106,357.3186068785411,5.684341886080802e-14,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,19c1b07f7e312cc1857a4e2c70fd8d0dd5988593af63394178ce5128504416c2,True,True,True,56,7896154883791277071,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.51167487501516,5.7037680830108,null
20260809_008,20260809,8,12631610141971852844,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,EXACT MATCH,True,False,False,1,1,1,1,1,1,54,54,1,1,0,0,337.51386556784337,337.51386556784337,0.0,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,40454c98a78eeac32c8fa03200f79fc39192fc41e6873e2b66a9cfcc91ce5440,True,True,True,54,12631610141971852844,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.41022029099986,6.2366293749946635,null
20260809_009,20260809,9,10216336629036633155,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,EXACT MATCH,True,False,False,1,1,1,1,1,1,699,699,12,12,0,0,356.298895047232,356.298895047232,0.0,1b7cf7f9d7d1c33e02ec801dbb28a2cab8ce710ecc68de29214570d81c811332,1b7cf7f9d7d1c33e02ec801dbb28a2cab8ce710ecc68de29214570d81c811332,True,True,True,699,5406914849357710773,745272,1048e778cf59ccb5f29b6db4cd5f69e1339545e1262865dbd4e47b3117e41211,75.09938983301981,75.15847008401761,null
20260809_010,20260809,10,5614213855103928757,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,EXACT MATCH,True,False,False,1,1,1,1,1,1,53,53,1,1,0,0,310.5067186071732,310.5067186071732,0.0,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,c2cd2048d81e94e6f55b170265dd0c90b5c88f78e7876d8da86706bbcc53057d,True,True,True,53,5614213855103928757,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,5.3685829580063,5.394891207979526,null
20260809_011,20260809,11,16128902808687320708,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,EXACT MATCH,True,False,False,1,1,1,1,1,1,221,221,4,4,0,0,416.9150270315036,416.91502703150366,5.684341886080802e-14,e9cc2f6b5e2d80f79962960d574e9742fb12d63e114e9dc525c160127aa22a2d,e9cc2f6b5e2d80f79962960d574e9742fb12d63e114e9dc525c160127aa22a2d,True,True,True,221,7141913970114311719,203256,9a97b05ddf8a13db36bc2d747a58014f60f1c12fb952250bf6b0fb7c78589ab5,23.870986166992225,22.616767958999844,null
20260809_012,20260809,12,12547269875732112094,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,EXACT MATCH,True,False,False,1,1,1,1,1,1,60,60,1,1,0,0,409.8993753164099,409.8993753164099,0.0,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,013f8a2c63f57a34ebe6e8ef6320a6f2646c2e9174bdf05b3405ca2790f1f32a,True,True,True,60,12547269875732112094,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,6.143108166987076,6.15218179198564,null
20260809_013,20260809,13,15001961393019595652,aecba73662b2c8d627b9cd6498bfb4791a74e045fa35781b90a429953a77cfe9,cc3190ea3eb6962cf96fed801246a62c24df6a2d3d6ba156d005207e4b0b8c6f,EXACT MATCH,True,False,False,1,1,1,1,1,1,660,660,11,11,0,0,438.1839452398897,438.1839452398897,0.0,11a2f798bfd4f93e712a6353d746cf776e13b1b63d587cd04b8f8e2c88ca7ffe,11a2f798bfd4f93e712a6353d746cf776e13b1b63d587cd04b8f8e2c88ca7ffe,True,True,True,660,6721669826651318544,677520,bbfba0432241c1a89d83290cc109236aa2d441a7f3f7355360b88e1f28a1bdbb,69.03837791699334,73.36111358299968,null
20260809_014,20260809,14,6712535225929805219,af0b26c1726dad20783c55aaa1bd13c97656fa364102be4df433c5f1da7353a7,50d94398974ef01eea644f56c355d4f593a8e87e61f0b2b313844e06a690ec32,EXACT MATCH,True,False,False,1,1,1,1,1,1,39,39,1,1,0,0,423.85757918949764,423.85757918949764,0.0,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,a258b12c779a22156d5ce319b3d259addc1fcf9e8eebf850158ecebd175233fc,True,True,True,39,6712535225929805219,0,b1f44c4a0fb9a1844cb3161bbf64eb5ea67b5bf8c5a5ea4f2bab88b4dd19d4e2,3.9685345829930156,4.0005187499918975,null
20260809_015,20260809,15,3610373903898914109,31d4658d6b8c26590a59d824d72aff23020648a8c8e726f3ea5a457ebb2dbb60,3ed9f6cd4fc370a9e555731712428f24a693cd85fe128c7f3ca78f76f3064c58,EXACT MATCH,True,False,False,1,1,1,1,1,1,200,200,3,3,0,0,381.75433268224754,381.75433268224754,0.0,f61c0b2a0a9dbb22ce7f455fb71a35a35d15071d0d981217d4dabf4b52f54626,f61c0b2a0a9dbb22ce7f455fb71a35a35d15071d0d981217d4dabf4b52f54626,True,True,True,200,16448398275956033227,135504,c0ba3f2be6ce7f619f4e24b458d4dcb861bdd0d5a6f4bde9b720b0324627ddce,20.995634916005656,20.36631179100368,null
