sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,first_iteration_residual,minimum_residual,ending_residual,iterations_used,global_best_before,global_best_after,net_endpoint_improvement,new_global_best_improvement,decision_churn,residual_vector_movement,frozen_stagnation_steps,churning_stagnation_steps,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,mean_marginal_sat_fraction,mean_marginal_near_zero_fraction,converged,category
20260809,31,E0,easy,1,153,192,0,0,22,153,0,153,153,1742,1221,1,4,0,0,0,0,0.0,0.030270827295269385,1,productive
20260809,31,E1,easy,1,153,192,0,0,22,153,0,153,153,1742,1221,1,4,0,0,0,0,0.0,0.030270827295269385,1,productive
20260810,15,E0,easy,1,131,162,0,0,17,131,0,131,131,923,769,0,2,0,0,0,0,0.0,0.024842331548276413,1,productive
20260810,15,E1,easy,1,131,162,0,0,17,131,0,131,131,923,769,0,2,0,0,0,0,0.0,0.024842331548276413,1,productive
20260811,6,E0,easy,1,144,188,0,0,21,144,0,144,144,1568,996,0,9,0,0,0,0,0.0,0.024529235475037818,1,productive
20260811,6,E1,easy,1,144,188,0,0,21,144,0,144,144,1568,996,0,9,0,0,0,0,0.0,0.024529235475037818,1,productive
20260809,2,E0,typical,1,216,356,0,0,74,216,0,216,216,5725,3122,0,56,258573,1345032,0,0,0.0515750208231611,0.01989529380602707,1,productive
20260809,2,E1,typical,1,216,356,0,0,74,216,0,216,216,5725,3122,0,56,258573,1345032,0,0,0.0515750208231611,0.01989529380602707,1,productive
20260810,22,E0,typical,1,138,169,0,0,77,138,0,138,138,2756,1714,0,49,279033,1462767,0,0,0.05348670399148614,0.00949624528264273,1,productive
20260810,22,E1,typical,1,138,169,0,0,77,138,0,138,138,2756,1714,0,49,279033,1462767,0,0,0.05348670399148614,0.00949624528264273,1,productive
20260811,25,E0,moderately_hard,1,169,240,6,13,80,169,6,156,163,4065,2638,0,59,1151412,6731591,0,0,0.21243136733970952,0.014522634018183966,0,productive
20260811,25,E0,moderately_hard,2,13,868,9,10,60,6,6,3,0,84890,10923,0,58,0,0,0,0,0.0,0.07503714527492424,0,stagnant
20260811,25,E0,moderately_hard,3,10,833,3,28,60,6,3,-18,3,17386,5572,0,55,0,0,0,0,0.0,0.03747712244656985,0,weak
