sample_seed,shot,trajectory,shot_class,gamma_seed,exact_reproduction,match_convergence,match_logical,match_iterations,match_legs,match_weight,match_final_rng_state,match_rng_words,match_accepted_gamma,converged,logical_correct,total_iterations,relay_legs,candidate_weight,archived_cycles,final_rng_state,rng_words,accepted_gamma,initial_residual,best_residual,iterations_to_first_meaningful_improvement,longest_no_best_improvement,total_no_improvement_iterations,residual_increases,equal_residual_iterations,residual_vector_movement,exact_residual_repeats,mean_decision_churn,cumulative_decision_churn,frozen_stagnation_steps,churning_stagnation_steps,productive_legs,weak_legs,stagnant_legs,regressive_legs,marginal_saturation_hits,nu_saturation_hits,mu_saturation_hits,accumulator_saturation_hits,repeated_marginal_saturation_sites,repeated_nu_saturation_sites,repeated_mu_saturation_sites,mean_marginal_saturation_fraction,mean_marginal_near_zero_fraction,i5_residual_weight,i5_best_residual_so_far,i5_iterations_since_best,i5_decision_changes,i5_marginal_near_zero_fraction,i5_marginal_sat_fraction,i5_residual_improvement,i5_cumulative_decision_churn,i10_residual_weight,i10_best_residual_so_far,i10_iterations_since_best,i10_decision_changes,i10_marginal_near_zero_fraction,i10_marginal_sat_fraction,i10_residual_improvement,i10_cumulative_decision_churn,i20_residual_weight,i20_best_residual_so_far,i20_iterations_since_best,i20_decision_changes,i20_marginal_near_zero_fraction,i20_marginal_sat_fraction,i20_residual_improvement,i20_cumulative_decision_churn,i40_residual_weight,i40_best_residual_so_far,i40_iterations_since_best,i40_decision_changes,i40_marginal_near_zero_fraction,i40_marginal_sat_fraction,i40_residual_improvement,i40_cumulative_decision_churn,first_leg_end_residual,first_leg_residual_improvement,first_leg_best_residual,first_leg_no_improvement_streak,first_leg_decision_churn,first_leg_near_zero_fraction,first_leg_marginal_sat_fraction
20260809,31,E0,easy,15718977782930520314,1,1,1,1,1,1,1,1,1,1,1,22,1,275.3124962264201,84391026,15718977782930520314,0,0,153,0,3,3,7,4,1,1221,2,79.18181818181819,1742,1,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.030270827295269385,73,73,0,132,0.04945979454481048,0.0,80,1169,38,38,0,57,0.013977447160231433,0.0,115,1545,3,1,2,2,0.0006641870350690755,0.0,150,1737,,,,,,,,,0,153,0,0,1742,0.0006641870350690755,0.0
20260809,31,E1,easy,9253345292079577902,1,1,1,1,1,1,1,1,1,1,1,22,1,275.3124962264201,84391026,9253345292079577902,0,0,153,0,3,3,7,4,1,1221,2,79.18181818181819,1742,1,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.030270827295269385,73,73,0,132,0.04945979454481048,0.0,80,1169,38,38,0,57,0.013977447160231433,0.0,115,1545,3,1,2,2,0.0006641870350690755,0.0,150,1737,,,,,,,,,0,153,0,0,1742,0.0006641870350690755,0.0
20260810,15,E0,easy,12682690586956095751,1,1,1,1,1,1,1,1,1,1,1,17,1,252.22248931897155,65447081,12682690586956095751,0,0,131,0,3,6,7,4,1,769,0,54.294117647058826,923,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.024842331548276413,33,33,0,87,0.036131774707757705,0.0,98,804,3,3,0,2,0.0030109812256464753,0.0,128,886,,,,,,,,,,,,,,,,,0,131,0,0,923,0.0024205927500295195,0.0
20260810,15,E1,easy,4540782341996322137,1,1,1,1,1,1,1,1,1,1,1,17,1,252.22248931897155,65447081,4540782341996322137,0,0,131,0,3,6,7,4,1,769,0,54.294117647058826,923,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.024842331548276413,33,33,0,87,0.036131774707757705,0.0,98,804,3,3,0,2,0.0030109812256464753,0.0,128,886,,,,,,,,,,,,,,,,,0,131,0,0,923,0.0024205927500295195,0.0
20260811,6,E0,easy,11597767561949233287,1,1,1,1,1,1,1,1,1,1,1,21,1,270.52824890805505,80602237,11597767561949233287,0,0,144,0,2,4,9,7,1,996,0,74.66666666666667,1568,0,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.024529235475037818,59,59,1,69,0.030390246782382807,0.0,85,1040,40,25,2,58,0.0070256228598417755,0.0,104,1300,2,2,0,3,0.001328374070138151,0.0,142,1567,,,,,,,,,0,144,0,0,1568,0.0009298618490967056,0.0
20260811,6,E1,easy,3570044337078570290,1,1,1,1,1,1,1,1,1,1,1,21,1,270.52824890805505,80602237,3570044337078570290,0,0,144,0,2,4,9,7,1,996,0,74.66666666666667,1568,0,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.024529235475037818,59,59,1,69,0.030390246782382807,0.0,85,1040,40,25,2,58,0.0070256228598417755,0.0,104,1300,2,2,0,3,0.001328374070138151,0.0,142,1567,,,,,,,,,0,144,0,0,1568,0.0009298618490967056,0.0
20260809,2,E0,typical,2266240012809103972,1,1,1,1,1,1,1,1,1,1,1,74,1,390.05367717959547,281408054,2266240012809103972,0,0,216,0,3,26,56,26,6,3122,10,77.36486486486487,5725,0,56,1,0,0,0,258573,1345032,0,0,45945,267371,0,0.0515750208231611,0.01989529380602707,125,125,0,271,0.10398217026803637,0.0,91,2244,85,72,2,135,0.02786633604912032,0.0,131,2996,36,29,1,59,0.008058802692171449,0.0,180,3843,13,13,0,34,0.004117959617428267,0.0,203,4831,0,216,0,0,5725,0.002022080528988074,0.7261925847207462
20260809,2,E1,typical,4774499527954843691,1,1,1,1,1,1,1,1,1,1,1,74,1,390.05367717959547,281408054,4774499527954843691,0,0,216,0,3,26,56,26,6,3122,10,77.36486486486487,5725,0,56,1,0,0,0,258573,1345032,0,0,45945,267371,0,0.0515750208231611,0.01989529380602707,125,125,0,271,0.10398217026803637,0.0,91,2244,85,72,2,135,0.02786633604912032,0.0,131,2996,36,29,1,59,0.008058802692171449,0.0,180,3843,13,13,0,34,0.004117959617428267,0.0,203,4831,0,216,0,0,5725,0.002022080528988074,0.7261925847207462
20260810,22,E0,typical,18318094137074377224,1,1,1,1,1,1,1,1,1,1,1,77,1,259.93352705306546,292774421,18318094137074377224,0,0,138,0,3,16,61,32,5,1714,12,35.79220779220779,2756,0,49,1,0,0,0,279033,1462767,0,0,51447,281012,16785,0.05348670399148614,0.00949624528264273,55,55,0,132,0.0385376077458968,0.0,83,1070,40,36,2,62,0.0110550242059275,0.0,98,1363,13,13,0,23,0.004974022907072854,0.0,125,1793,9,7,6,5,0.0019630416814263784,0.0,129,2306,0,138,0,0,2756,0.0005608690518361082,0.7593428976266383
20260810,22,E1,typical,11792925387749738074,1,1,1,1,1,1,1,1,1,1,1,77,1,259.93352705306546,292774421,11792925387749738074,0,0,138,0,3,16,61,32,5,1714,12,35.79220779220779,2756,0,49,1,0,0,0,279033,1462767,0,0,51447,281012,16785,0.05348670399148614,0.00949624528264273,55,55,0,132,0.0385376077458968,0.0,83,1070,40,36,2,62,0.0110550242059275,0.0,98,1363,13,13,0,23,0.004974022907072854,0.0,125,1793,9,7,6,5,0.0019630416814263784,0.0,129,2306,0,138,0,0,2756,0.0005608690518361082,0.7593428976266383
