sample_seed,shot,trajectory,shot_class,relay_leg,starting_residual,minimum_residual,ending_residual,iterations_used,net_residual_improvement,best_residual_improvement,converged,improved_previous_global_best,classification,residual_increases,equal_residual_iterations,decision_changes,longest_no_improvement_at_end,mean_belief_abs,mean_close_fraction
20260809,31,E0,easy,1,153,0,0,54,153,153,1,1,productive,18,9,1844,18,3338.5008278236965,0.0001495104148900347
20260809,31,E1,easy,1,153,0,0,54,153,153,1,1,productive,18,9,1844,18,3338.5008278236965,0.0001495104148900347
20260810,15,E0,easy,1,131,0,0,31,131,131,1,1,productive,9,2,1179,5,621.1821969435575,0.00015664339393385362
20260810,15,E1,easy,1,131,0,0,31,131,131,1,1,productive,9,2,1179,5,621.1821969435575,0.00015664339393385362
20260811,6,E0,easy,1,144,0,0,39,144,144,1,1,productive,13,0,1625,16,1658.160120046375,0.0001445694856959469
20260811,6,E1,easy,1,144,0,0,39,144,144,1,1,productive,13,0,1625,16,1658.160120046375,0.0001445694856959469
20260809,2,E0,typical,1,216,0,0,49,216,216,1,1,productive,13,7,3969,15,1904.9303477031342,0.00028555524228820117
20260809,2,E1,typical,1,216,0,0,49,216,216,1,1,productive,13,7,3969,15,1904.9303477031342,0.00028555524228820117
20260810,22,E0,typical,1,138,0,0,42,138,138,1,1,productive,10,1,2434,4,354.4027006469508,0.00023088406457163097
20260810,22,E1,typical,1,138,0,0,42,138,138,1,1,productive,10,1,2434,4,354.4027006469508,0.00023088406457163097
20260811,25,E0,moderately_hard,1,169,4,14,80,155,165,0,1,productive,35,4,3728,44,221054.7368542861,0.00022545459912622507
20260811,25,E0,moderately_hard,2,14,4,23,60,-9,10,0,0,regressive,19,7,111008,104,27205.63957502932,0.0018137225961349231
20260811,25,E0,moderately_hard,3,23,6,209,60,-186,17,0,0,regressive,25,4,18161,164,166.7758487549296,0.0005817786436808754
20260811,25,E0,moderately_hard,4,209,2,31,60,178,207,0,1,productive,21,5,15222,184,181.766041838562,0.0006764867949777619
20260811,25,E0,moderately_hard,5,31,4,10,60,21,27,0,0,productive,22,3,14595,184,189.4200881816559,0.00042827764002046677
20260811,25,E0,moderately_hard,6,10,5,6,60,4,5,0,0,productive,23,5,25216,184,171.25466848964223,0.0006206458849923252
20260811,25,E0,moderately_hard,7,6,5,40,60,-34,1,0,0,regressive,28,5,20754,219,155.5501303909917,0.0005466013303420317
20260811,25,E0,moderately_hard,8,40,0,0,20,40,40,1,1,productive,7,0,2104,238,130.31717901954607,0.0005542271814854175
20260811,25,E1,moderately_hard,1,169,4,14,80,155,165,0,1,productive,35,4,3728,44,221054.7368542861,0.00022545459912622507
20260811,25,E1,moderately_hard,2,14,8,19,60,-5,6,0,0,regressive,20,6,107982,104,27124.702316093608,0.0016577616404927777
20260811,25,E1,moderately_hard,3,19,0,0,19,19,19,1,1,productive,5,1,12888,122,122.6374680336094,0.0006758394391930943
20260812,14,E0,moderately_hard_counterexample,1,193,4,9,80,184,189,0,1,productive,33,4,4672,9,655.568349871733,0.00022250265674814026
