sample_seed,shot,trajectory,shot_class,gamma_seed,workload_hash_verified,gamma_stream_reproduced,replay_converged,replay_logical_correct,replay_iterations,replay_relay_legs,replay_convergence_iteration,saved_fixed_converged,saved_fixed_logical_correct,saved_fixed_iterations,saved_fixed_relay_legs,saved_fixed_cycles,saved_outcome_match,saved_iteration_leg_match,best_residual,longest_no_improvement_streak,residual_weight_increases,equal_residual_iterations,repeated_residual_weights,exact_residual_vector_repeats,two_cycle_residual_repeats,total_residual_vector_distance,total_decision_changes,mean_decision_changes,mean_belief_abs,mean_close_fraction,productive_legs,stagnant_legs,regressive_legs,zero_net_improvement_legs,worsening_legs,gamma_words_for_full_32_leg_schedule,gamma_rejections_for_full_32_leg_schedule,initial_residual,first_leg_iterations,first_leg_end_residual,first_leg_best_residual,first_leg_longest_no_improvement,first_leg_total_decision_changes,first_leg_mean_decision_changes,first_leg_mean_belief_abs,first_leg_end_belief_abs,first_leg_end_close_fraction,residual_after_5,residual_after_10,residual_after_20,residual_after_40
20260809,31,E0,easy,15718977782930520314,1,1,1,1,54,1,54,1,1,22,1,84391026,1,0,0,18,18,9,27,15,9,1415,1844,34.148148148148145,3338.5008278236965,0.0001495104148900347,1,0,0,0,0,2985657,885345,153,54,0,0,18,1844,34.148148148148145,3338.5008278236965,27980.688600008205,1.47597118904239e-05,76,30,11,6
20260809,31,E1,easy,9253345292079577902,1,1,1,1,54,1,54,1,1,22,1,84391026,1,0,0,18,18,9,27,15,9,1415,1844,34.148148148148145,3338.5008278236965,0.0001495104148900347,1,0,0,0,0,2987716,887404,153,54,0,0,18,1844,34.148148148148145,3338.5008278236965,27980.688600008205,1.47597118904239e-05,76,30,11,6
20260810,15,E0,easy,12682690586956095751,1,1,1,1,31,1,31,1,1,17,1,65447081,1,0,0,5,9,2,8,2,1,913,1179,38.03225806451613,621.1821969435575,0.00015664339393385362,1,0,0,0,0,2986685,886373,131,31,0,0,5,1179,38.03225806451613,621.1821969435575,2807.000256892603,1.47597118904239e-05,61,16,9,
20260810,15,E1,easy,4540782341996322137,1,1,1,1,31,1,31,1,1,17,1,65447081,1,0,0,5,9,2,8,2,1,913,1179,38.03225806451613,621.1821969435575,0.00015664339393385362,1,0,0,0,0,2986822,886510,131,31,0,0,5,1179,38.03225806451613,621.1821969435575,2807.000256892603,1.47597118904239e-05,61,16,9,
20260811,6,E0,easy,11597767561949233287,1,1,1,1,39,1,39,1,1,21,1,80602237,1,0,0,16,13,0,16,2,1,1174,1625,41.666666666666664,1658.160120046375,0.0001445694856959469,1,0,0,0,0,2987038,886726,144,39,0,0,16,1625,41.666666666666664,1658.160120046375,9934.307752661116,0.0,55,19,11,
20260811,6,E1,easy,3570044337078570290,1,1,1,1,39,1,39,1,1,21,1,80602237,1,0,0,16,13,0,16,2,1,1174,1625,41.666666666666664,1658.160120046375,0.0001445694856959469,1,0,0,0,0,2986095,885783,144,39,0,0,16,1625,41.666666666666664,1658.160120046375,9934.307752661116,0.0,55,19,11,
20260809,2,E0,typical,2266240012809103972,1,1,1,1,49,1,49,1,1,74,1,281408054,1,0,0,15,13,7,16,7,2,2456,3969,81.0,1904.9303477031342,0.00028555524228820117,1,0,0,0,0,2984735,884423,216,49,0,0,15,3969,81.0,1904.9303477031342,16565.662396143227,0.0,123,68,32,1
20260809,2,E1,typical,4774499527954843691,1,1,1,1,49,1,49,1,1,74,1,281408054,1,0,0,15,13,7,16,7,2,2456,3969,81.0,1904.9303477031342,0.00028555524228820117,1,0,0,0,0,2986684,886372,216,49,0,0,15,3969,81.0,1904.9303477031342,16565.662396143227,0.0,123,68,32,1
20260810,22,E0,typical,18318094137074377224,1,1,1,1,42,1,42,1,1,77,1,292774421,1,0,0,4,10,1,6,1,1,1644,2434,57.95238095238095,354.4027006469508,0.00023088406457163097,1,0,0,0,0,2988150,887838,138,42,0,0,4,2434,57.95238095238095,354.4027006469508,1027.679445680093,4.4279135671271696e-05,79,49,36,8
20260810,22,E1,typical,11792925387749738074,1,1,1,1,42,1,42,1,1,77,1,292774421,1,0,0,4,10,1,6,1,1,1644,2434,57.95238095238095,354.4027006469508,0.00023088406457163097,1,0,0,0,0,2985671,885359,138,42,0,0,4,2434,57.95238095238095,354.4027006469508,1027.679445680093,4.4279135671271696e-05,79,49,36,8
20260811,25,E0,moderately_hard,4924991655058300892,1,1,1,1,460,8,460,1,1,371,6,1412009477,1,0,0,238,180,33,323,2,1,44499,210788,458.23478260869564,42111.3253762704,0.0006721123586276292,5,0,3,0,3,2987100,886788,169,80,14,4,44,3728,46.6,221054.7368542861,3206414.3335545943,8.855827134254339e-05,106,64,27,15
20260811,25,E1,moderately_hard,10773553486900403650,1,1,1,1,159,3,159,1,1,320,5,1217715603,1,0,0,122,60,11,83,1,0,17529,124598,783.6352201257862,121472.90062390655,0.0008197673943668772,2,0,1,0,1,2986786,886474,169,80,14,4,44,3728,46.6,221054.7368542861,3206414.3335545943,8.855827134254339e-05,106,64,27,15
20260812,14,E0,moderately_hard_counterexample,12992113586448757321,1,1,1,1,798,13,798,1,1,403,7,1534317519,1,0,0,575,335,49,618,11,1,67497,216492,271.29323308270676,217.7800655218207,0.0005252459877998219,8,0,5,0,5,2987290,886978,193,80,9,4,9,4672,58.4,655.568349871733,5963.335360795931,0.00013283740701381508,110,84,47,35
20260812,14,E1,moderately_hard_counterexample,16000821272086832410,1,1,1,1,1727,29,1727,0,0,1940,32,7384341607,0,0,0,1475,695,114,1454,39,13,147477,518343,300.14070642733066,187.2483491530202,0.0005073853940420881,15,0,14,0,14,2985851,885539,193,80,9,4,9,4672,58.4,655.568349871733,5963.335360795931,0.00013283740701381508,110,84,47,35
20260811,28,E0,hard_major_improvement,9658996613670898465,1,1,1,1,164,3,164,1,1,538,9,2047936562,1,0,0,129,49,32,95,35,11,16098,136103,829.8963414634146,496179.6311833726,0.0006299877026400445,2,0,1,0,1,2987823,887511,170,80,2,1,46,2505,31.3125,930578.6133651246,13763906.59059732,8.855827134254339e-05,82,54,18,2
20260811,28,E1,hard_major_improvement,15355693094233425345,1,1,1,1,270,5,270,1,1,109,2,415081681,1,0,0,235,92,43,170,49,17,27672,162223,600.825925925926,301508.27634148864,0.000661289758290585,3,0,2,0,2,2985647,885335,170,80,2,1,46,2505,31.3125,930578.6133651246,13763906.59059732,8.855827134254339e-05,82,54,18,2
20260810,4,E0,severe_success,7832633304671189574,1,1,1,1,530,9,530,1,1,967,16,3680790570,1,0,0,357,205,40,379,4,0,44412,146505,276.42452830188677,207.1800990396767,0.0005225773464600084,6,0,3,0,3,2987224,886912,178,80,42,27,21,9634,120.425,503.5684525775472,805.5355984906266,1.47597118904239e-05,165,113,68,43
20260810,4,E1,severe_success,9365783717583519640,1,1,1,1,1726,29,1726,1,1,183,3,696518604,1,0,0,1423,712,102,1444,10,1,155908,427621,247.75260718424101,170.38208435913012,0.0005687277860350071,14,0,15,0,15,2987827,887515,178,80,42,27,21,9634,120.425,503.5684525775472,805.5355984906266,1.47597118904239e-05,165,113,68,43
20260810,9,E0,severe_success,10680904030723624696,1,1,1,1,291,5,291,1,1,1430,24,5443529947,1,0,0,116,107,18,175,0,0,27155,98895,339.8453608247423,210.96501915841316,0.000626298702484379,4,0,1,0,1,2986262,885950,213,80,62,51,41,16939,211.7375,332.63141581511815,475.61431465240526,8.855827134254339e-05,161,118,84,71
20260810,9,E1,severe_success,10467770150244613314,1,1,1,1,415,7,415,1,1,543,9,2066879370,1,0,0,209,164,25,267,0,0,38381,113090,272.50602409638554,186.15384160489108,0.0005979283766308592,4,0,3,0,3,2986183,885871,213,80,62,51,41,16939,211.7375,332.63141581511815,475.61431465240526,8.855827134254339e-05,161,118,84,71
20260809,18,E0,severe_rescue,15462074353113131334,1,1,1,1,187,3,187,0,0,1940,32,7384342706,0,0,0,126,68,13,95,0,0,17200,85653,458.03743315508024,628.844993362684,0.0005596061887866601,3,0,0,0,0,2986950,886638,232,80,10,2,21,5252,65.65,1199.4105774452225,14183.94940019096,7.379855945211949e-05,138,79,58,38
20260809,18,E1,severe_rescue,6948219666594607190,1,1,1,1,550,9,550,1,1,594,10,2261174639,1,0,0,456,210,33,392,2,1,50196,196306,356.92,316.79133639781134,0.0005771047349155744,5,0,4,0,4,2986809,886497,232,80,10,2,21,5252,65.65,1199.4105774452225,14183.94940019096,7.379855945211949e-05,138,79,58,38
20260810,26,E0,severe_rescue,13422414391702810807,1,1,1,1,46,1,46,0,0,1940,32,7384341176,0,0,0,10,13,9,14,1,0,2959,4211,91.54347826086956,642.3352069865413,0.0004322028677478478,1,0,0,0,0,2985420,885108,233,46,0,0,10,4211,91.54347826086956,642.3352069865413,4552.473862875838,1.47597118904239e-05,141,110,33,5
20260810,26,E1,severe_rescue,5014246721371807918,1,1,1,1,46,1,46,1,1,242,4,921122824,1,0,0,10,13,9,14,1,0,2959,4211,91.54347826086956,642.3352069865413,0.0004322028677478478,1,0,0,0,0,2986883,886571,233,46,0,0,10,4211,91.54347826086956,642.3352069865413,4552.473862875838,1.47597118904239e-05,141,110,33,5
20260811,26,E0,severe_rescue,15134709048464766590,1,1,1,1,352,6,352,0,0,1940,32,7384343541,0,0,0,192,135,38,249,36,8,32124,191904,545.1818181818181,91611.13344174583,0.0006816303309395764,5,0,1,0,1,2987785,887473,130,80,3,3,38,2079,25.9875,368138.8552632431,5443401.561535102,0.0001033179832329673,71,37,24,4
20260811,26,E1,severe_rescue,10362486612339602757,1,1,1,1,1263,21,1263,1,1,1241,21,4724250260,1,0,0,1107,516,109,1003,98,12,126614,477640,378.1789390340459,25660.32473313392,0.0006748682517498731,13,0,8,0,8,2987615,887303,130,80,3,3,38,2079,25.9875,368138.8552632431,5443401.561535102,0.0001033179832329673,71,37,24,4
