read_latency,assertion,failures,result
1,read_after_overwrite,0,PASS
1,write_before_required_return,0,PASS
1,same_address_read_write,0,PASS
1,unsupported_dual_write,0,PASS
1,phase_change_outstanding,0,PASS
1,dropped_request,0,PASS
1,duplicated_response,0,PASS
1,wrong_trajectory_port,0,PASS
1,tag_address_mismatch,0,PASS
2,read_after_overwrite,0,PASS
2,write_before_required_return,0,PASS
2,same_address_read_write,0,PASS
2,unsupported_dual_write,0,PASS
2,phase_change_outstanding,0,PASS
2,dropped_request,0,PASS
2,duplicated_response,0,PASS
2,wrong_trajectory_port,0,PASS
2,tag_address_mismatch,0,PASS
