memory,logical_width,logical_depth,banks,analytical_BRAM36,vivado_status,inferred_primitive,RAMB36,RAMB18,LUTRAM,FF,replication_factor,packing_efficiency,unused_capacity,warnings
edge_to_fault,17,391320,4,192,NOT EXECUTED,,,,,,,,,
fault_to_edge,19,391320,4,228,NOT EXECUTED,,,,,,,,,
check_degree,8,1728,4,4,NOT EXECUTED,,,,,,,,,
fault_degree,4,67752,4,12,NOT EXECUTED,,,,,,,,,
prior,18,67752,4,36,NOT EXECUTED,,,,,,,,,
syndrome,1,1728,4,4,NOT EXECUTED,,,,,,,,,
E0_message,18,391320,4,192,NOT EXECUTED,,,,,,,,,
E1_message,18,391320,4,192,NOT EXECUTED,,,,,,,,,
E0_marginal,18,67752,4,36,NOT EXECUTED,,,,,,,,,
E1_marginal,18,67752,4,36,NOT EXECUTED,,,,,,,,,
E0_gamma,5,67752,4,20,NOT EXECUTED,,,,,,,,,
E1_gamma,5,67752,4,20,NOT EXECUTED,,,,,,,,,
E0_decision,1,67752,4,4,NOT EXECUTED,,,,,,,,,
E1_decision,1,67752,4,4,NOT EXECUTED,,,,,,,,,
