p,sample_seed,seed_index,shot,detector_sample_hash,logical_sample_hash,s0,s1,e0_syndrome_converged,e0_logical_correct,e0_syndrome_valid_logical_error,e0_non_convergence,e0_iterations,e0_legs,e0_weight,e0_natural_cycles,e0_result_cycles,e0_rng_words,e0_gamma_coefficients,e0_initial_rng_state,e0_final_rng_state,e1_syndrome_converged,e1_logical_correct,e1_syndrome_valid_logical_error,e1_non_convergence,e1_iterations,e1_legs,e1_weight,e1_natural_cycles,e1_result_cycles,e1_rng_words,e1_gamma_coefficients,e1_initial_rng_state,e1_final_rng_state,n1_cycles,n2_cycles,winner,same_cycle,global_failure,n2_syndrome_converged,n2_logical_correct,n2_syndrome_valid_logical_error,n2_non_convergence,parallel_rescue,early_wrong_risk,latency_reduction,relative_reduction,loser_quiescent_cycle,cleanup_cycles,avoided_loser_cycles,pair_reuse_cycle,n1_active_work,n2_active_work,e0_budget_reached,e1_budget_reached
0.003,20260809,0,0,809728c63175a221bdabe78232f505c69225402f09a3a46dd515ca176868671a,7e69d10359af14323ef4bf7f2eec044ddcbe3c4983de5ed9b3858c2ef3e2f6dc,8797755741708845560,4046486799679479078,1,1,0,0,37,1,305.55001081021453,141222862,141222861,0,0,8797755741708845560,8797755741708845560,1,1,0,0,37,1,305.55001081021453,141222862,141222861,0,0,4046486799679479078,4046486799679479078,141222861,141222861,0,1,0,1,1,0,0,0,0,0,0.0,141222862,1,0,141222862,141222862,282445723,0,0
0.003,20260809,0,1,166b15a81799b71c1c2ab601d1eea264cb1034275fa57bde52c0a7d87bdbb846,e461832bf49f723091624dcc5636e4dcc4f0c2c47272f76a3610c59d5c0c2720,12605300877999184540,884961374727021234,1,1,0,0,51,1,301.4131020079944,194265908,194265907,0,0,12605300877999184540,12605300877999184540,1,1,0,0,51,1,301.4131020079944,194265908,194265907,0,0,884961374727021234,884961374727021234,194265907,194265907,0,1,0,1,1,0,0,0,0,0,0.0,194265908,1,0,194265908,194265908,388531815,0,0
0.003,20260809,0,2,82b23d5bf20f75d64b81ce16a7d1b92ec6fb74c8800fd8908ce535cb20deaf60,16418623d44a0ed847bcc99bdd47e4482448a2e52ca6298f18d63d2dec7a5634,2266240012809103972,4774499527954843691,1,1,0,0,74,1,390.05367717959547,281408055,281408054,0,0,2266240012809103972,2266240012809103972,1,1,0,0,74,1,390.05367717959547,281408055,281408054,0,0,4774499527954843691,4774499527954843691,281408054,281408054,0,1,0,1,1,0,0,0,0,0,0.0,281408055,1,0,281408055,281408055,562816109,0,0
0.003,20260809,0,3,eb551b821cb26ac287b9bd9601e868a2a182e59e46c3f230199b0799559d6aca,5d3bade67a75582b3a1276fff4965603aacce99d17875fc2893fcae5b7a04c51,11596314071846552675,10184384423030001450,1,1,0,0,56,1,355.07409456717556,213209853,213209852,0,0,11596314071846552675,11596314071846552675,1,1,0,0,56,1,355.07409456717556,213209853,213209852,0,0,10184384423030001450,10184384423030001450,213209852,213209852,0,1,0,1,1,0,0,0,0,0,0.0,213209853,1,0,213209853,213209853,426419705,0,0
0.003,20260809,0,4,88b0232431c3ba6a2ea126679ed4feab56855bb830cd6697f80fab501aa06336,d094939805b9135df6af5f768bdd216743edb9b215f402a2b5842354624885bc,10141677951677065804,7652924299329715263,1,1,0,0,53,1,319.88950307662157,201843486,201843485,0,0,10141677951677065804,10141677951677065804,1,1,0,0,53,1,319.88950307662157,201843486,201843485,0,0,7652924299329715263,7652924299329715263,201843485,201843485,0,1,0,1,1,0,0,0,0,0,0.0,201843486,1,0,201843486,201843486,403686971,0,0
0.003,20260809,0,5,e97455f276f007073207e17c575f1ce4ce4a50b6020809b8126a3b9903872a1b,b8a9b66ecf8af158c7927d93c155e6c5f424aae220e1e2036457a9141ba6bdbd,8763808320666350717,8612741554530423899,1,1,0,0,171,3,316.84328107015574,651053029,651053028,192605,135504,8763808320666350717,9031751074107457166,1,1,0,0,160,3,347.01317355769663,609376422,609376421,192677,135504,8612741554530423899,1363259448471898655,651053028,609376421,1,0,0,1,1,0,0,0,0,41676607,0.06401415124053458,611865595,2489174,39187434,611865595,651053029,1221242016,0,0
0.003,20260809,0,6,6915cccea23d20cacad8f8576f728e62387110f353b22570443b885966705747,491e503ba40e8d303d46b4b51b14826ae08e8c8c3ded6f1441ef1d5d53c42534,16046846968248299819,4229790578053323825,1,1,0,0,344,6,336.4875143954213,1309713132,1309713131,482460,338760,16046846968248299819,16872956026041370963,1,1,0,0,458,8,345.5750510309549,1743766781,1743766780,674329,474264,4229790578053323825,10853915614798366808,1309713131,1309713131,0,0,0,1,1,0,0,0,0,0,0.0,1312202305,2489174,431564476,1312202305,1309713132,2621915436,0,0
0.003,20260809,0,7,d7d2e5bc152e605a287527b1d89f7b29c3570c37ca53e46a30e079b6db5673c7,0e3bdfef7f1cf00965b73016d8fbbe07b2f1fa7df57d4369ba552574fa6edfd0,14472511681705215893,7896154883791277071,1,1,0,0,56,1,357.31860687854106,213209853,213209852,0,0,14472511681705215893,14472511681705215893,1,1,0,0,56,1,357.31860687854106,213209853,213209852,0,0,7896154883791277071,7896154883791277071,213209852,213209852,0,1,0,1,1,0,0,0,0,0,0.0,213209853,1,0,213209853,213209853,426419705,0,0
0.003,20260809,0,8,b7a8cc09030bcfa2e854e82f8c8f158b4daca6b1c82bd9ebe3565d678d713198,810ec9dd94477aeb42f7efff2ce01c4e5f1c091b09fb1b7e5534fa9b58a4109d,4195653764737705966,12631610141971852844,1,1,0,0,54,1,337.51386556784337,205632275,205632274,0,0,4195653764737705966,4195653764737705966,1,1,0,0,54,1,337.51386556784337,205632275,205632274,0,0,12631610141971852844,12631610141971852844,205632274,205632274,0,1,0,1,1,0,0,0,0,0,0.0,205632275,1,0,205632275,205632275,411264549,0,0
0.003,20260809,0,9,36d8b4a67fb725106f7321760eb7167fe137b6c5cb252972fba48989f22ac4a2,786c2e62da0da96eb36c5a9b45669c5cf531b8d0f3fcac5a4efba57f4d5b4db9,4113981703839189640,10216336629036633155,1,1,0,0,117,2,365.4345292638636,445392522,445392521,96621,67752,4113981703839189640,18317648583498363007,1,1,0,0,699,12,356.298895047232,2661129587,2661129586,1059318,745272,10216336629036633155,5406914849357710773,445392521,445392521,0,0,0,1,1,0,0,0,0,0,0.0,447881695,2489174,2213247892,447881695,445392522,893274216,0,0
0.003,20260809,0,10,74cd7c06b824e534bd8c45e1e264c9ce52a7ba58cec19468ec587f0fc3e8ea40,d8be982bac46c32cebc5f42e7df5a2f5d0baf5c7821794844d7245e09a297820,17802734268392651266,5614213855103928757,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,17802734268392651266,17802734268392651266,1,1,0,0,53,1,310.5067186071732,201843486,201843485,0,0,5614213855103928757,5614213855103928757,201843485,201843485,0,1,0,1,1,0,0,0,0,0,0.0,201843486,1,0,201843486,201843486,403686971,0,0
0.003,20260809,0,11,86b1e72bdd7a3bc17e9902fa39da1ee5f53148b72ccbaa649e9a8cd6751b4f7b,27a8ca63fa0ace2fd1e86616aad228e4d2800b73c2904b45263494aa240fba33,1621262887729756765,16128902808687320708,1,1,0,0,104,2,370.80811021566626,396137710,396137709,96066,67752,1621262887729756765,12833354884182939130,1,1,0,0,221,4,416.9150270315036,841558791,841558790,289000,203256,16128902808687320708,7141913970114311719,396137709,396137709,0,0,0,1,1,0,0,0,0,0,0.0,398626883,2489174,442931908,398626883,396137710,794764592,0,0
0.003,20260809,0,12,6bf3154165f98c3d4ecbe2b8864b80cecc0731d4daf243c7f0319201c1b169e2,dcc164ca1a8d04adc141925cddaa7a657a584a5cdef898a653578cef98b42d9a,15283566630660765739,12547269875732112094,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,15283566630660765739,15283566630660765739,1,1,0,0,60,1,409.8993753164099,228365009,228365008,0,0,12547269875732112094,12547269875732112094,228365008,228365008,0,1,0,1,1,0,0,0,0,0,0.0,228365009,1,0,228365009,228365009,456730017,0,0
