sample_seed,shot,policy,engine,event,trajectory_iteration,scheduler_quantum,wall_cycles,wall_cycle_delay_vs_round_robin,occurred_before_first_success,trajectory_eventually_won
20260809,6,P0_round_robin,1,flagged,260,520,1680161840.0,0.0,1,0
20260809,6,P0_round_robin,1,late_recovery,458,802,2593102640.0,0.0,0,0
20260809,6,P0_round_robin,1,flagged_convergence,458,802,2593102640.0,0.0,0,0
20260809,6,P1_stagnation_1to2,1,flagged,260,520,1680161840.0,0.0,1,0
20260809,6,P1_stagnation_1to2,1,late_recovery,458,802,2593102640.0,0.0,0,0
20260809,6,P1_stagnation_1to2,1,flagged_convergence,458,802,2593102640.0,0.0,0,0
20260809,6,P2_stagnation_1to3,1,flagged,260,520,1680161840.0,0.0,1,0
20260809,6,P2_stagnation_1to3,1,late_recovery,458,802,2593102640.0,0.0,0,0
20260809,6,P2_stagnation_1to3,1,flagged_convergence,458,802,2593102640.0,0.0,0,0
20260809,9,P0_round_robin,1,flagged,260,377,1218331125.0,0.0,0,0
20260809,9,P0_round_robin,1,late_recovery,699,816,2638107530.0,0.0,0,0
20260809,9,P0_round_robin,1,flagged_convergence,699,816,2638107530.0,0.0,0,0
20260809,9,P1_stagnation_1to2,1,flagged,260,377,1218331125.0,0.0,0,0
20260809,9,P1_stagnation_1to2,1,late_recovery,699,816,2638107530.0,0.0,0,0
20260809,9,P1_stagnation_1to2,1,flagged_convergence,699,816,2638107530.0,0.0,0,0
20260809,9,P2_stagnation_1to3,1,flagged,260,377,1218331125.0,0.0,0,0
20260809,9,P2_stagnation_1to3,1,late_recovery,699,816,2638107530.0,0.0,0,0
20260809,9,P2_stagnation_1to3,1,flagged_convergence,699,816,2638107530.0,0.0,0,0
20260809,11,P0_round_robin,1,flagged,200,304,982593815.0,0.0,0,0
20260809,11,P0_round_robin,1,late_recovery,216,320,1035096930.0,0.0,0,0
20260809,11,P1_stagnation_1to2,1,flagged,200,304,982593815.0,0.0,0,0
20260809,11,P1_stagnation_1to2,1,late_recovery,216,320,1035096930.0,0.0,0,0
20260809,11,P2_stagnation_1to3,1,flagged,200,304,982593815.0,0.0,0,0
20260809,11,P2_stagnation_1to3,1,late_recovery,216,320,1035096930.0,0.0,0,0
20260809,13,P0_round_robin,1,flagged,200,381,1231189665.0,0.0,0,0
20260809,13,P0_round_robin,1,late_recovery,660,841,2718473405.0,0.0,0,0
20260809,13,P0_round_robin,1,flagged_convergence,660,841,2718473405.0,0.0,0,0
20260809,13,P1_stagnation_1to2,1,flagged,200,381,1231189665.0,0.0,0,0
20260809,13,P1_stagnation_1to2,1,late_recovery,660,841,2718473405.0,0.0,0,0
20260809,13,P1_stagnation_1to2,1,flagged_convergence,660,841,2718473405.0,0.0,0,0
20260809,13,P2_stagnation_1to3,1,flagged,200,381,1231189665.0,0.0,0,0
20260809,13,P2_stagnation_1to3,1,late_recovery,660,841,2718473405.0,0.0,0,0
20260809,13,P2_stagnation_1to3,1,flagged_convergence,660,841,2718473405.0,0.0,0,0
20260809,16,P0_round_robin,0,flagged,200,360,1163682330.0,0.0,0,0
20260809,16,P0_round_robin,0,late_recovery,226,386,1248331795.0,0.0,0,0
20260809,16,P0_round_robin,0,flagged_convergence,226,386,1248331795.0,0.0,0,0
20260809,16,P1_stagnation_1to2,0,flagged,200,360,1163682330.0,0.0,0,0
20260809,16,P1_stagnation_1to2,0,late_recovery,226,386,1248331795.0,0.0,0,0
20260809,16,P1_stagnation_1to2,0,flagged_convergence,226,386,1248331795.0,0.0,0,0
20260809,16,P2_stagnation_1to3,0,flagged,200,360,1163682330.0,0.0,0,0
20260809,16,P2_stagnation_1to3,0,late_recovery,226,386,1248331795.0,0.0,0,0
20260809,16,P2_stagnation_1to3,0,flagged_convergence,226,386,1248331795.0,0.0,0,0
20260809,18,P0_round_robin,1,flagged,200,400,1292267730.0,0.0,1,1
20260809,18,P0_round_robin,1,late_recovery,253,506,1635156950.0,0.0,1,1
20260809,18,P0_round_robin,0,flagged,260,519,1676947205.0,0.0,1,0
20260809,18,P0_round_robin,0,late_recovery,294,587,1897680295.0,0.0,1,0
20260809,18,P0_round_robin,0,flagged,440,879,2840629535.0,0.0,1,0
20260809,18,P0_round_robin,1,flagged,500,1000,3231738280.0,0.0,1,1
20260809,18,P0_round_robin,1,late_recovery,594,1188,3840365480.0,0.0,1,1
20260809,18,P0_round_robin,1,flagged_convergence,594,1188,3840365480.0,0.0,1,1
20260809,18,P1_stagnation_1to2,1,flagged,200,400,1292267730.0,0.0,1,1
20260809,18,P1_stagnation_1to2,0,flagged,260,490,1583722790.0,-93224415.0,1,0
20260809,18,P1_stagnation_1to2,1,late_recovery,253,536,1732664955.0,97508005.0,1,1
20260809,18,P1_stagnation_1to2,0,late_recovery,294,568,1836602230.0,-61078065.0,1,0
20260809,18,P1_stagnation_1to2,0,flagged,440,860,2779551470.0,-61078065.0,1,0
20260809,18,P1_stagnation_1to2,1,flagged,500,979,3164230945.0,-67507335.0,1,1
20260809,18,P1_stagnation_1to2,1,late_recovery,594,1168,3776072780.0,-64292700.0,1,1
20260809,18,P1_stagnation_1to2,1,flagged_convergence,594,1168,3776072780.0,-64292700.0,1,1
