policy,winner,first_success_cycles,first_success_quanta,global_failure,e0_work_before_first,e1_work_before_first,e0_flagged_work_before_first,e1_flagged_work_before_first,total_full_service_quanta,e0_total_work,e1_total_work,e0_flagged_work,e1_flagged_work,e0_ever_flagged,e1_ever_flagged,max_e0_service_gap,max_e1_service_gap,total_requested_accesses,total_issued_groups,total_retry_subsets,mean_active_lanes,lane_utilization,sample_seed,shot,winner_logical_correct,winner_syndrome_valid,winner_correction_hash,changed_winner,lost_success,logical_regression,invalid,cycles_delta_vs_round_robin,cycles_percent_vs_round_robin,classification
P0_round_robin,0,236806265.0,73,0,37,36,0,0,74,37,37,0,0,0,0,1,1,266256936.0,103257008.0,3631220.0,2.578584651610281,0.6446461629025703,20260809,0,1,1,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,236806265.0,73,0,37,36,0,0,74,37,37,0,0,0,0,1,1,266256936.0,103257008.0,3631220.0,2.578584651610281,0.6446461629025703,20260809,0,1,1,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,236806265.0,73,0,37,36,0,0,74,37,37,0,0,0,0,1,1,266256936.0,103257008.0,3631220.0,2.578584651610281,0.6446461629025703,20260809,0,1,1,73b1f6e9e79dfbf8041dda28045d7b56f15017183ad50e5ccca95fa145b1600c,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,326816045.0,101,0,51,50,0,0,102,51,51,0,0,0,0,1,1,367482312.0,142564080.0,4950804.0,2.5776641072561897,0.6444160268140474,20260809,1,1,1,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,326816045.0,101,0,51,50,0,0,102,51,51,0,0,0,0,1,1,367482312.0,142564080.0,4950804.0,2.5776641072561897,0.6444160268140474,20260809,1,1,1,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,326816045.0,101,0,51,50,0,0,102,51,51,0,0,0,0,1,1,367482312.0,142564080.0,4950804.0,2.5776641072561897,0.6444160268140474,20260809,1,1,1,2c03672ccbabaa92b2ecc8fc2c374a3e42cd125b284642e586b238df3497ef3c,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,474689255.0,147,0,74,73,0,0,148,74,74,0,0,0,0,1,1,533781144.0,207139984.0,7118692.0,2.5769102309093546,0.6442275577273386,20260809,2,1,1,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,474689255.0,147,0,74,73,0,0,148,74,74,0,0,0,0,1,1,533781144.0,207139984.0,7118692.0,2.5769102309093546,0.6442275577273386,20260809,2,1,1,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,474689255.0,147,0,74,73,0,0,148,74,74,0,0,0,0,1,1,533781144.0,207139984.0,7118692.0,2.5769102309093546,0.6442275577273386,20260809,2,1,1,6f69b008eda47953b63511084918469db441e27dad254144ce0ecbd20553fa78,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,358962395.0,111,0,56,55,0,0,112,56,56,0,0,0,0,1,1,403634232.0,156602320.0,5422084.0,2.5774473328364484,0.6443618332091121,20260809,3,1,1,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,358962395.0,111,0,56,55,0,0,112,56,56,0,0,0,0,1,1,403634232.0,156602320.0,5422084.0,2.5774473328364484,0.6443618332091121,20260809,3,1,1,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,0,0,0,0,0.0,0.0,A_same_success_same_winner
P2_stagnation_1to3,0,358962395.0,111,0,56,55,0,0,112,56,56,0,0,0,0,1,1,403634232.0,156602320.0,5422084.0,2.5774473328364484,0.6443618332091121,20260809,3,1,1,3f565720423504df11a016a74e1f4e57820127c26766dafeedd4346fca95cec3,0,0,0,0,0.0,0.0,A_same_success_same_winner
P0_round_robin,0,339674585.0,105,0,53,52,0,0,106,53,53,0,0,0,0,1,1,381943080.0,148179376.0,5139316.0,2.5775724686544774,0.6443931171636194,20260809,4,1,1,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,0,0,0,0,0.0,0.0,A_same_success_same_winner
P1_stagnation_1to2,0,339674585.0,105,0,53,52,0,0,106,53,53,0,0,0,0,1,1,381943080.0,148179376.0,5139316.0,2.5775724686544774,0.6443931171636194,20260809,4,1,1,4e4cd8a484f9e1dde90c69a06382cf5a9d900a8f1f9c6c542949ec18facc1a92,0,0,0,0,0.0,0.0,A_same_success_same_winner
