p,shot,python_converged,official_converged,python_logical,official_logical,python_iterations,official_iterations,python_legs,official_legs,python_weight,official_weight,outcome_match
0.004,0,1,1,1,1,290,336,5,6,434.8092895687678,336.05273398098103,True
0.004,1,1,1,1,1,188,70,3,1,402.7830004121389,409.23692058481447,True
0.004,2,1,1,1,1,242,52,4,1,440.1305931728667,404.65827836429685,True
0.004,3,1,1,1,1,535,128,9,2,425.05631245687636,504.0465604223714,True
0.004,4,1,1,1,1,65,413,1,7,442.074956908025,585.4368864416368,True
0.004,5,1,1,1,1,461,1310,8,22,423.2791665466483,451.7279938050016,True
0.004,6,1,1,1,1,54,950,1,16,319.99506620231847,442.18168058393445,True
0.004,7,1,1,1,1,77,23,1,1,414.08698303558276,445.43793402416793,True
0.004,8,1,1,1,1,305,132,5,2,576.2567407739157,468.3155047603567,True
0.004,9,1,1,1,1,56,78,1,1,557.1650082972417,406.9843334098319,True
0.004,10,1,1,1,1,100,636,2,11,441.38732379683415,448.64311279722585,True
0.004,11,1,1,1,1,1127,71,19,1,519.0057370225932,359.71527112727404,True
0.004,12,1,1,1,1,221,110,4,2,452.57881916153883,530.5239331887283,True
0.004,13,1,1,1,1,190,348,3,6,506.37684364219064,468.40859183449084,True
0.004,14,1,1,1,1,1203,64,20,1,590.0909636106861,444.88561292255133,True
0.004,15,1,1,1,1,51,70,1,1,408.26114437191103,395.82250653270404,True
0.005,0,1,1,1,1,130,68,2,1,535.4101759810333,537.3035428366926,True
0.005,1,1,1,1,1,1561,292,26,5,617.5841616011546,539.7205488568648,True
0.005,2,1,1,1,1,614,1020,10,17,561.0946511807248,631.5420979993171,True
0.005,3,1,1,1,1,9541,313,159,5,641.4672319487615,523.6933945079239,True
0.005,4,1,1,1,1,1430,9838,24,164,613.8459504086259,632.4629698567101,True
0.005,5,1,1,1,1,5526,167,92,3,581.9930238751895,569.7073445391461,True
0.005,6,1,0,1,0,8035,18080,134,301,577.5768555373361,,False
0.005,7,1,1,1,1,1012,79,17,1,579.4883545213733,484.76255155391254,True
0.005,8,1,1,1,1,50,1184,1,20,518.3588037464165,628.42519295034,True
0.005,9,1,1,1,1,2402,1257,40,21,562.1963992191993,582.6434327984938,True
0.005,10,1,1,1,1,227,258,4,4,605.3109988461094,567.4984587967197,True
0.005,11,1,1,1,1,123,2238,2,37,600.95647323354,690.4469485770683,True
0.005,12,1,1,1,1,136,259,2,4,572.54782995951,591.5984589147977,True
0.005,13,0,1,0,1,18080,118,301,2,,503.524237174454,False
0.005,14,1,1,1,1,194,72,3,1,534.8263748279292,474.7633640578489,True
0.005,15,1,0,1,0,258,18080,4,301,562.5012605820459,,False
