p,shot,syndrome_converged,logical_action_match,logically_correct,iterations,relay_legs,selected_solution_weight,correction_weight,predicted_logical_hex,elapsed_seconds,official_result_success
0.004,0,1,1,1,336,6,336.05273398098103,59,9f00,0.40085683297365904,1
0.004,1,1,1,1,70,1,409.23692058481447,67,8b03,0.08229258295614272,1
0.004,2,1,1,1,52,1,404.65827836429685,65,cf0d,0.06352654192596674,1
0.004,3,1,1,1,128,2,504.0465604223714,85,f106,0.15520470798946917,1
0.004,4,1,1,1,413,7,585.4368864416368,99,5806,0.5063244580524042,1
0.004,5,1,1,1,1310,22,451.7279938050016,75,c702,1.5502699160715565,1
0.004,6,1,1,1,950,16,442.18168058393445,76,6d0a,1.1300802089972422,1
0.004,7,1,1,1,23,1,445.43793402416793,73,6f08,0.027556790970265865,1
0.004,8,1,1,1,132,2,468.3155047603567,78,1701,0.1557811249513179,1
0.004,9,1,1,1,78,1,406.9843334098319,69,950e,0.09164179104845971,1
0.004,10,1,1,1,636,11,448.64311279722585,75,c70b,0.7540160840144381,1
0.004,11,1,1,1,71,1,359.71527112727404,63,8e08,0.08381954196374863,1
0.004,12,1,1,1,110,2,530.5239331887283,86,2402,0.13060266594402492,1
0.004,13,1,1,1,348,6,468.40859183449084,81,7000,0.413972666952759,1
0.004,14,1,1,1,64,1,444.88561292255133,72,b700,0.07993966701906174,1
0.004,15,1,1,1,70,1,395.82250653270404,68,b70d,0.08278108306694776,1
0.005,0,1,1,1,68,1,537.3035428366926,92,2c05,0.08148737496230751,1
0.005,1,1,1,1,292,5,539.7205488568648,93,d704,0.3455535409739241,1
0.005,2,1,1,1,1020,17,631.5420979993171,111,2a0d,1.2123056249693036,1
0.005,3,1,1,1,313,5,523.6933945079239,93,a208,0.3722504168981686,1
0.005,4,1,1,1,9838,164,632.4629698567101,109,230c,11.66966333403252,1
0.005,5,1,1,1,167,3,569.7073445391461,100,6f02,0.19967250002082437,1
0.005,6,0,0,0,18080,301,,88,1f0f,21.50689474993851,0
0.005,7,1,1,1,79,1,484.76255155391254,83,1103,0.09360904200002551,1
0.005,8,1,1,1,1184,20,628.42519295034,110,3208,1.4035335830412805,1
0.005,9,1,1,1,1257,21,582.6434327984938,100,720b,1.4957402920117602,1
0.005,10,1,1,1,258,4,567.4984587967197,99,1e0b,0.3059188328916207,1
0.005,11,1,1,1,2238,37,690.4469485770683,117,870f,2.6636724999407306,1
0.005,12,1,1,1,259,4,591.5984589147977,102,560d,0.3081987090408802,1
0.005,13,1,1,1,118,2,503.524237174454,84,590f,0.1400522079784423,1
0.005,14,1,1,1,72,1,474.7633640578489,81,2506,0.08636629197280854,1
0.005,15,0,0,0,18080,301,,86,3f09,21.580479167052545,0
