sample_seed,shot,engine,decoder_seed,iterations,relay_legs,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight
20260809,0,0,9100,37,1,1,1,0,305.55001081021453
20260809,0,1,1009103,37,1,1,1,0,305.55001081021453
20260809,0,2,2009106,37,1,1,1,0,305.55001081021453
20260809,0,3,3009109,37,1,1,1,0,305.55001081021453
20260809,1,0,9101,51,1,1,1,0,301.4131020079944
20260809,1,1,1009104,51,1,1,1,0,301.4131020079944
20260809,1,2,2009107,51,1,1,1,0,301.4131020079944
20260809,1,3,3009110,51,1,1,1,0,301.4131020079944
20260809,2,0,9102,74,1,1,1,0,390.05367717959547
20260809,2,1,1009105,74,1,1,1,0,390.05367717959547
20260809,2,2,2009108,74,1,1,1,0,390.05367717959547
20260809,2,3,3009111,74,1,1,1,0,390.05367717959547
20260809,3,0,9103,56,1,1,1,0,355.07409456717556
20260809,3,1,1009106,56,1,1,1,0,355.07409456717556
20260809,3,2,2009109,56,1,1,1,0,355.07409456717556
20260809,3,3,3009112,56,1,1,1,0,355.07409456717556
20260809,4,0,9104,53,1,1,1,0,319.88950307662157
20260809,4,1,1009107,53,1,1,1,0,319.88950307662157
20260809,4,2,2009110,53,1,1,1,0,319.88950307662157
20260809,4,3,3009113,53,1,1,1,0,319.88950307662157
20260809,5,0,9105,114,2,1,1,0,291.93585015114076
20260809,5,1,1009108,109,2,1,1,0,284.21464786370336
20260809,5,2,2009111,235,4,1,1,0,323.8900744645015
20260809,5,3,3009114,156,3,1,1,0,290.8850894653224
20260809,6,0,9106,94,2,1,1,0,320.7666021111063
20260809,6,1,1009109,105,2,1,1,0,306.45373365677847
20260809,6,2,2009112,98,2,1,1,0,297.30622780264827
20260809,6,3,3009115,111,2,1,1,0,316.3131888271506
20260809,7,0,9107,56,1,1,1,0,357.31860687854106
20260809,7,1,1009110,56,1,1,1,0,357.31860687854106
20260809,7,2,2009113,56,1,1,1,0,357.31860687854106
20260809,7,3,3009116,56,1,1,1,0,357.31860687854106
20260809,8,0,9108,54,1,1,1,0,337.51386556784337
20260809,8,1,1009111,54,1,1,1,0,337.51386556784337
20260809,8,2,2009114,54,1,1,1,0,337.51386556784337
20260809,8,3,3009117,54,1,1,1,0,337.51386556784337
20260809,9,0,9109,358,6,1,1,0,337.9432387724209
20260809,9,1,1009112,176,3,1,1,0,390.776879375812
20260809,9,2,2009115,121,2,1,1,0,356.5748895368922
20260809,9,3,3009118,104,2,1,1,0,346.2197260003509
20260809,10,0,9110,53,1,1,1,0,310.5067186071732
20260809,10,1,1009113,53,1,1,1,0,310.5067186071732
20260809,10,2,2009116,53,1,1,1,0,310.5067186071732
20260809,10,3,3009119,53,1,1,1,0,310.5067186071732
20260809,11,0,9111,197,3,1,1,0,369.2094609750159
20260809,11,1,1009114,258,4,1,1,0,405.9341511855572
20260809,11,2,2009117,189,3,1,1,0,377.79970103345676
20260809,11,3,3009120,218,4,1,1,0,368.0773009344951
20260809,12,0,9112,60,1,1,1,0,409.8993753164099
20260809,12,1,1009115,60,1,1,1,0,409.8993753164099
20260809,12,2,2009118,60,1,1,1,0,409.8993753164099
20260809,12,3,3009121,60,1,1,1,0,409.8993753164099
20260809,13,0,9113,237,4,1,1,0,431.94414164468174
20260809,13,1,1009116,140,2,1,1,0,419.51633225147447
20260809,13,2,2009119,103,2,1,1,0,401.15274222330424
20260809,13,3,3009122,724,12,1,1,0,432.88878426089366
20260809,14,0,9114,39,1,1,1,0,423.85757918949764
20260809,14,1,1009117,39,1,1,1,0,423.85757918949764
20260809,14,2,2009120,39,1,1,1,0,423.85757918949764
20260809,14,3,3009123,39,1,1,1,0,423.85757918949764
20260809,15,0,9115,180,3,1,1,0,364.86504913509316
20260809,15,1,1009118,139,2,1,1,0,367.2808367955942
20260809,15,2,2009121,735,12,1,1,0,366.687002014251
20260809,15,3,3009124,184,3,1,1,0,369.9814063359515
20260809,16,0,9116,115,2,1,1,0,420.8742691024928
20260809,16,1,1009119,353,6,1,1,0,435.86442371232664
20260809,16,2,2009122,97,2,1,1,0,398.0387689876366
20260809,16,3,3009125,123,2,1,1,0,426.9281063903191
20260809,17,0,9117,58,1,1,1,0,294.5323698581094
20260809,17,1,1009120,58,1,1,1,0,294.5323698581094
20260809,17,2,2009123,58,1,1,1,0,294.5323698581094
20260809,17,3,3009126,58,1,1,1,0,294.5323698581094
20260809,18,0,9118,355,6,1,1,0,489.5720222879788
20260809,18,1,1009121,799,13,1,1,0,491.4607980806993
20260809,18,2,2009124,165,3,1,1,0,474.42919405834846
20260809,18,3,3009127,582,10,1,1,0,491.93106736491677
20260809,19,0,9119,41,1,1,1,0,375.8485716269149
20260809,19,1,1009122,41,1,1,1,0,375.8485716269149
20260809,19,2,2009125,41,1,1,1,0,375.8485716269149
20260809,19,3,3009128,41,1,1,1,0,375.8485716269149
20260809,20,0,9120,74,1,1,1,0,295.8497901266065
20260809,20,1,1009123,74,1,1,1,0,295.8497901266065
