N,sample_seed,shot,winner_engine,parallel_iterations,syndrome_converged,logically_correct,syndrome_valid_logical_error,selected_weight,baseline_iterations,rescued_vs_engine0,selected_correction_differs_from_engine0,full_counterfactual_engine_iterations,post_winner_iterations_avoided_by_cancellation,post_winner_waste_fraction_without_cancellation,early_stop_compute_cycles,early_stop_nonwinner_work_fraction
1,20260809,0,0,37,1,1,0,305.55001081021453,37,0,0,37,0,0.0,37,0.0
1,20260809,1,0,51,1,1,0,301.4131020079944,51,0,0,51,0,0.0,51,0.0
1,20260809,2,0,74,1,1,0,390.05367717959547,74,0,0,74,0,0.0,74,0.0
1,20260809,3,0,56,1,1,0,355.07409456717556,56,0,0,56,0,0.0,56,0.0
1,20260809,4,0,53,1,1,0,319.88950307662157,53,0,0,53,0,0.0,53,0.0
1,20260809,5,0,114,1,1,0,291.93585015114076,114,0,0,114,0,0.0,114,0.0
1,20260809,6,0,94,1,1,0,320.7666021111063,94,0,0,94,0,0.0,94,0.0
1,20260809,7,0,56,1,1,0,357.31860687854106,56,0,0,56,0,0.0,56,0.0
1,20260809,8,0,54,1,1,0,337.51386556784337,54,0,0,54,0,0.0,54,0.0
1,20260809,9,0,358,1,1,0,337.9432387724209,358,0,0,358,0,0.0,358,0.0
1,20260809,10,0,53,1,1,0,310.5067186071732,53,0,0,53,0,0.0,53,0.0
1,20260809,11,0,197,1,1,0,369.2094609750159,197,0,0,197,0,0.0,197,0.0
1,20260809,12,0,60,1,1,0,409.8993753164099,60,0,0,60,0,0.0,60,0.0
1,20260809,13,0,237,1,1,0,431.94414164468174,237,0,0,237,0,0.0,237,0.0
1,20260809,14,0,39,1,1,0,423.85757918949764,39,0,0,39,0,0.0,39,0.0
1,20260809,15,0,180,1,1,0,364.86504913509316,180,0,0,180,0,0.0,180,0.0
1,20260809,16,0,115,1,1,0,420.8742691024928,115,0,0,115,0,0.0,115,0.0
1,20260809,17,0,58,1,1,0,294.5323698581094,58,0,0,58,0,0.0,58,0.0
1,20260809,18,0,355,1,1,0,489.5720222879788,355,0,0,355,0,0.0,355,0.0
1,20260809,19,0,41,1,1,0,375.8485716269149,41,0,0,41,0,0.0,41,0.0
1,20260809,20,0,74,1,1,0,295.8497901266065,74,0,0,74,0,0.0,74,0.0
1,20260809,21,0,26,1,1,0,271.03848372018774,26,0,0,26,0,0.0,26,0.0
1,20260809,22,0,40,1,1,0,320.50100238223763,40,0,0,40,0,0.0,40,0.0
1,20260809,23,0,124,1,1,0,393.1846833831027,124,0,0,124,0,0.0,124,0.0
1,20260809,24,0,105,1,1,0,285.0291211855315,105,0,0,105,0,0.0,105,0.0
1,20260809,25,0,130,1,1,0,246.70671112961878,130,0,0,130,0,0.0,130,0.0
