memory,width,depth,banks,BRAM_width_configuration,BRAM_depth_configuration,BRAMs_per_bank,total_BRAM36,logical_bits,physical_bits,utilization_efficiency,wasted_bits
edge_to_fault,17,391320,4,9,4096,48,192,6652440,7077888,0.9398905436197916,425448
fault_to_edge,19,391320,4,1,32768,57,228,7435080,8404992,0.8846028645833334,969912
check_degree,8,1728,4,9,4096,1,4,13824,147456,0.09375,133632
fault_degree,4,67752,4,4,8192,3,12,271008,442368,0.6126302083333334,171360
prior,18,67752,4,18,2048,9,36,1219536,1327104,0.9189453125,107568
syndrome,1,1728,4,1,32768,1,4,1728,147456,0.01171875,145728
E0_message,18,391320,4,9,4096,48,192,7043760,7077888,0.99517822265625,34128
E1_message,18,391320,4,9,4096,48,192,7043760,7077888,0.99517822265625,34128
E0_marginal,18,67752,4,18,2048,9,36,1219536,1327104,0.9189453125,107568
E1_marginal,18,67752,4,18,2048,9,36,1219536,1327104,0.9189453125,107568
E0_gamma,5,67752,4,1,32768,5,20,338760,737280,0.45947265625,398520
E1_gamma,5,67752,4,1,32768,5,20,338760,737280,0.45947265625,398520
E0_decision,1,67752,4,1,32768,1,4,67752,147456,0.45947265625,79704
E1_decision,1,67752,4,1,32768,1,4,67752,147456,0.45947265625,79704
