name,inputs,expected
add_pos,"[3, 4]",7
add_neg,"[-3, -4]",-7
sub_pos,"[3, 4]",-1
sub_neg,"[-3, -4]",1
mul_posneg,"[3, -4]",-12
widened_product,"[-7, 7]",-49
widened_sum,"[7, -3, -4, 10]",10
clip_high,"[12, -5, 5]",5
clip_low,"[-12, -5, 5]",-5
sat_high,[12],7
sat_low,[-12],-7
round_half_pos,"[5, 1]",3
round_half_neg,"[-5, 1]",-3
beta_scale_zero,"[0.0, 8]",0
beta_scale_half,"[0.5, 8]",4
beta_scale_one,"[1.0, 8]",8
memory_mix_zero_beta,"[3, -5, 0]",-5
memory_mix_half_beta,"[3, -5, 4]",-1
memory_mix_full_beta,"[3, -5, 8]",3
check_node_equal,"[[3, -3, 3], 0]","[-3, 3, -3]"
